Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0023467540740966797,0.0002315044403076172,0.0021152496337890625,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARFClassifier
2,0.002957582473754883,0.00020384788513183594,0.0004069805145263672,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ARFClassifier
3,0.003500223159790039,0.00018358230590820312,0.0003590583801269531,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ARFClassifier
4,0.00454401969909668,0.0001862049102783203,0.0008575916290283203,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,ARFClassifier
5,0.00517582893371582,0.0002512931823730469,0.00038051605224609375,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ARFClassifier
6,0.005970478057861328,0.0002307891845703125,0.0005638599395751953,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,ARFClassifier
7,0.006582498550415039,0.0002281665802001953,0.0003838539123535156,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,ARFClassifier
8,0.008020639419555664,0.00022840499877929688,0.0012097358703613281,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,ARFClassifier
9,0.010052204132080078,0.00024890899658203125,0.0017826557159423828,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ARFClassifier
10,0.011829853057861328,0.00026607513427734375,0.0015115737915039062,0.7777777777777778,0.5,0.5,0.0,1.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,0.7777777777777778,0.5,0.5,0.0,1.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,ARFClassifier
11,0.013566970825195312,0.0002961158752441406,0.0014410018920898438,0.7,0.5,0.5,0.0,1.0,0.0,0.0,0.7302967433402214,0.0,10.361632918473205,0.0,0.0,0.49000000000000005,0.7,0.7,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.7302967433402214,0.0,10.361632918473205,0.0,0.0,0.49000000000000005,0.7,ARFClassifier
12,0.015060186386108398,0.0002579689025878906,0.0012352466583251953,0.6363636363636364,0.5,0.5,0.0,1.0,0.0,0.0,0.7006490497453707,0.0,12.559555052694794,0.0,0.0,0.4049586776859504,0.6363636363636364,0.6363636363636364,0.5,0.5,0.0,1.0,0.0,0.0,0.7006490497453707,0.0,12.559555052694794,0.0,0.0,0.4049586776859504,0.6363636363636364,ARFClassifier
13,0.015815019607543945,0.00025773048400878906,0.0004971027374267578,0.5833333333333334,0.5,0.5,0.0,1.0,0.0,0.0,0.6853444168423419,0.0,14.391156831212784,0.0,0.0,0.34027777777777773,0.5833333333333334,0.5833333333333334,0.4,0.5,0.0,1.0,0.0,0.0,0.6853444168423419,0.0,14.391156831212784,0.0,0.0,0.34027777777777773,0.5833333333333334,ARFClassifier
14,0.01687479019165039,0.0002899169921875,0.0007698535919189453,0.6153846153846154,0.5,0.5,0.0,1.0,0.0,0.0,0.6979824404521128,0.0,13.28414476727334,0.0,0.0,0.37869822485207105,0.6153846153846154,0.6153846153846154,0.4,0.5,0.0,1.0,0.0,0.0,0.6979824404521128,0.0,13.28414476727334,0.0,0.0,0.37869822485207105,0.6153846153846154,ARFClassifier
15,0.017573118209838867,0.00025963783264160156,0.000438690185546875,0.5714285714285714,0.5,0.5,0.0,1.0,0.0,0.0,0.6874063372761939,0.0,14.802332740676007,0.0,0.0,0.32653061224489793,0.5714285714285714,0.5714285714285714,0.5,0.5,0.0,1.0,0.0,0.0,0.6874063372761939,0.0,14.802332740676007,0.0,0.0,0.32653061224489793,0.5714285714285714,ARFClassifier
16,0.019005537033081055,0.0002753734588623047,0.0011570453643798828,0.5333333333333333,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,16.11809565095832,0.0,0.0,0.28444444444444444,0.5333333333333333,0.5333333333333333,0.42857142857142855,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,16.11809565095832,0.0,0.0,0.28444444444444444,0.5333333333333333,ARFClassifier
17,0.019701004028320312,0.0002605915069580078,0.00043487548828125,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,17.269388197455342,0.0,0.0,0.25,0.5,ARFClassifier
18,0.02051067352294922,0.00025963783264160156,0.0005500316619873047,0.47058823529411764,0.5,0.5,0.0,1.0,0.0,0.0,0.6859943405700354,0.0,18.28523456201154,0.0,0.0,0.22145328719723184,0.47058823529411764,0.47058823529411764,0.4444444444444444,0.5,0.0,1.0,0.0,0.0,0.6859943405700354,0.0,18.28523456201154,0.0,0.0,0.22145328719723184,0.47058823529411764,ARFClassifier
19,0.021541833877563477,0.000270843505859375,0.0007603168487548828,0.4444444444444444,0.4444444444444444,0.4444444444444444,-0.11111111111111116,0.18709575558257807,0.0,0.0,0.6467616667635546,0.0,19.18825353036317,-0.24253562503633297,0.0,0.23529411764705882,0.4444444444444444,0.4444444444444444,0.3950617283950617,0.4444444444444444,-0.11111111111111116,0.18709575558257807,0.0,0.0,0.6467616667635546,0.0,19.18825353036317,-0.24253562503633297,0.0,0.23529411764705882,0.4444444444444444,ARFClassifier
20,0.022739410400390625,0.0002644062042236328,0.0009331703186035156,0.42105263157894735,0.4,0.4,-0.20809248554913307,0.2173164425893852,0.0,0.0,0.6170360861287717,0.0,19.99621787046726,-0.32539568672798425,0.0,0.2476780185758514,0.42105263157894735,0.42105263157894735,0.35555555555555557,0.4,-0.20809248554913307,0.2173164425893852,0.0,0.0,0.6170360861287717,0.0,19.99621787046726,-0.32539568672798425,0.0,0.2476780185758514,0.42105263157894735,ARFClassifier
21,0.023864269256591797,0.00028705596923828125,0.0008378028869628906,0.45,0.40909090909090906,0.4090909090909091,-0.19565217391304354,0.19781519326822228,0.0,0.0,0.6166543558171862,0.0,18.996406976943895,-0.30151134457776363,0.0,0.275,0.45,0.45,0.36363636363636365,0.4090909090909091,-0.19565217391304354,0.19781519326822228,0.0,0.0,0.6166543558171862,0.0,18.996406976943895,-0.30151134457776363,0.0,0.275,0.45,ARFClassifier
22,0.026029348373413086,0.0002918243408203125,0.0018732547760009766,0.47619047619047616,0.4166666666666667,0.4166666666666667,-0.18461538461538485,0.18133566786534783,0.0,0.0,0.6190839473613647,0.0,18.091816168517994,-0.28097574347450816,0.0,0.3007518796992481,0.47619047619047616,0.47619047619047616,0.37037037037037035,0.4166666666666667,-0.18461538461538485,0.18133566786534783,0.0,0.0,0.6190839473613647,0.0,18.091816168517994,-0.28097574347450816,0.0,0.3007518796992481,0.47619047619047616,ARFClassifier
