Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0002071857452392578,2.9802322387695312e-05,0.0001773834228515625,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HardSamplingClassifier
2,0.0005552768707275391,0.0001125335693359375,0.00023555755615234375,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,HardSamplingClassifier
3,0.0008041858673095703,9.679794311523438e-05,0.00015211105346679688,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,HardSamplingClassifier
4,0.0010514259338378906,9.989738464355469e-05,0.00014734268188476562,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,HardSamplingClassifier
5,0.0013580322265625,0.00012493133544921875,0.00018167495727539062,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,HardSamplingClassifier
6,0.001653909683227539,0.00011754035949707031,0.00017833709716796875,0.6,0.375,0.375,-0.2500000000000007,0.10098733632389123,0.0,0.0,0.5000000000000001,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,0.6,0.0,0.375,-0.2500000000000007,0.10098733632389123,0.0,0.0,0.5000000000000001,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,HardSamplingClassifier
7,0.0019443035125732422,0.00011706352233886719,0.00017333030700683594,0.6666666666666666,0.625,0.625,0.24999999999999986,0.048035084242561754,0.5,0.5,0.4285714285714285,0.6123724356957946,11.513058731208595,0.24999999999999997,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.375,0.625,0.24999999999999986,0.048035084242561754,0.5,0.5,0.4285714285714285,0.6123724356957946,11.513058731208595,0.24999999999999997,0.5,0.6666666666666666,0.6666666666666666,HardSamplingClassifier
8,0.0022444725036621094,0.00011730194091796875,0.00018286705017089844,0.7142857142857143,0.6500000000000001,0.65,0.30000000000000004,0.07153503251039062,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4,0.65,0.30000000000000004,0.07153503251039062,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,HardSamplingClassifier
9,0.0026617050170898438,0.00011920928955078125,0.0002980232238769531,0.75,0.6666666666666666,0.6666666666666667,0.3333333333333333,0.09091987815158042,0.5,0.5,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.5,0.75,0.75,0.75,0.4166666666666667,0.6666666666666667,0.3333333333333333,0.09091987815158042,0.5,0.5,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.5,0.75,0.75,HardSamplingClassifier
10,0.0030236244201660156,0.00011968612670898438,0.0002422332763671875,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.35714285714285715,0.10702939421636304,0.5,0.5,0.6818181818181819,0.6546536707079771,7.675372487472397,0.35714285714285715,0.5,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.42857142857142855,0.6785714285714286,0.35714285714285715,0.10702939421636304,0.5,0.5,0.6818181818181819,0.6546536707079771,7.675372487472397,0.35714285714285715,0.5,0.7777777777777778,0.7777777777777778,HardSamplingClassifier
