Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0002613067626953125,3.8623809814453125e-05,0.00022268295288085938,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,Perceptron
2,0.00034999847412109375,2.002716064453125e-05,6.866455078125e-05,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,Perceptron
3,0.00043892860412597656,2.09808349609375e-05,6.794929504394531e-05,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,Perceptron
4,0.0005328655242919922,2.288818359375e-05,7.104873657226562e-05,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,Perceptron
5,0.0006330013275146484,2.3126602172851562e-05,7.700920104980469e-05,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,Perceptron
6,0.0007233619689941406,2.193450927734375e-05,6.842613220214844e-05,0.6666666666666666,0.4,0.4,-0.20000000000000057,0.0,0.0,0.0,0.6000000000000001,0.0,11.513058731208595,-0.19999999999999998,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.4,-0.20000000000000057,0.0,0.0,0.0,0.6000000000000001,0.0,11.513058731208595,-0.19999999999999998,0.0,0.6666666666666666,0.6666666666666666,Perceptron
7,0.0008213520050048828,2.1457672119140625e-05,7.653236389160156e-05,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.802446968880322,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.802446968880322,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,Perceptron
8,0.0009145736694335938,2.3365020751953125e-05,6.985664367675781e-05,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.0,0.0,0.0,0.600099198148979,0.0,12.952141097770282,-0.2182178902359924,0.0,0.5357142857142857,0.625,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.0,0.0,0.0,0.600099198148979,0.0,12.952141097770282,-0.2182178902359924,0.0,0.5357142857142857,0.625,Perceptron
9,0.0010063648223876953,2.0742416381835938e-05,7.104873657226562e-05,0.5555555555555556,0.35714285714285715,0.35714285714285715,-0.2857142857142857,0.0,0.0,0.0,0.5454545454545454,0.0,15.350744974944792,-0.2857142857142857,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.35714285714285715,0.35714285714285715,-0.2857142857142857,0.0,0.0,0.0,0.5454545454545454,0.0,15.350744974944792,-0.2857142857142857,0.0,0.5555555555555556,0.5555555555555556,Perceptron
10,0.0011060237884521484,2.1696090698242188e-05,7.796287536621094e-05,0.6,0.375,0.375,-0.2500000000000007,0.0,0.0,0.0,0.5862068965517241,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,0.6,0.375,0.375,-0.2500000000000007,0.0,0.0,0.0,0.5862068965517241,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,Perceptron
