Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0005381107330322266,6.008148193359375e-05,0.0004780292510986328,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ensemble_AdaBoostClassifier
2,0.0007288455963134766,5.984306335449219e-05,0.0001308917999267578,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_AdaBoostClassifier
3,0.0008616447448730469,5.245208740234375e-05,8.034706115722656e-05,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_AdaBoostClassifier
4,0.0016820430755615234,5.412101745605469e-05,0.0007662773132324219,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_AdaBoostClassifier
5,0.002772092819213867,8.463859558105469e-05,0.001005411148071289,0.5,0.33333333333333337,0.3333333333333333,-0.3333333333333333,0.15106563978903287,0.0,0.0,0.3333333333333333,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,0.5,0.0,0.3333333333333333,-0.3333333333333333,0.15106563978903287,0.0,0.0,0.3333333333333333,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,ensemble_AdaBoostClassifier
6,0.003057718276977539,0.00010848045349121094,0.00017714500427246094,0.4,0.25,0.25,-0.36363636363636376,0.1760651833687611,0.0,0.0,0.408248290463863,0.0,20.723585675918486,-0.408248290463863,0.0,0.5333333333333333,0.4,0.4,0.0,0.25,-0.36363636363636376,0.1760651833687611,0.0,0.0,0.408248290463863,0.0,20.723585675918486,-0.408248290463863,0.0,0.5333333333333333,0.4,ensemble_AdaBoostClassifier
7,0.0034971237182617188,0.00015306472778320312,0.00028634071350097656,0.3333333333333333,0.25,0.25,-0.5000000000000001,0.27401754212128093,0.0,0.0,0.4285714285714285,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.25,-0.5000000000000001,0.27401754212128093,0.0,0.0,0.4285714285714285,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,ensemble_AdaBoostClassifier
8,0.003912210464477539,0.00010561943054199219,0.0003094673156738281,0.2857142857142857,0.2,0.2,-0.5217391304347827,0.2960654354758694,0.0,0.0,0.502518907629606,0.0,24.670897252406284,-0.5477225575051661,0.0,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.2,0.2,-0.5217391304347827,0.2960654354758694,0.0,0.0,0.502518907629606,0.0,24.670897252406284,-0.5477225575051661,0.0,0.35714285714285715,0.2857142857142857,ensemble_AdaBoostClassifier
9,0.0042645931243896484,0.00011587142944335938,0.00023651123046875,0.375,0.25,0.25,-0.42857142857142855,0.21419396448413952,0.0,0.0,0.4853626716970755,0.0,21.587035095855498,-0.4472135954999579,0.0,0.45,0.375,0.375,0.25,0.25,-0.42857142857142855,0.21419396448413952,0.0,0.0,0.4853626716970755,0.0,21.587035095855498,-0.4472135954999579,0.0,0.45,0.375,ensemble_AdaBoostClassifier
10,0.004635334014892578,0.00012159347534179688,0.0002491474151611328,0.4444444444444444,0.2857142857142857,0.2857142857142857,-0.3636363636363636,0.16553193226901586,0.0,0.0,0.502518907629606,0.0,19.188475640760444,-0.3779644730092272,0.0,0.5185185185185186,0.4444444444444444,0.4444444444444444,0.2857142857142857,0.2857142857142857,-0.3636363636363636,0.16553193226901586,0.0,0.0,0.502518907629606,0.0,19.188475640760444,-0.3779644730092272,0.0,0.5185185185185186,0.4444444444444444,ensemble_AdaBoostClassifier
11,0.00531768798828125,0.00011730194091796875,0.0005650520324707031,0.5,0.45238095238095233,0.45238095238095233,-0.08695652173913052,0.005975740730252421,0.28571428571428575,0.3125,0.445435403187374,0.4364357804719847,17.2696280766844,-0.08908708063747475,0.25,0.5416666666666667,0.5,0.5,0.38095238095238093,0.45238095238095233,-0.08695652173913052,0.005975740730252421,0.28571428571428575,0.3125,0.445435403187374,0.4364357804719847,17.2696280766844,-0.08908708063747475,0.25,0.5416666666666667,0.5,ensemble_AdaBoostClassifier
12,0.005925893783569336,0.00013494491577148438,0.00047326087951660156,0.45454545454545453,0.41071428571428564,0.4107142857142857,-0.17857142857142858,0.025047808515205716,0.25,0.25,0.4444444444444444,0.3779644730092272,18.839550651068606,-0.17857142857142858,0.25,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.2857142857142857,0.4107142857142857,-0.17857142857142858,0.025047808515205716,0.25,0.25,0.4444444444444444,0.3779644730092272,18.839550651068606,-0.17857142857142858,0.25,0.45454545454545453,0.45454545454545453,ensemble_AdaBoostClassifier
13,0.0064013004302978516,0.00014281272888183594,0.0003325939178466797,0.4166666666666667,0.3857142857142857,0.3857142857142857,-0.23529411764705882,0.046581991240494114,0.22222222222222224,0.20833333333333334,0.462030827725273,0.3380617018914066,20.147819463055445,-0.23904572186687878,0.25,0.3958333333333333,0.4166666666666667,0.4166666666666667,0.34285714285714286,0.3857142857142857,-0.23529411764705882,0.046581991240494114,0.22222222222222224,0.20833333333333334,0.462030827725273,0.3380617018914066,20.147819463055445,-0.23904572186687878,0.25,0.3958333333333333,0.4166666666666667,ensemble_AdaBoostClassifier
14,0.006961822509765625,0.0001404285430908203,0.0004200935363769531,0.46153846153846156,0.4125,0.4125,-0.18181818181818177,0.028616761111285638,0.22222222222222224,0.20833333333333334,0.475594865605671,0.3535533905932738,18.597987196666566,-0.1844661968431555,0.25,0.43803418803418803,0.46153846153846156,0.46153846153846156,0.375,0.4125,-0.18181818181818177,0.028616761111285638,0.22222222222222224,0.20833333333333334,0.475594865605671,0.3535533905932738,18.597987196666566,-0.1844661968431555,0.25,0.43803418803418803,0.46153846153846156,ensemble_AdaBoostClassifier
15,0.007473468780517578,0.0001590251922607422,0.00035262107849121094,0.42857142857142855,0.39583333333333337,0.3958333333333333,-0.21739130434782622,0.04535713007984998,0.2,0.17857142857142855,0.4911436350228293,0.3227486121839514,19.736614996541146,-0.22821773229381917,0.25,0.39285714285714285,0.42857142857142855,0.42857142857142855,0.3125,0.3958333333333333,-0.21739130434782622,0.04535713007984998,0.2,0.17857142857142855,0.4911436350228293,0.3227486121839514,19.736614996541146,-0.22821773229381917,0.25,0.39285714285714285,0.42857142857142855,ensemble_AdaBoostClassifier
16,0.007903575897216797,0.00013780593872070312,0.0002923011779785156,0.4,0.3839285714285714,0.3839285714285714,-0.23853211009174305,0.06155008690662234,0.18181818181818182,0.15625,0.5121475197315839,0.2988071523335984,20.723425756432448,-0.2618924633082486,0.25,0.3590909090909091,0.4,0.4,0.35714285714285715,0.3839285714285714,-0.23853211009174305,0.06155008690662234,0.18181818181818182,0.15625,0.5121475197315839,0.2988071523335984,20.723425756432448,-0.2618924633082486,0.25,0.3590909090909091,0.4,ensemble_AdaBoostClassifier
17,0.008466482162475586,0.00014472007751464844,0.0004181861877441406,0.375,0.375,0.375,-0.25,0.07676640047255379,0.16666666666666666,0.1388888888888889,0.5354496700964052,0.2795084971874737,21.586885171337336,-0.2886751345948129,0.25,0.33333333333333337,0.375,0.375,0.3125,0.375,-0.25,0.07676640047255379,0.16666666666666666,0.1388888888888889,0.5354496700964052,0.2795084971874737,21.586885171337336,-0.2886751345948129,0.25,0.33333333333333337,0.375,ensemble_AdaBoostClassifier
18,0.008803129196166992,0.00012803077697753906,0.0002086162567138672,0.4117647058823529,0.42361111111111116,0.4236111111111111,-0.14864864864864877,0.02317759480332493,0.2857142857142857,0.2439024390243902,0.5018469178418539,0.3726779962499649,20.317068396552788,-0.16735967034880078,0.4,0.40784313725490196,0.4117647058823529,0.4117647058823529,0.3888888888888889,0.4236111111111111,-0.14864864864864877,0.02317759480332493,0.2857142857142857,0.2439024390243902,0.5018469178418539,0.3726779962499649,20.317068396552788,-0.16735967034880078,0.4,0.40784313725490196,0.4117647058823529,ensemble_AdaBoostClassifier
19,0.009302377700805664,0.00012612342834472656,0.0003731250762939453,0.3888888888888889,0.38888888888888895,0.3888888888888889,-0.2222222222222222,0.0442728251325768,0.26666666666666666,0.23809523809523808,0.49759366083497786,0.3513641844631532,21.107207707429904,-0.23570226039551584,0.3333333333333333,0.375,0.3888888888888889,0.3888888888888889,0.35802469135802467,0.3888888888888889,-0.2222222222222222,0.0442728251325768,0.26666666666666666,0.23809523809523808,0.49759366083497786,0.3513641844631532,21.107207707429904,-0.23570226039551584,0.3333333333333333,0.375,0.3888888888888889,ensemble_AdaBoostClassifier
20,0.009845495223999023,0.0001575946807861328,0.00038552284240722656,0.3684210526315789,0.36111111111111116,0.3611111111111111,-0.28089887640449424,0.06439990286722597,0.25,0.23255813953488366,0.5003191829243043,0.3333333333333333,21.814174459267324,-0.2875273163926475,0.2857142857142857,0.3546365914786968,0.3684210526315789,0.3684210526315789,0.3333333333333333,0.3611111111111111,-0.28089887640449424,0.06439990286722597,0.25,0.23255813953488366,0.5003191829243043,0.3333333333333333,21.814174459267324,-0.2875273163926475,0.2857142857142857,0.3546365914786968,0.3684210526315789,ensemble_AdaBoostClassifier
21,0.01040196418762207,0.0001354217529296875,0.0004210472106933594,0.35,0.33838383838383845,0.33838383838383834,-0.32653061224489804,0.08274566252115756,0.23529411764705882,0.22727272727272727,0.508174928781181,0.3178208630818641,22.450444535921,-0.3282439759448873,0.25,0.3416666666666667,0.35,0.35,0.31313131313131315,0.33838383838383834,-0.32653061224489804,0.08274566252115756,0.23529411764705882,0.22727272727272727,0.508174928781181,0.3178208630818641,22.450444535921,-0.3282439759448873,0.25,0.3416666666666667,0.35,ensemble_AdaBoostClassifier
22,0.010995626449584961,0.00012993812561035156,0.00046372413635253906,0.38095238095238093,0.36111111111111116,0.3611111111111111,-0.2816901408450705,0.06234103856921014,0.23529411764705882,0.22727272727272727,0.5000924812733333,0.3333333333333333,21.38137574849619,-0.2830692585361489,0.25,0.3708791208791209,0.38095238095238093,0.38095238095238093,0.3333333333333333,0.3611111111111111,-0.2816901408450705,0.06234103856921014,0.23529411764705882,0.22727272727272727,0.5000924812733333,0.3333333333333333,21.38137574849619,-0.2830692585361489,0.25,0.3708791208791209,0.38095238095238093,ensemble_AdaBoostClassifier
