Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.008203983306884766,0.001636505126953125,0.006567478179931641,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_StackingClassifier
2,0.014052867889404297,0.0011086463928222656,0.004740238189697266,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_StackingClassifier
3,0.02283763885498047,0.0011820793151855469,0.007602691650390625,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_StackingClassifier
4,0.030447721481323242,0.0011997222900390625,0.006410360336303711,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,ensemble_StackingClassifier
5,0.03827786445617676,0.0016858577728271484,0.006144285202026367,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,ensemble_StackingClassifier
6,0.045298099517822266,0.0017032623291015625,0.005316972732543945,0.8333333333333334,0.5,0.5,0.0,0.0,0.0,0.0,0.816496580927726,0.0,5.756462732485115,0.0,0.0,0.6944444444444445,0.8333333333333334,0.8333333333333334,0.0,0.5,0.0,0.0,0.0,0.0,0.816496580927726,0.0,5.756462732485115,0.0,0.0,0.6944444444444445,0.8333333333333334,ensemble_StackingClassifier
7,0.05457568168640137,0.0017571449279785156,0.007520437240600586,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,ensemble_StackingClassifier
8,0.06259703636169434,0.0019774436950683594,0.006043910980224609,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_StackingClassifier
9,0.07165932655334473,0.002080678939819336,0.006981611251831055,0.7777777777777778,0.5,0.5,0.0,0.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,0.7777777777777778,0.5,0.5,0.0,0.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,ensemble_StackingClassifier
10,0.07953572273254395,0.0020575523376464844,0.005818843841552734,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.8027729719194864,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.8027729719194864,0.0,6.907755278982137,0.0,0.0,0.64,0.8,ensemble_StackingClassifier
11,0.08924198150634766,0.0018265247344970703,0.00787973403930664,0.7272727272727273,0.5,0.5,0.0,0.0,0.0,0.0,0.7507571935295483,0.0,9.419666289521096,0.0,0.0,0.5289256198347108,0.7272727272727273,0.7272727272727273,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.7507571935295483,0.0,9.419666289521096,0.0,0.0,0.5289256198347108,0.7272727272727273,ensemble_StackingClassifier
12,0.0991661548614502,0.0020599365234375,0.007864236831665039,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.7177405625652734,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.7177405625652734,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_StackingClassifier
13,0.10781669616699219,0.00212860107421875,0.006521940231323242,0.6153846153846154,0.5,0.5,0.0,0.0,0.0,0.0,0.6979824404521128,0.0,13.284144767273341,0.0,0.0,0.37869822485207105,0.6153846153846154,0.6153846153846154,0.4,0.5,0.0,0.0,0.0,0.0,0.6979824404521128,0.0,13.284144767273341,0.0,0.0,0.37869822485207105,0.6153846153846154,ensemble_StackingClassifier
14,0.11639833450317383,0.002069711685180664,0.0065119266510009766,0.6428571428571429,0.5,0.5,0.0,0.0,0.0,0.0,0.7109813678954643,0.0,12.335277283896675,0.0,0.0,0.413265306122449,0.6428571428571429,0.6428571428571429,0.4,0.5,0.0,0.0,0.0,0.0,0.7109813678954643,0.0,12.335277283896675,0.0,0.0,0.413265306122449,0.6428571428571429,ensemble_StackingClassifier
15,0.12463951110839844,0.002111673355102539,0.00612950325012207,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.6969320524371696,0.0,13.815510557964275,0.0,0.0,0.36000000000000004,0.6,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.6969320524371696,0.0,13.815510557964275,0.0,0.0,0.36000000000000004,0.6,ensemble_StackingClassifier
16,0.13323640823364258,0.0019397735595703125,0.006657123565673828,0.5625,0.5,0.5,0.0,0.0,0.0,0.0,0.689202437604511,0.0,15.110714672773426,0.0,0.0,0.31640625,0.5625,0.5625,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,0.689202437604511,0.0,15.110714672773426,0.0,0.0,0.31640625,0.5625,ensemble_StackingClassifier
17,0.14201641082763672,0.0020575523376464844,0.006722450256347656,0.5294117647058824,0.5,0.5,0.0,0.0,0.0,0.0,0.6859943405700354,0.0,16.253541832899145,0.0,0.0,0.28027681660899656,0.5294117647058824,0.5294117647058824,0.5,0.5,0.0,0.0,0.0,0.0,0.6859943405700354,0.0,16.253541832899145,0.0,0.0,0.28027681660899656,0.5294117647058824,ensemble_StackingClassifier
18,0.15009760856628418,0.0020084381103515625,0.0060727596282958984,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.11111111111111116,0.1111111111111111,0.19999999999999998,0.13513513513513514,0.6467616667635546,0.3333333333333333,15.350567286626971,0.24253562503633297,1.0,0.7647058823529412,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.11111111111111116,0.1111111111111111,0.19999999999999998,0.13513513513513514,0.6467616667635546,0.3333333333333333,15.350567286626971,0.24253562503633297,1.0,0.7647058823529412,0.5555555555555556,ensemble_StackingClassifier
19,0.15942978858947754,0.002042531967163086,0.0072896480560302734,0.5263157894736842,0.5055555555555555,0.5055555555555555,0.011560693641618387,0.1111111111111111,0.1818181818181818,0.13157894736842105,0.6075432232652522,0.3162277660168379,16.360515113243494,0.01807753815155469,0.5,0.5154798761609907,0.5263157894736842,0.5263157894736842,0.5,0.5055555555555555,0.011560693641618387,0.1111111111111111,0.1818181818181818,0.13157894736842105,0.6075432232652522,0.3162277660168379,16.360515113243494,0.01807753815155469,0.5,0.5154798761609907,0.5263157894736842,ensemble_StackingClassifier
20,0.16822600364685059,0.0020923614501953125,0.006703853607177734,0.5,0.46464646464646464,0.46464646464646464,-0.07526881720430115,0.1111111111111111,0.16666666666666666,0.1282051282051282,0.5779433358782896,0.30151134457776363,17.269468157198364,-0.09851341054817479,0.3333333333333333,0.44117647058823534,0.5,0.5,0.45454545454545453,0.46464646464646464,-0.07526881720430115,0.1111111111111111,0.16666666666666666,0.1282051282051282,0.5779433358782896,0.30151134457776363,17.269468157198364,-0.09851341054817479,0.3333333333333333,0.44117647058823534,0.5,ensemble_StackingClassifier
