Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.0005536079406738281,-6.747245788574219e-05,-0.00048613548278808594,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_VotingClassifier
2,-0.0008285045623779297,-0.00013899803161621094,-0.00013589859008789062,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_VotingClassifier
3,-0.0011365413665771484,-0.00016760826110839844,-0.0001404285430908203,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_VotingClassifier
4,-0.0016322135925292969,-0.00017070770263671875,-0.0003249645233154297,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,ensemble_VotingClassifier
5,-0.0019674301147460938,-0.00017404556274414062,-0.00016117095947265625,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,ensemble_VotingClassifier
6,-0.002340555191040039,-0.00017762184143066406,-0.00019550323486328125,0.8333333333333334,0.5,0.5,0.0,1.0,0.0,0.0,0.816496580927726,0.0,5.756462732485115,0.0,0.0,0.6944444444444445,0.8333333333333334,0.8333333333333334,0.0,0.5,0.0,1.0,0.0,0.0,0.816496580927726,0.0,5.756462732485115,0.0,0.0,0.6944444444444445,0.8333333333333334,ensemble_VotingClassifier
7,-0.002682924270629883,-0.00018525123596191406,-0.0001571178436279297,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,ensemble_VotingClassifier
8,-0.003034353256225586,-0.00017786026000976562,-0.0001735687255859375,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_VotingClassifier
9,-0.0033838748931884766,-0.000179290771484375,-0.00017023086547851562,0.7777777777777778,0.5,0.5,0.0,1.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,0.7777777777777778,0.5,0.5,0.0,1.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,ensemble_VotingClassifier
10,-0.003718852996826172,-0.0001804828643798828,-0.0001544952392578125,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.8027729719194864,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.8027729719194864,0.0,6.907755278982137,0.0,0.0,0.64,0.8,ensemble_VotingClassifier
