Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.04342961311340332,0.005467653274536133,0.03796195983886719,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,LogisticRegression
2,0.09163737297058105,0.005715847015380859,0.042491912841796875,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,BernoulliNB
3,0.13830304145812988,0.0050389766693115234,0.041626691818237305,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,BernoulliNB
4,0.1965320110321045,0.005762815475463867,0.05246615409851074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,LogisticRegression
5,0.25217580795288086,0.006596565246582031,0.049047231674194336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,LogisticRegression
6,0.30632972717285156,0.006537914276123047,0.047616004943847656,0.8333333333333334,0.9,0.9,0.5714285714285715,0.34486608407746455,0.6666666666666666,0.8333333333333334,0.7171371656006362,0.8944271909999159,5.756595998723481,0.6324555320336758,0.5,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8,0.9,0.5714285714285715,0.34486608407746455,0.6666666666666666,0.8333333333333334,0.7171371656006362,0.8944271909999159,5.756595998723481,0.6324555320336758,0.5,0.9166666666666666,0.8333333333333334,LogisticRegression
7,0.3654181957244873,0.006718635559082031,0.05236983299255371,0.8571428571428571,0.9,0.9,0.6956521739130433,0.4766055636665075,0.8,0.9090909090909091,0.7035264706814485,0.8944271909999159,4.934225141762983,0.7302967433402215,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.9,0.9,0.6956521739130433,0.4766055636665075,0.8,0.9090909090909091,0.7035264706814485,0.8944271909999159,4.934225141762983,0.7302967433402215,0.6666666666666666,0.9047619047619048,0.8571428571428571,LogisticRegression
8,0.422497034072876,0.006724834442138672,0.05035400390625,0.875,0.9166666666666667,0.9166666666666667,0.7142857142857143,0.48920845784808775,0.8,0.9090909090909091,0.76271276980969,0.9128709291752769,4.317446999042611,0.7453559924999299,0.6666666666666666,0.9166666666666666,0.875,0.875,0.9166666666666666,0.9166666666666667,0.7142857142857143,0.48920845784808775,0.8,0.9090909090909091,0.76271276980969,0.9128709291752769,4.317446999042611,0.7453559924999299,0.6666666666666666,0.9166666666666666,0.875,LogisticRegression
9,0.4808218479156494,0.006812572479248047,0.05151224136352539,0.8888888888888888,0.9285714285714286,0.9285714285714286,0.7272727272727272,0.49886526560234923,0.8,0.9090909090909091,0.8040302522073697,0.9258200997725514,3.8377306658156543,0.7559289460184544,0.6666666666666666,0.925925925925926,0.8888888888888888,0.8888888888888888,0.9285714285714286,0.9285714285714286,0.7272727272727272,0.49886526560234923,0.8,0.9090909090909091,0.8040302522073697,0.9258200997725514,3.8377306658156543,0.7559289460184544,0.6666666666666666,0.925925925925926,0.8888888888888888,model_KNNClassifier
10,0.537550687789917,0.006986856460571289,0.04974198341369629,0.9,0.9375,0.9375,0.7368421052631581,0.506574327569622,0.8,0.9090909090909091,0.8339078479367937,0.9354143466934853,3.453957599234089,0.7637626158259734,0.6666666666666666,0.9333333333333333,0.9,0.9,0.9375,0.9375,0.7368421052631581,0.506574327569622,0.8,0.9090909090909091,0.8339078479367937,0.9354143466934853,3.453957599234089,0.7637626158259734,0.6666666666666666,0.9333333333333333,0.9,model_KNNClassifier
