Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.0005047321319580078,-1.8358230590820312e-05,-0.0004863739013671875,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,forest_AMFClassifier
2,-0.0007910728454589844,-0.00010585784912109375,-0.0001804828643798828,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,forest_AMFClassifier
3,-0.001024484634399414,-0.0001227855682373047,-0.000110626220703125,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,forest_AMFClassifier
4,-0.001706838607788086,-0.00013875961303710938,-0.0005435943603515625,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,forest_AMFClassifier
5,-0.00214385986328125,-0.0002110004425048828,-0.00022602081298828125,0.5,0.33333333333333337,0.3333333333333333,-0.3333333333333333,0.15106563978903287,0.0,0.0,0.3333333333333333,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,0.5,0.0,0.3333333333333333,-0.3333333333333333,0.15106563978903287,0.0,0.0,0.3333333333333333,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,forest_AMFClassifier
6,-0.0028684139251708984,-0.00020265579223632812,-0.0005218982696533203,0.4,0.25,0.25,-0.36363636363636376,0.1760651833687611,0.0,0.0,0.408248290463863,0.0,20.723585675918486,-0.408248290463863,0.0,0.5333333333333333,0.4,0.4,0.0,0.25,-0.36363636363636376,0.1760651833687611,0.0,0.0,0.408248290463863,0.0,20.723585675918486,-0.408248290463863,0.0,0.5333333333333333,0.4,forest_AMFClassifier
7,-0.004156827926635742,-0.0002307891845703125,-0.0010576248168945312,0.3333333333333333,0.25,0.25,-0.5000000000000001,0.27401754212128093,0.0,0.0,0.4285714285714285,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.25,-0.5000000000000001,0.27401754212128093,0.0,0.0,0.4285714285714285,0.0,23.026117462417186,-0.49999999999999994,0.0,0.3333333333333333,0.3333333333333333,forest_AMFClassifier
8,-0.004926443099975586,-0.00022077560424804688,-0.0005488395690917969,0.42857142857142855,0.3,0.3,-0.4,0.19647826253528533,0.0,0.0,0.4545454545454545,0.0,19.736672110643305,-0.39999999999999997,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.3,0.3,-0.4,0.19647826253528533,0.0,0.0,0.4545454545454545,0.0,19.736672110643305,-0.39999999999999997,0.0,0.42857142857142855,0.42857142857142855,forest_AMFClassifier
9,-0.005579233169555664,-0.00023245811462402344,-0.0004203319549560547,0.5,0.33333333333333337,0.3333333333333333,-0.3333333333333333,0.15106563978903287,0.0,0.0,0.5000000000000001,0.0,17.269588096812893,-0.3333333333333333,0.0,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.15106563978903287,0.0,0.0,0.5000000000000001,0.0,17.269588096812893,-0.3333333333333333,0.0,0.5,0.5,forest_AMFClassifier
10,-0.0060350894927978516,-0.00022339820861816406,-0.00023245811462402344,0.5555555555555556,0.35714285714285715,0.35714285714285715,-0.2857142857142857,0.12154928156462796,0.0,0.0,0.5454545454545454,0.0,15.350744974944794,-0.2857142857142857,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.35714285714285715,0.35714285714285715,-0.2857142857142857,0.12154928156462796,0.0,0.0,0.5454545454545454,0.0,15.350744974944794,-0.2857142857142857,0.0,0.5555555555555556,0.5555555555555556,forest_AMFClassifier
11,-0.006895542144775391,-0.00025010108947753906,-0.0006103515625,0.5,0.35714285714285715,0.35714285714285715,-0.3157894736842101,0.1630961555930185,0.0,0.0,0.5306686305052325,0.0,17.269548116941383,-0.32732683535398854,0.0,0.4375,0.5,0.5,0.23809523809523808,0.35714285714285715,-0.3157894736842101,0.1630961555930185,0.0,0.0,0.5306686305052325,0.0,17.269548116941383,-0.32732683535398854,0.0,0.4375,0.5,forest_AMFClassifier
12,-0.007752418518066406,-0.00027298927307128906,-0.0005838871002197266,0.45454545454545453,0.35714285714285715,0.35714285714285715,-0.3200000000000002,0.19703555382793225,0.0,0.0,0.5378561975930828,0.0,18.839477960393136,-0.3563483225498992,0.0,0.35353535353535354,0.45454545454545453,0.45454545454545453,0.35714285714285715,0.35714285714285715,-0.3200000000000002,0.19703555382793225,0.0,0.0,0.5378561975930828,0.0,18.839477960393136,-0.3563483225498992,0.0,0.35353535353535354,0.45454545454545453,forest_AMFClassifier
13,-0.008674860000610352,-0.0002791881561279297,-0.0006432533264160156,0.5,0.45714285714285713,0.4571428571428572,-0.09090909090909081,0.008613264733992931,0.25,0.21739130434782608,0.4889177122615931,0.37796447300922725,17.269521463693707,-0.09759000729485337,0.3333333333333333,0.46296296296296297,0.5,0.5,0.42857142857142855,0.4571428571428572,-0.09090909090909081,0.008613264733992931,0.25,0.21739130434782608,0.4889177122615931,0.37796447300922725,17.269521463693707,-0.09759000729485337,0.3333333333333333,0.46296296296296297,0.5,forest_AMFClassifier
14,-0.009464025497436523,-0.000270843505859375,-0.0005183219909667969,0.5384615384615384,0.475,0.475,-0.05405405405405408,0.0031271050630646835,0.25,0.21739130434782608,0.5151221963699317,0.3872983346207417,15.941096735717268,-0.0577350269189626,0.3333333333333333,0.49743589743589745,0.5384615384615384,0.5384615384615384,0.45,0.475,-0.05405405405405408,0.0031271050630646835,0.25,0.21739130434782608,0.5151221963699317,0.3872983346207417,15.941096735717268,-0.0577350269189626,0.3333333333333333,0.49743589743589745,0.5384615384615384,forest_AMFClassifier
15,-0.010390996932983398,-0.00030493736267089844,-0.0006220340728759766,0.5714285714285714,0.5416666666666666,0.5416666666666666,0.08695652173913031,0.006925696874193421,0.4,0.3571428571428571,0.4911436350228293,0.49999999999999994,14.802446968880322,0.09128709291752773,0.5,0.5571428571428572,0.5714285714285714,0.5714285714285714,0.5416666666666666,0.5416666666666666,0.08695652173913031,0.006925696874193421,0.4,0.3571428571428571,0.4911436350228293,0.49999999999999994,14.802446968880322,0.09128709291752773,0.5,0.5571428571428572,0.5714285714285714,forest_AMFClassifier
16,-0.011206626892089844,-0.0002639293670654297,-0.0005517005920410156,0.6,0.5892857142857143,0.5892857142857143,0.18181818181818185,0.028140209906946545,0.5,0.45454545454545453,0.48157133033088717,0.5669467095138409,13.815617170954967,0.18898223650461363,0.6,0.6,0.6,0.6,0.5714285714285714,0.5892857142857143,0.18181818181818185,0.028140209906946545,0.5,0.45454545454545453,0.48157133033088717,0.5669467095138409,13.815617170954967,0.18898223650461363,0.6,0.6,0.6,forest_AMFClassifier
17,-0.011974573135375977,-0.0002892017364501953,-0.0004787445068359375,0.625,0.625,0.625,0.25,0.051124478534776974,0.5714285714285715,0.5263157894736842,0.48304589153964794,0.6123724356957946,12.952141097770282,0.2581988897471611,0.6666666666666666,0.6333333333333333,0.625,0.625,0.625,0.625,0.25,0.051124478534776974,0.5714285714285715,0.5263157894736842,0.48304589153964794,0.6123724356957946,12.952141097770282,0.2581988897471611,0.6666666666666666,0.6333333333333333,0.625,forest_AMFClassifier
18,-0.012761592864990234,-0.0002751350402832031,-0.0005118846893310547,0.6470588235294118,0.6527777777777778,0.6527777777777778,0.30136986301369867,0.07259183282432413,0.6250000000000001,0.5813953488372093,0.492365963917331,0.6454972243679028,12.190250444960265,0.3098898934004562,0.7142857142857143,0.6605042016806723,0.6470588235294118,0.6470588235294118,0.6388888888888888,0.6527777777777778,0.30136986301369867,0.07259183282432413,0.6250000000000001,0.5813953488372093,0.492365963917331,0.6454972243679028,12.190250444960265,0.3098898934004562,0.7142857142857143,0.6605042016806723,0.6470588235294118,forest_AMFClassifier
19,-0.013749122619628906,-0.00030112266540527344,-0.0006864070892333984,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.22222222222222232,0.036717780164931546,0.5882352941176471,0.5681818181818182,0.4689766702080085,0.6085806194501846,13.431879642036966,0.22360679774997907,0.625,0.6125,0.6111111111111112,0.6111111111111112,0.5925925925925926,0.6111111111111112,0.22222222222222232,0.036717780164931546,0.5882352941176471,0.5681818181818182,0.4689766702080085,0.6085806194501846,13.431879642036966,0.22360679774997907,0.625,0.6125,0.6111111111111112,forest_AMFClassifier
20,-0.0149078369140625,-0.00034809112548828125,-0.0008106231689453125,0.5789473684210527,0.5777777777777778,0.5777777777777777,0.1555555555555558,0.017552263248485245,0.5555555555555556,0.5555555555555556,0.45679012345679004,0.5773502691896258,14.542811028895066,0.1555555555555556,0.5555555555555556,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5555555555555556,0.5777777777777777,0.1555555555555558,0.017552263248485245,0.5555555555555556,0.5555555555555556,0.45679012345679004,0.5773502691896258,14.542811028895066,0.1555555555555556,0.5555555555555556,0.5789473684210527,0.5789473684210527,forest_AMFClassifier
21,-0.015916824340820312,-0.0002834796905517578,-0.0007255077362060547,0.55,0.5505050505050505,0.5505050505050505,0.10000000000000009,0.007299156760473768,0.5263157894736842,0.5434782608695652,0.4530455884900605,0.5504818825631803,15.542649277067357,0.10050378152592118,0.5,0.5549999999999999,0.55,0.55,0.5252525252525253,0.5505050505050505,0.10000000000000009,0.007299156760473768,0.5263157894736842,0.5434782608695652,0.4530455884900605,0.5504818825631803,15.542649277067357,0.10050378152592118,0.5,0.5549999999999999,0.55,forest_AMFClassifier
22,-0.01685810089111328,-0.00029921531677246094,-0.0006420612335205078,0.5714285714285714,0.5694444444444444,0.5694444444444444,0.13698630136986295,0.013714226970791943,0.5263157894736842,0.5434782608695652,0.46536934519903694,0.5692750425533111,14.802523121016531,0.13762047064079513,0.5,0.577922077922078,0.5714285714285714,0.5714285714285714,0.5462962962962963,0.5694444444444444,0.13698630136986295,0.013714226970791943,0.5263157894736842,0.5434782608695652,0.46536934519903694,0.5692750425533111,14.802523121016531,0.13762047064079513,0.5,0.577922077922078,0.5714285714285714,forest_AMFClassifier
23,-0.01783919334411621,-0.0003612041473388672,-0.0006198883056640625,0.5909090909090909,0.5916666666666666,0.5916666666666667,0.18181818181818188,0.024184953438158296,0.5714285714285713,0.5882352941176471,0.47059305292133397,0.5916079783099616,14.129681160970325,0.18257418583505533,0.5454545454545454,0.5950413223140495,0.5909090909090909,0.5909090909090909,0.5916666666666667,0.5916666666666667,0.18181818181818188,0.024184953438158296,0.5714285714285713,0.5882352941176471,0.47059305292133397,0.5916079783099616,14.129681160970325,0.18257418583505533,0.5454545454545454,0.5950413223140495,0.5909090909090909,forest_AMFClassifier
