Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.000217437744140625,-2.288818359375e-05,-0.000194549560546875,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,model_linear_ALMAClassifier
2,-0.00030922889709472656,-2.1457672119140625e-05,-7.033348083496094e-05,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,model_linear_ALMAClassifier
3,-0.0004677772521972656,-2.574920654296875e-05,-0.0001327991485595703,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,model_linear_ALMAClassifier
4,-0.0005369186401367188,-2.5987625122070312e-05,-4.315376281738281e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,model_linear_ALMAClassifier
5,-0.0006086826324462891,-2.6941299438476562e-05,-4.482269287109375e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,model_linear_ALMAClassifier
6,-0.0007054805755615234,-2.765655517578125e-05,-6.914138793945312e-05,0.8333333333333334,0.9,0.9,0.5714285714285715,0.34486608407746455,0.6666666666666666,0.8333333333333334,0.7171371656006362,0.8944271909999159,5.756595998723481,0.6324555320336758,0.5,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8,0.9,0.5714285714285715,0.34486608407746455,0.6666666666666666,0.8333333333333334,0.7171371656006362,0.8944271909999159,5.756595998723481,0.6324555320336758,0.5,0.9166666666666666,0.8333333333333334,model_linear_ALMAClassifier
7,-0.0008752346038818359,-2.5510787963867188e-05,-0.0001442432403564453,0.7142857142857143,0.6500000000000001,0.65,0.30000000000000004,0.07153503251039062,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4,0.65,0.30000000000000004,0.07153503251039062,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,model_linear_ALMAClassifier
8,-0.0009741783142089844,-2.6941299438476562e-05,-7.200241088867188e-05,0.75,0.6666666666666666,0.6666666666666667,0.3333333333333333,0.09091987815158042,0.5,0.5,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.5,0.75,0.75,0.75,0.4166666666666667,0.6666666666666667,0.3333333333333333,0.09091987815158042,0.5,0.5,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.5,0.75,0.75,model_linear_ALMAClassifier
9,-0.0010673999786376953,-2.8133392333984375e-05,-6.508827209472656e-05,0.6666666666666666,0.6071428571428571,0.6071428571428572,0.1818181818181818,0.02696039025779995,0.4,0.45454545454545453,0.5527707983925667,0.5976143046671969,11.51310315328805,0.1889822365046136,0.3333333333333333,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.35714285714285715,0.6071428571428572,0.1818181818181818,0.02696039025779995,0.4,0.45454545454545453,0.5527707983925667,0.5976143046671969,11.51310315328805,0.1889822365046136,0.3333333333333333,0.7222222222222222,0.6666666666666666,model_linear_ALMAClassifier
10,-0.0011343955993652344,-2.6464462280273438e-05,-4.0531158447265625e-05,0.7,0.625,0.625,0.2105263157894738,0.03661492441548486,0.4,0.45454545454545453,0.6064784348631227,0.6123724356957946,10.361792837959245,0.21821789023599242,0.3333333333333333,0.7523809523809524,0.7,0.7,0.375,0.625,0.2105263157894738,0.03661492441548486,0.4,0.45454545454545453,0.6064784348631227,0.6123724356957946,10.361792837959245,0.21821789023599242,0.3333333333333333,0.7523809523809524,0.7,model_linear_ALMAClassifier
