Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0002930164337158203,4.076957702636719e-05,0.0002522468566894531,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,LogisticRegression
2,0.0003979206085205078,2.4318695068359375e-05,8.058547973632812e-05,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,LogisticRegression
3,0.0005006790161132812,3.123283386230469e-05,7.152557373046875e-05,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,LogisticRegression
4,0.000659942626953125,2.8371810913085938e-05,0.0001308917999267578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,LogisticRegression
5,0.0007653236389160156,3.1948089599609375e-05,7.343292236328125e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,LogisticRegression
6,0.0008702278137207031,2.9802322387695312e-05,7.510185241699219e-05,0.8333333333333334,0.9,0.9,0.5714285714285715,0.34486608407746455,0.6666666666666666,0.8333333333333334,0.7171371656006362,0.8944271909999159,5.756595998723481,0.6324555320336758,0.5,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8,0.9,0.5714285714285715,0.34486608407746455,0.6666666666666666,0.8333333333333334,0.7171371656006362,0.8944271909999159,5.756595998723481,0.6324555320336758,0.5,0.9166666666666666,0.8333333333333334,LogisticRegression
7,0.0009853839874267578,3.1948089599609375e-05,8.320808410644531e-05,0.8571428571428571,0.9,0.9,0.6956521739130433,0.4766055636665075,0.8,0.9090909090909091,0.7035264706814485,0.8944271909999159,4.934225141762983,0.7302967433402215,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.9,0.9,0.6956521739130433,0.4766055636665075,0.8,0.9090909090909091,0.7035264706814485,0.8944271909999159,4.934225141762983,0.7302967433402215,0.6666666666666666,0.9047619047619048,0.8571428571428571,LogisticRegression
8,0.0010962486267089844,3.147125244140625e-05,7.939338684082031e-05,0.875,0.9166666666666667,0.9166666666666667,0.7142857142857143,0.48920845784808775,0.8,0.9090909090909091,0.76271276980969,0.9128709291752769,4.317446999042611,0.7453559924999299,0.6666666666666666,0.9166666666666666,0.875,0.875,0.9166666666666666,0.9166666666666667,0.7142857142857143,0.48920845784808775,0.8,0.9090909090909091,0.76271276980969,0.9128709291752769,4.317446999042611,0.7453559924999299,0.6666666666666666,0.9166666666666666,0.875,LogisticRegression
9,0.0012056827545166016,3.123283386230469e-05,7.82012939453125e-05,0.7777777777777778,0.8571428571428572,0.8571428571428572,0.5263157894736842,0.322639275653951,0.6666666666666666,0.8333333333333334,0.6396021490668312,0.8451542547285166,7.675461331631308,0.5976143046671968,0.5,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.8571428571428571,0.8571428571428572,0.5263157894736842,0.322639275653951,0.6666666666666666,0.8333333333333334,0.6396021490668312,0.8451542547285166,7.675461331631308,0.5976143046671968,0.5,0.8888888888888888,0.7777777777777778,LogisticRegression
10,0.0013148784637451172,3.147125244140625e-05,7.772445678710938e-05,0.7,0.8125,0.8125,0.3999999999999999,0.23645279766002814,0.5714285714285715,0.7692307692307692,0.5813183589761798,0.7905694150420948,10.361872797702265,0.5,0.4,0.8800000000000001,0.7,0.7,0.8125,0.8125,0.3999999999999999,0.23645279766002814,0.5714285714285715,0.7692307692307692,0.5813183589761798,0.7905694150420948,10.361872797702265,0.5,0.4,0.8800000000000001,0.7,LogisticRegression
