Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.0003082752227783203,-1.239776611328125e-05,-0.00029587745666503906,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OutputCodeClassifier
2,-0.0006995201110839844,-0.00016951560974121094,-0.00022172927856445312,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,OutputCodeClassifier
3,-0.0009744167327880859,-6.794929504394531e-05,-0.00020694732666015625,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,OutputCodeClassifier
4,-0.001276254653930664,-6.222724914550781e-05,-0.0002396106719970703,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,OutputCodeClassifier
5,-0.001665353775024414,-6.747245788574219e-05,-0.0003216266632080078,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,OutputCodeClassifier
6,-0.0019352436065673828,-6.008148193359375e-05,-0.000209808349609375,0.6,0.375,0.375,-0.2500000000000007,0.10098733632389123,0.0,0.0,0.5000000000000001,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,0.6,0.0,0.375,-0.2500000000000007,0.10098733632389123,0.0,0.0,0.5000000000000001,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,OutputCodeClassifier
7,-0.002201080322265625,-5.817413330078125e-05,-0.00020766258239746094,0.5,0.375,0.375,-0.28571428571428586,0.1679485738334382,0.0,0.0,0.47809144373375745,0.0,17.269521463693707,-0.3162277660168379,0.0,0.39999999999999997,0.5,0.5,0.375,0.375,-0.28571428571428586,0.1679485738334382,0.0,0.0,0.47809144373375745,0.0,17.269521463693707,-0.3162277660168379,0.0,0.39999999999999997,0.5,OutputCodeClassifier
8,-0.002471923828125,-5.936622619628906e-05,-0.00021147727966308594,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.80244696888032,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,OutputCodeClassifier
9,-0.002736806869506836,-5.8650970458984375e-05,-0.00020623207092285156,0.5,0.33333333333333337,0.3333333333333333,-0.3333333333333333,0.15106563978903287,0.0,0.0,0.5000000000000001,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.15106563978903287,0.0,0.0,0.5000000000000001,0.0,17.26958809681289,-0.3333333333333333,0.0,0.5,0.5,OutputCodeClassifier
10,-0.0030181407928466797,-5.698204040527344e-05,-0.0002243518829345703,0.5555555555555556,0.35714285714285715,0.35714285714285715,-0.2857142857142857,0.12154928156462796,0.0,0.0,0.5454545454545454,0.0,15.35074497494479,-0.2857142857142857,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.35714285714285715,0.35714285714285715,-0.2857142857142857,0.12154928156462796,0.0,0.0,0.5454545454545454,0.0,15.35074497494479,-0.2857142857142857,0.0,0.5555555555555556,0.5555555555555556,OutputCodeClassifier
