Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00030875205993652344,5.7220458984375e-05,0.00025153160095214844,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_BaggingClassifier
2,0.0005598068237304688,6.341934204101562e-05,0.0001876354217529297,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_BaggingClassifier
3,0.0007560253143310547,5.698204040527344e-05,0.0001392364501953125,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_BaggingClassifier
4,0.001018524169921875,6.651878356933594e-05,0.00019598007202148438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,ensemble_BaggingClassifier
5,0.001184225082397461,6.079673767089844e-05,0.0001049041748046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,ensemble_BaggingClassifier
6,0.0014598369598388672,5.91278076171875e-05,0.00021648406982421875,0.8333333333333334,0.9,0.9,0.5714285714285715,0.34486608407746455,0.6666666666666666,0.8333333333333334,0.7171371656006362,0.8944271909999159,5.756595998723481,0.6324555320336758,0.5,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8,0.9,0.5714285714285715,0.34486608407746455,0.6666666666666666,0.8333333333333334,0.7171371656006362,0.8944271909999159,5.756595998723481,0.6324555320336758,0.5,0.9166666666666666,0.8333333333333334,ensemble_BaggingClassifier
7,0.001718759536743164,6.008148193359375e-05,0.00019884109497070312,0.8571428571428571,0.9,0.9,0.6956521739130433,0.4766055636665075,0.8,0.9090909090909091,0.7035264706814485,0.8944271909999159,4.934225141762983,0.7302967433402215,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.9,0.9,0.6956521739130433,0.4766055636665075,0.8,0.9090909090909091,0.7035264706814485,0.8944271909999159,4.934225141762983,0.7302967433402215,0.6666666666666666,0.9047619047619048,0.8571428571428571,ensemble_BaggingClassifier
8,0.0018339157104492188,6.341934204101562e-05,5.173683166503906e-05,0.75,0.8333333333333334,0.8333333333333333,0.5,0.3112781244591327,0.6666666666666666,0.8333333333333334,0.5773502691896258,0.816496580927726,8.63489399808522,0.5773502691896258,0.5,0.875,0.75,0.75,0.8333333333333334,0.8333333333333333,0.5,0.3112781244591327,0.6666666666666666,0.8333333333333334,0.5773502691896258,0.816496580927726,8.63489399808522,0.5773502691896258,0.5,0.875,0.75,ensemble_BaggingClassifier
9,0.0019989013671875,6.175041198730469e-05,0.00010323524475097656,0.6666666666666666,0.7857142857142857,0.7857142857142857,0.3720930232558139,0.22681156240021882,0.5714285714285715,0.7692307692307692,0.5330017908890261,0.7559289460184544,11.51319199744696,0.47809144373375745,0.4,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.7857142857142857,0.7857142857142857,0.3720930232558139,0.22681156240021882,0.5714285714285715,0.7692307692307692,0.5330017908890261,0.7559289460184544,11.51319199744696,0.47809144373375745,0.4,0.8666666666666667,0.6666666666666666,ensemble_BaggingClassifier
10,0.0022051334381103516,6.29425048828125e-05,0.00014328956604003906,0.6,0.75,0.75,0.2857142857142856,0.1760651833687611,0.5,0.7142857142857143,0.5267865840075201,0.7071067811865476,13.815830396936352,0.4082482904638631,0.3333333333333333,0.8666666666666666,0.6,0.6,0.75,0.75,0.2857142857142856,0.1760651833687611,0.5,0.7142857142857143,0.5267865840075201,0.7071067811865476,13.815830396936352,0.4082482904638631,0.3333333333333333,0.8666666666666666,0.6,ensemble_BaggingClassifier
11,0.002528667449951172,6.246566772460938e-05,0.00026106834411621094,0.6363636363636364,0.75,0.75,0.35294117647058826,0.23093660193354482,0.6,0.7894736842105262,0.5184758473652126,0.7071067811865476,12.559845815396685,0.46291004988627577,0.42857142857142855,0.8441558441558442,0.6363636363636364,0.6363636363636364,0.6666666666666666,0.75,0.35294117647058826,0.23093660193354482,0.6,0.7894736842105262,0.5184758473652126,0.7071067811865476,12.559845815396685,0.46291004988627577,0.42857142857142855,0.8441558441558442,0.6363636363636364,ensemble_BaggingClassifier
