Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0005710124969482422,5.9604644775390625e-05,0.0005114078521728516,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_LeveragingBaggingClassifier
2,0.0012705326080322266,5.4836273193359375e-05,0.000644683837890625,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_LeveragingBaggingClassifier
3,0.001764059066772461,5.1975250244140625e-05,0.00044155120849609375,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_LeveragingBaggingClassifier
4,0.002485036849975586,5.817413330078125e-05,0.0006628036499023438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,ensemble_LeveragingBaggingClassifier
5,0.0030961036682128906,5.364418029785156e-05,0.0005574226379394531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,ensemble_LeveragingBaggingClassifier
6,0.003841876983642578,8.96453857421875e-05,0.0006561279296875,0.8333333333333334,0.9,0.9,0.5714285714285715,0.34486608407746455,0.6666666666666666,0.8333333333333334,0.7171371656006362,0.8944271909999159,5.756595998723481,0.6324555320336758,0.5,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8,0.9,0.5714285714285715,0.34486608407746455,0.6666666666666666,0.8333333333333334,0.7171371656006362,0.8944271909999159,5.756595998723481,0.6324555320336758,0.5,0.9166666666666666,0.8333333333333334,ensemble_LeveragingBaggingClassifier
7,0.00465083122253418,5.602836608886719e-05,0.0007529258728027344,0.7142857142857143,0.6500000000000001,0.65,0.30000000000000004,0.07153503251039062,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4,0.65,0.30000000000000004,0.07153503251039062,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,ensemble_LeveragingBaggingClassifier
8,0.00530552864074707,5.412101745605469e-05,0.0006005764007568359,0.75,0.6666666666666666,0.6666666666666667,0.3333333333333333,0.09091987815158042,0.5,0.5,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.5,0.75,0.75,0.75,0.4166666666666667,0.6666666666666667,0.3333333333333333,0.09091987815158042,0.5,0.5,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.5,0.75,0.75,ensemble_LeveragingBaggingClassifier
9,0.006132364273071289,5.316734313964844e-05,0.0007736682891845703,0.6666666666666666,0.6071428571428571,0.6071428571428572,0.1818181818181818,0.02696039025779995,0.4,0.45454545454545453,0.5527707983925667,0.5976143046671969,11.51310315328805,0.1889822365046136,0.3333333333333333,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.35714285714285715,0.6071428571428572,0.1818181818181818,0.02696039025779995,0.4,0.45454545454545453,0.5527707983925667,0.5976143046671969,11.51310315328805,0.1889822365046136,0.3333333333333333,0.7222222222222222,0.6666666666666666,ensemble_LeveragingBaggingClassifier
10,0.006890296936035156,5.316734313964844e-05,0.0007047653198242188,0.7,0.625,0.625,0.2105263157894738,0.03661492441548486,0.4,0.45454545454545453,0.6064784348631227,0.6123724356957946,10.361792837959245,0.21821789023599242,0.3333333333333333,0.7523809523809524,0.7,0.7,0.375,0.625,0.2105263157894738,0.03661492441548486,0.4,0.45454545454545453,0.6064784348631227,0.6123724356957946,10.361792837959245,0.21821789023599242,0.3333333333333333,0.7523809523809524,0.7,ensemble_LeveragingBaggingClassifier
11,0.0077550411224365234,5.507469177246094e-05,0.0008096694946289062,0.6363636363636364,0.5416666666666666,0.5416666666666666,0.08333333333333333,0.005780042205152269,0.3333333333333333,0.3333333333333333,0.5483870967741935,0.49999999999999994,12.55970043404574,0.08333333333333341,0.3333333333333333,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5,0.5416666666666666,0.08333333333333333,0.005780042205152269,0.3333333333333333,0.3333333333333333,0.5483870967741935,0.49999999999999994,12.55970043404574,0.08333333333333341,0.3333333333333333,0.6363636363636364,0.6363636363636364,ensemble_LeveragingBaggingClassifier
