Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.04391670227050781,0.005620718002319336,0.03829598426818848,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_average
2,0.09279775619506836,0.0058481693267822266,0.04303288459777832,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_average
3,0.1415567398071289,0.005274295806884766,0.04348468780517578,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_average
4,0.2106173038482666,0.0057981014251708984,0.0632624626159668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,ensemble_best_model_average
5,0.26739048957824707,0.006770610809326172,0.0500025749206543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,ensemble_best_model_average
6,0.32279467582702637,0.006726980209350586,0.04867720603942871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,ensemble_best_model_average
7,0.38297343254089355,0.006888628005981445,0.05329012870788574,0.8571428571428571,0.75,0.75,0.5882352941176469,0.5,0.6666666666666666,0.5555555555555556,0.778498944161523,0.7071067811865476,4.93411091355867,0.6454972243679028,1.0,0.880952380952381,0.8571428571428571,0.8571428571428571,0.5,0.75,0.5882352941176469,0.5,0.6666666666666666,0.5555555555555556,0.778498944161523,0.7071067811865476,4.93411091355867,0.6454972243679028,1.0,0.880952380952381,0.8571428571428571,ensemble_best_model_average
8,0.4406092166900635,0.007504463195800781,0.05013132095336914,0.875,0.75,0.75,0.6,0.5,0.6666666666666666,0.5555555555555556,0.8183170883849714,0.7071067811865476,4.317347049363836,0.6546536707079772,1.0,0.8928571428571429,0.875,0.875,0.5,0.75,0.6,0.5,0.6666666666666666,0.5555555555555556,0.8183170883849714,0.7071067811865476,4.317347049363836,0.6546536707079772,1.0,0.8928571428571429,0.875,ensemble_best_model_average
9,0.5043742656707764,0.0070362091064453125,0.05672883987426758,0.8888888888888888,0.75,0.75,0.608695652173913,0.5,0.6666666666666666,0.5555555555555556,0.8461141122266493,0.7071067811865476,3.8376418216567436,0.6614378277661476,1.0,0.9027777777777778,0.8888888888888888,0.8888888888888888,0.5,0.75,0.608695652173913,0.5,0.6666666666666666,0.5555555555555556,0.8461141122266493,0.7071067811865476,3.8376418216567436,0.6614378277661476,1.0,0.9027777777777778,0.8888888888888888,ensemble_best_model_average
10,0.561957597732544,0.008050918579101562,0.049532413482666016,0.9,0.75,0.75,0.6153846153846153,0.5,0.6666666666666666,0.5555555555555556,0.866578244826242,0.7071067811865476,3.4538776394910693,0.6666666666666666,1.0,0.9111111111111111,0.9,0.9,0.5,0.75,0.6153846153846153,0.5,0.6666666666666666,0.5555555555555556,0.866578244826242,0.7071067811865476,3.4538776394910693,0.6666666666666666,1.0,0.9111111111111111,0.9,ensemble_best_model_average
