Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.00018072128295898438,-1.7881393432617188e-05,-0.0001628398895263672,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,linear_model_PAClassifier
2,-0.00026154518127441406,-1.5974044799804688e-05,-6.4849853515625e-05,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,linear_model_PAClassifier
3,-0.0003535747528076172,-1.811981201171875e-05,-7.390975952148438e-05,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,linear_model_PAClassifier
4,-0.0004799365997314453,-5.435943603515625e-05,-7.200241088867188e-05,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,linear_model_PAClassifier
5,-0.0005946159362792969,-4.172325134277344e-05,-7.295608520507812e-05,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,linear_model_PAClassifier
6,-0.0006866455078125,-1.8358230590820312e-05,-7.367134094238281e-05,0.6666666666666666,0.4,0.4,-0.20000000000000057,0.07448308596203668,0.0,0.0,0.6000000000000001,0.0,11.513058731208595,-0.19999999999999998,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.4,-0.20000000000000057,0.07448308596203668,0.0,0.0,0.6000000000000001,0.0,11.513058731208595,-0.19999999999999998,0.0,0.6666666666666666,0.6666666666666666,linear_model_PAClassifier
7,-0.0007741451263427734,-1.811981201171875e-05,-6.937980651855469e-05,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.802446968880322,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.802446968880322,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,linear_model_PAClassifier
8,-0.0009016990661621094,-1.7404556274414062e-05,-0.00011014938354492188,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.10311128269063408,0.0,0.0,0.600099198148979,0.0,12.952141097770282,-0.2182178902359924,0.0,0.5357142857142857,0.625,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.10311128269063408,0.0,0.0,0.600099198148979,0.0,12.952141097770282,-0.2182178902359924,0.0,0.5357142857142857,0.625,linear_model_PAClassifier
9,-0.0009875297546386719,-1.7404556274414062e-05,-6.842613220214844e-05,0.5555555555555556,0.35714285714285715,0.35714285714285715,-0.2857142857142857,0.12154928156462796,0.0,0.0,0.5454545454545454,0.0,15.350744974944792,-0.2857142857142857,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.35714285714285715,0.35714285714285715,-0.2857142857142857,0.12154928156462796,0.0,0.0,0.5454545454545454,0.0,15.350744974944792,-0.2857142857142857,0.0,0.5555555555555556,0.5555555555555556,linear_model_PAClassifier
10,-0.0010759830474853516,-1.6927719116210938e-05,-7.152557373046875e-05,0.6,0.375,0.375,-0.2500000000000007,0.10098733632389123,0.0,0.0,0.5862068965517241,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,0.6,0.375,0.375,-0.2500000000000007,0.10098733632389123,0.0,0.0,0.5862068965517241,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,linear_model_PAClassifier
