Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0001354217529296875,2.2411346435546875e-05,0.00011301040649414062,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
2,0.00018334388732910156,1.2636184692382812e-05,3.528594970703125e-05,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
3,0.00023412704467773438,1.430511474609375e-05,3.647804260253906e-05,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
4,0.0005602836608886719,2.0265579223632812e-05,0.0003058910369873047,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
5,0.0006601810455322266,2.86102294921875e-05,7.128715515136719e-05,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,OneVsOneClassifier
6,0.0007576942443847656,2.86102294921875e-05,6.890296936035156e-05,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,OneVsOneClassifier
7,0.0008559226989746094,2.8371810913085938e-05,6.985664367675781e-05,0.0,-0.0,0.0,-0.7999999999999999,1.0,0.0,0.0,1.0,0.0,34.53930945986415,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.7999999999999999,1.0,0.0,0.0,1.0,0.0,34.53930945986415,-0.9999999999999999,0.0,0.0,0.0,OneVsOneClassifier
8,0.000957489013671875,2.8133392333984375e-05,7.343292236328125e-05,0.25,0.16666666666666669,0.16666666666666666,-0.5,0.3112781244591327,0.0,0.0,0.408248290463863,0.0,25.904482094898114,-0.5773502691896258,0.0,0.375,0.25,0.25,0.0,0.16666666666666666,-0.5,0.3112781244591327,0.0,0.0,0.408248290463863,0.0,25.904482094898114,-0.5773502691896258,0.0,0.375,0.25,OneVsOneClassifier
9,0.0010669231414794922,3.9577484130859375e-05,6.985664367675781e-05,0.2,0.125,0.125,-0.4285714285714287,0.33155970728682893,0.0,0.0,0.6123724356957946,0.0,27.631500874386667,-0.6123724356957945,0.0,0.4,0.2,0.2,0.0,0.125,-0.4285714285714287,0.33155970728682893,0.0,0.0,0.6123724356957946,0.0,27.631500874386667,-0.6123724356957945,0.0,0.4,0.2,OneVsOneClassifier
10,0.0011744499206542969,2.956390380859375e-05,7.796287536621094e-05,0.3333333333333333,0.2,0.2,-0.33333333333333337,0.19087450462110955,0.0,0.0,0.5163977794943223,0.0,23.026250728655555,-0.4472135954999579,0.0,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.0,0.2,-0.33333333333333337,0.19087450462110955,0.0,0.0,0.5163977794943223,0.0,23.026250728655555,-0.4472135954999579,0.0,0.5555555555555556,0.3333333333333333,OneVsOneClassifier
11,0.0012743473052978516,2.8133392333984375e-05,7.176399230957031e-05,0.2857142857142857,0.2,0.2,-0.5217391304347827,0.2960654354758694,0.0,0.0,0.502518907629606,0.0,24.670897252406288,-0.5477225575051661,0.0,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.2,0.2,-0.5217391304347827,0.2960654354758694,0.0,0.0,0.502518907629606,0.0,24.670897252406288,-0.5477225575051661,0.0,0.35714285714285715,0.2857142857142857,OneVsOneClassifier
12,0.0013761520385742188,2.9802322387695312e-05,7.200241088867188e-05,0.25,0.2,0.2,-0.6,0.36418430224150733,0.0,0.0,0.5384615384615384,0.0,25.904382145219337,-0.6,0.0,0.25,0.25,0.25,0.13333333333333333,0.2,-0.6,0.36418430224150733,0.0,0.0,0.5384615384615384,0.0,25.904382145219337,-0.6,0.0,0.25,0.25,OneVsOneClassifier
13,0.0014753341674804688,2.7418136596679688e-05,7.176399230957031e-05,0.2222222222222222,0.2,0.2,-0.6153846153846153,0.41258908413249684,0.0,0.0,0.5892556509887896,0.0,26.863759284073932,-0.6324555320336758,0.0,0.1851851851851852,0.2222222222222222,0.2222222222222222,0.2,0.2,-0.6153846153846153,0.41258908413249684,0.0,0.0,0.5892556509887896,0.0,26.863759284073932,-0.6324555320336758,0.0,0.1851851851851852,0.2222222222222222,OneVsOneClassifier
14,0.001573801040649414,2.86102294921875e-05,6.985664367675781e-05,0.3,0.25,0.25,-0.5217391304347827,0.3191805333247406,0.0,0.0,0.5345224838248488,0.0,24.17738335566654,-0.5345224838248488,0.0,0.2571428571428572,0.3,0.3,0.25,0.25,-0.5217391304347827,0.3191805333247406,0.0,0.0,0.5345224838248488,0.0,24.17738335566654,-0.5345224838248488,0.0,0.2571428571428572,0.3,OneVsOneClassifier
15,0.0016753673553466797,2.86102294921875e-05,7.295608520507812e-05,0.36363636363636365,0.35,0.35,-0.3050847457627117,0.07619715531658544,0.22222222222222224,0.20833333333333334,0.4618802153517006,0.316227766016838,21.979439414242307,-0.3105295017040594,0.25,0.34740259740259744,0.36363636363636365,0.36363636363636365,0.3,0.35,-0.3050847457627117,0.07619715531658544,0.22222222222222224,0.20833333333333334,0.4618802153517006,0.316227766016838,21.979439414242307,-0.3105295017040594,0.25,0.34740259740259744,0.36363636363636365,OneVsOneClassifier
16,0.0017750263214111328,2.956390380859375e-05,7.009506225585938e-05,0.4166666666666667,0.41666666666666663,0.41666666666666663,-0.16666666666666663,0.02114654588510856,0.3636363636363636,0.3448275862068965,0.4262867932595694,0.408248290463863,20.14781946305545,-0.16903085094570341,0.4,0.4142857142857143,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.41666666666666663,-0.16666666666666663,0.02114654588510856,0.3636363636363636,0.3448275862068965,0.4262867932595694,0.408248290463863,20.14781946305545,-0.16903085094570341,0.4,0.4142857142857143,0.4166666666666667,OneVsOneClassifier
17,0.0018765926361083984,3.0040740966796875e-05,7.152557373046875e-05,0.38461538461538464,0.3928571428571428,0.39285714285714285,-0.20930232558139536,0.03634996189757245,0.3333333333333333,0.30303030303030304,0.45962735987049386,0.3779644730092272,21.254816150121236,-0.21957751641341994,0.4,0.38846153846153847,0.38461538461538464,0.38461538461538464,0.35714285714285715,0.39285714285714285,-0.20930232558139536,0.03634996189757245,0.3333333333333333,0.30303030303030304,0.45962735987049386,0.3779644730092272,21.254816150121236,-0.21957751641341994,0.4,0.38846153846153847,0.38461538461538464,OneVsOneClassifier
18,0.0019800662994384766,3.0517578125e-05,7.295608520507812e-05,0.42857142857142855,0.4375,0.4375,-0.11999999999999988,0.011434761388265602,0.42857142857142855,0.39473684210526316,0.4418604651162791,0.4330127018922193,19.73661499654115,-0.12499999999999992,0.5,0.44642857142857145,0.42857142857142855,0.42857142857142855,0.375,0.4375,-0.11999999999999988,0.011434761388265602,0.42857142857142855,0.39473684210526316,0.4418604651162791,0.4330127018922193,19.73661499654115,-0.12499999999999992,0.5,0.44642857142857145,0.42857142857142855,OneVsOneClassifier
19,0.002081155776977539,2.8371810913085938e-05,7.271766662597656e-05,0.4666666666666667,0.4732142857142857,0.4732142857142857,-0.052631578947368314,0.0022102011069973226,0.42857142857142855,0.39473684210526316,0.440088026408803,0.46291004988627577,18.420840663438405,-0.054554472558998104,0.5,0.47407407407407404,0.4666666666666667,0.4666666666666667,0.4107142857142857,0.4732142857142857,-0.052631578947368314,0.0022102011069973226,0.42857142857142855,0.39473684210526316,0.440088026408803,0.46291004988627577,18.420840663438405,-0.054554472558998104,0.5,0.47407407407407404,0.4666666666666667,OneVsOneClassifier
20,0.002186298370361328,2.7418136596679688e-05,7.772445678710938e-05,0.4375,0.4375,0.4375,-0.125,0.011613647919433645,0.39999999999999997,0.3846153846153846,0.4424952033779929,0.4330127018922193,19.42826162149481,-0.1259881576697424,0.42857142857142855,0.4365079365079365,0.4375,0.4375,0.375,0.4375,-0.125,0.011613647919433645,0.39999999999999997,0.3846153846153846,0.4424952033779929,0.4330127018922193,19.42826162149481,-0.1259881576697424,0.42857142857142855,0.4365079365079365,0.4375,OneVsOneClassifier
21,0.002284526824951172,2.8133392333984375e-05,7.009506225585938e-05,0.4117647058823529,0.4097222222222222,0.4097222222222222,-0.18055555555555566,0.023729069682485338,0.375,0.375,0.45312499999999994,0.408248290463863,20.317162466838695,-0.18055555555555552,0.375,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.3472222222222222,0.4097222222222222,-0.18055555555555566,0.023729069682485338,0.375,0.375,0.45312499999999994,0.408248290463863,20.317162466838695,-0.18055555555555552,0.375,0.4117647058823529,0.4117647058823529,OneVsOneClassifier
22,0.002383708953857422,2.8371810913085938e-05,7.081031799316406e-05,0.4444444444444444,0.4375,0.4375,-0.1250000000000001,0.0114296112607567,0.375,0.375,0.4520547945205479,0.4330127018922193,19.18843121868099,-0.12499999999999999,0.375,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.375,0.4375,-0.1250000000000001,0.0114296112607567,0.375,0.375,0.4520547945205479,0.4330127018922193,19.18843121868099,-0.12499999999999999,0.375,0.4444444444444444,0.4444444444444444,OneVsOneClassifier
23,0.0024843215942382812,3.0279159545898438e-05,7.033348083496094e-05,0.42105263157894735,0.41666666666666663,0.41666666666666663,-0.16759776536312845,0.021022408359909428,0.35294117647058826,0.34090909090909094,0.4634490977342481,0.408248290463863,19.996344122693078,-0.16854996561581048,0.375,0.416866028708134,0.42105263157894735,0.42105263157894735,0.3888888888888889,0.41666666666666663,-0.16759776536312845,0.021022408359909428,0.35294117647058826,0.34090909090909094,0.4634490977342481,0.408248290463863,19.996344122693078,-0.16854996561581048,0.375,0.416866028708134,0.42105263157894735,OneVsOneClassifier
