Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0002410411834716797,6.031990051269531e-05,0.00018072128295898438,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RandomOverSampler
2,0.0004067420959472656,0.00010228157043457031,6.341934204101562e-05,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,RandomOverSampler
3,0.0007359981536865234,0.00025844573974609375,7.081031799316406e-05,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,RandomOverSampler
4,0.001224517822265625,0.00035691261291503906,0.0001316070556640625,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,RandomOverSampler
5,0.0014400482177734375,0.00011324882507324219,0.00010228157043457031,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,RandomOverSampler
6,0.0016217231750488281,0.0001277923583984375,5.3882598876953125e-05,0.6,0.375,0.375,-0.2500000000000007,0.0,0.0,0.0,0.5000000000000001,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,0.6,0.0,0.375,-0.2500000000000007,0.0,0.0,0.0,0.5000000000000001,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,RandomOverSampler
7,0.001806497573852539,0.00011086463928222656,7.390975952148438e-05,0.6666666666666666,0.625,0.625,0.24999999999999986,0.5,0.5,0.5,0.4285714285714285,0.6123724356957946,11.513058731208595,0.24999999999999997,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.375,0.625,0.24999999999999986,0.5,0.5,0.5,0.4285714285714285,0.6123724356957946,11.513058731208595,0.24999999999999997,0.5,0.6666666666666666,0.6666666666666666,RandomOverSampler
8,0.002110004425048828,0.00022673606872558594,7.677078247070312e-05,0.7142857142857143,0.6500000000000001,0.65,0.30000000000000004,0.5,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4,0.65,0.30000000000000004,0.5,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,RandomOverSampler
9,0.002295255661010742,0.00012612342834472656,5.91278076171875e-05,0.75,0.6666666666666666,0.6666666666666667,0.3333333333333333,0.5,0.5,0.5,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.5,0.75,0.75,0.75,0.4166666666666667,0.6666666666666667,0.3333333333333333,0.5,0.5,0.5,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.5,0.75,0.75,RandomOverSampler
10,0.0024645328521728516,0.00010538101196289062,6.389617919921875e-05,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.35714285714285715,0.5,0.5,0.5,0.6818181818181819,0.6546536707079771,7.675372487472397,0.35714285714285715,0.5,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.42857142857142855,0.6785714285714286,0.35714285714285715,0.5,0.5,0.5,0.6818181818181819,0.6546536707079771,7.675372487472397,0.35714285714285715,0.5,0.7777777777777778,0.7777777777777778,RandomOverSampler
11,0.0026750564575195312,0.00010395050048828125,0.00010657310485839844,0.7,0.5952380952380952,0.5952380952380952,0.2105263157894738,0.3333333333333333,0.4,0.3571428571428571,0.6064784348631227,0.5345224838248488,10.361712878216226,0.21821789023599242,0.5,0.675,0.7,0.7,0.5714285714285714,0.5952380952380952,0.2105263157894738,0.3333333333333333,0.4,0.3571428571428571,0.6064784348631227,0.5345224838248488,10.361712878216226,0.21821789023599242,0.5,0.675,0.7,RandomOverSampler
12,0.0029964447021484375,0.00019359588623046875,0.0001277923583984375,0.6363636363636364,0.5535714285714287,0.5535714285714286,0.11999999999999988,0.25,0.3333333333333333,0.2777777777777778,0.5694947974514994,0.46291004988627577,12.559627743370267,0.1336306209562122,0.5,0.6060606060606061,0.6363636363636364,0.6363636363636364,0.42857142857142855,0.5535714285714286,0.11999999999999988,0.25,0.3333333333333333,0.2777777777777778,0.5694947974514994,0.46291004988627577,12.559627743370267,0.1336306209562122,0.5,0.6060606060606061,0.6363636363636364,RandomOverSampler
13,0.003200531005859375,0.000102996826171875,0.0001010894775390625,0.5833333333333334,0.5285714285714286,0.5285714285714286,0.06250000000000003,0.2,0.28571428571428575,0.22727272727272727,0.5561084983989948,0.41403933560541256,14.391223464331969,0.0755928946018454,0.5,0.5583333333333333,0.5833333333333334,0.5833333333333334,0.5142857142857142,0.5285714285714286,0.06250000000000003,0.2,0.28571428571428575,0.22727272727272727,0.5561084983989948,0.41403933560541256,14.391223464331969,0.0755928946018454,0.5,0.5583333333333333,0.5833333333333334,RandomOverSampler
14,0.003400087356567383,0.00014400482177734375,5.555152893066406e-05,0.5384615384615384,0.475,0.475,-0.05405405405405408,0.2,0.25,0.21739130434782608,0.5151221963699317,0.3872983346207417,15.94109673571727,-0.0577350269189626,0.3333333333333333,0.49743589743589745,0.5384615384615384,0.5384615384615384,0.45,0.475,-0.05405405405405408,0.2,0.25,0.21739130434782608,0.5151221963699317,0.3872983346207417,15.94109673571727,-0.0577350269189626,0.3333333333333333,0.49743589743589745,0.5384615384615384,RandomOverSampler
15,0.0036084651947021484,0.00010156631469726562,0.0001068115234375,0.5,0.4583333333333333,0.4583333333333333,-0.08888888888888874,0.16666666666666666,0.2222222222222222,0.18518518518518515,0.5206251254511277,0.3535533905932738,17.269502425659656,-0.10050378152592118,0.3333333333333333,0.45454545454545453,0.5,0.5,0.375,0.4583333333333333,-0.08888888888888874,0.16666666666666666,0.2222222222222222,0.18518518518518515,0.5206251254511277,0.3535533905932738,17.269502425659656,-0.10050378152592118,0.3333333333333333,0.45454545454545453,0.5,RandomOverSampler
