Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.009706497192382812,0.002869844436645508,0.006836652755737305,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_StackingClassifier
2,0.01607799530029297,0.0011854171752929688,0.0051860809326171875,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_StackingClassifier
3,0.0246889591217041,0.0024766921997070312,0.0061342716217041016,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_StackingClassifier
4,0.037513017654418945,0.0018990039825439453,0.010925054550170898,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,ensemble_StackingClassifier
5,0.045786380767822266,0.0017766952514648438,0.0064966678619384766,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,ensemble_StackingClassifier
6,0.055565834045410156,0.0023436546325683594,0.007435798645019531,0.8333333333333334,0.5,0.5,0.0,0.0,0.0,0.0,0.816496580927726,0.0,5.756462732485115,0.0,0.0,0.6944444444444445,0.8333333333333334,0.8333333333333334,0.0,0.5,0.0,0.0,0.0,0.0,0.816496580927726,0.0,5.756462732485115,0.0,0.0,0.6944444444444445,0.8333333333333334,ensemble_StackingClassifier
7,0.06680083274841309,0.0026154518127441406,0.008619546890258789,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,ensemble_StackingClassifier
8,0.07618474960327148,0.0021767616271972656,0.007207155227661133,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_StackingClassifier
9,0.08983111381530762,0.0019350051879882812,0.011711359024047852,0.7777777777777778,0.5,0.5,0.0,0.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,0.7777777777777778,0.5,0.5,0.0,0.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,ensemble_StackingClassifier
10,0.0989372730255127,0.0023698806762695312,0.006736278533935547,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.8027729719194864,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.8027729719194864,0.0,6.907755278982137,0.0,0.0,0.64,0.8,ensemble_StackingClassifier
11,0.11062192916870117,0.0018863677978515625,0.009798288345336914,0.7272727272727273,0.5,0.5,0.0,0.0,0.0,0.0,0.7507571935295483,0.0,9.419666289521096,0.0,0.0,0.5289256198347108,0.7272727272727273,0.7272727272727273,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.7507571935295483,0.0,9.419666289521096,0.0,0.0,0.5289256198347108,0.7272727272727273,ensemble_StackingClassifier
12,0.12311244010925293,0.0022165775299072266,0.010273933410644531,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.7177405625652734,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.7177405625652734,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_StackingClassifier
13,0.13138127326965332,0.0021719932556152344,0.006096839904785156,0.6153846153846154,0.5,0.5,0.0,0.0,0.0,0.0,0.6979824404521128,0.0,13.284144767273341,0.0,0.0,0.37869822485207105,0.6153846153846154,0.6153846153846154,0.4,0.5,0.0,0.0,0.0,0.0,0.6979824404521128,0.0,13.284144767273341,0.0,0.0,0.37869822485207105,0.6153846153846154,ensemble_StackingClassifier
14,0.14077234268188477,0.0022232532501220703,0.007167816162109375,0.6428571428571429,0.5,0.5,0.0,0.0,0.0,0.0,0.7109813678954643,0.0,12.335277283896675,0.0,0.0,0.413265306122449,0.6428571428571429,0.6428571428571429,0.4,0.5,0.0,0.0,0.0,0.0,0.7109813678954643,0.0,12.335277283896675,0.0,0.0,0.413265306122449,0.6428571428571429,ensemble_StackingClassifier
15,0.15180277824401855,0.004021644592285156,0.007008790969848633,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.6969320524371696,0.0,13.815510557964275,0.0,0.0,0.36000000000000004,0.6,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.6969320524371696,0.0,13.815510557964275,0.0,0.0,0.36000000000000004,0.6,ensemble_StackingClassifier
16,0.16269683837890625,0.0023491382598876953,0.008544921875,0.5625,0.5,0.5,0.0,0.0,0.0,0.0,0.689202437604511,0.0,15.110714672773426,0.0,0.0,0.31640625,0.5625,0.5625,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,0.689202437604511,0.0,15.110714672773426,0.0,0.0,0.31640625,0.5625,ensemble_StackingClassifier
17,0.17415189743041992,0.0021703243255615234,0.009284734725952148,0.5294117647058824,0.5,0.5,0.0,0.0,0.0,0.0,0.6859943405700354,0.0,16.253541832899145,0.0,0.0,0.28027681660899656,0.5294117647058824,0.5294117647058824,0.5,0.5,0.0,0.0,0.0,0.0,0.6859943405700354,0.0,16.253541832899145,0.0,0.0,0.28027681660899656,0.5294117647058824,ensemble_StackingClassifier
18,0.18335485458374023,0.003136873245239258,0.006066083908081055,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.11111111111111116,0.1111111111111111,0.19999999999999998,0.13513513513513514,0.6467616667635546,0.3333333333333333,15.350567286626971,0.24253562503633297,1.0,0.7647058823529412,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.11111111111111116,0.1111111111111111,0.19999999999999998,0.13513513513513514,0.6467616667635546,0.3333333333333333,15.350567286626971,0.24253562503633297,1.0,0.7647058823529412,0.5555555555555556,ensemble_StackingClassifier
