Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.05964350700378418,0.010590314865112305,0.049053192138671875,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_threshold
2,0.12345457077026367,0.0063250064849853516,0.05748605728149414,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_threshold
3,0.19496989250183105,0.011447668075561523,0.06006765365600586,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_threshold
4,0.2694394588470459,0.009613037109375,0.06485652923583984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,ensemble_best_model_threshold
5,0.3422658443450928,0.007032871246337891,0.06579351425170898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,ensemble_best_model_threshold
6,0.4235038757324219,0.01080322265625,0.0704348087310791,0.8333333333333334,0.9,0.9,0.5714285714285715,1.0,0.6666666666666666,0.8333333333333334,0.7171371656006362,0.8944271909999159,5.756595998723481,0.6324555320336758,0.5,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8,0.9,0.5714285714285715,1.0,0.6666666666666666,0.8333333333333334,0.7171371656006362,0.8944271909999159,5.756595998723481,0.6324555320336758,0.5,0.9166666666666666,0.8333333333333334,ensemble_best_model_threshold
7,0.5067462921142578,0.011306285858154297,0.07193613052368164,0.8571428571428571,0.9,0.9,0.6956521739130433,1.0,0.8,0.9090909090909091,0.7035264706814485,0.8944271909999159,4.934225141762983,0.7302967433402215,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.9,0.9,0.6956521739130433,1.0,0.8,0.9090909090909091,0.7035264706814485,0.8944271909999159,4.934225141762983,0.7302967433402215,0.6666666666666666,0.9047619047619048,0.8571428571428571,ensemble_best_model_threshold
8,0.5812456607818604,0.011294841766357422,0.06320452690124512,0.875,0.9166666666666667,0.9166666666666667,0.7142857142857143,1.0,0.8,0.9090909090909091,0.76271276980969,0.9128709291752769,4.317446999042611,0.7453559924999299,0.6666666666666666,0.9166666666666666,0.875,0.875,0.9166666666666666,0.9166666666666667,0.7142857142857143,1.0,0.8,0.9090909090909091,0.76271276980969,0.9128709291752769,4.317446999042611,0.7453559924999299,0.6666666666666666,0.9166666666666666,0.875,ensemble_best_model_threshold
9,0.6654207706451416,0.009044408798217773,0.07513070106506348,0.8888888888888888,0.9285714285714286,0.9285714285714286,0.7272727272727272,1.0,0.8,0.9090909090909091,0.8040302522073697,0.9258200997725514,3.8377306658156543,0.7559289460184544,0.6666666666666666,0.925925925925926,0.8888888888888888,0.8888888888888888,0.9285714285714286,0.9285714285714286,0.7272727272727272,1.0,0.8,0.9090909090909091,0.8040302522073697,0.9258200997725514,3.8377306658156543,0.7559289460184544,0.6666666666666666,0.925925925925926,0.8888888888888888,ensemble_best_model_threshold
10,0.7339446544647217,0.008932828903198242,0.059591054916381836,0.9,0.9375,0.9375,0.7368421052631581,1.0,0.8,0.9090909090909091,0.8339078479367937,0.9354143466934853,3.453957599234089,0.7637626158259734,0.6666666666666666,0.9333333333333333,0.9,0.9,0.9375,0.9375,0.7368421052631581,1.0,0.8,0.9090909090909091,0.8339078479367937,0.9354143466934853,3.453957599234089,0.7637626158259734,0.6666666666666666,0.9333333333333333,0.9,ensemble_best_model_threshold
11,0.8074724674224854,0.0073871612548828125,0.06614065170288086,0.9090909090909091,0.9375,0.9375,0.7924528301886792,1.0,0.8571428571428571,0.9375,0.8295613557843402,0.9354143466934853,3.139961453849172,0.8100925873009824,0.75,0.9318181818181818,0.9090909090909091,0.9090909090909091,0.9166666666666666,0.9375,0.7924528301886792,1.0,0.8571428571428571,0.9375,0.8295613557843402,0.9354143466934853,3.139961453849172,0.8100925873009824,0.75,0.9318181818181818,0.9090909090909091,ensemble_best_model_threshold
12,0.8811469078063965,0.00946664810180664,0.06420779228210449,0.9166666666666666,0.9375,0.9375,0.8235294117647058,1.0,0.888888888888889,0.9523809523809523,0.8316554899054914,0.9354143466934853,2.8782979993617412,0.8366600265340755,0.8,0.9333333333333332,0.9166666666666666,0.9166666666666666,0.9375,0.9375,0.8235294117647058,1.0,0.888888888888889,0.9523809523809523,0.8316554899054914,0.9354143466934853,2.8782979993617412,0.8366600265340755,0.8,0.9333333333333332,0.9166666666666666,ensemble_best_model_threshold
13,0.9515109062194824,0.00845646858215332,0.06190752983093262,0.9230769230769231,0.9375,0.9375,0.8433734939759037,1.0,0.9090909090909091,0.9615384615384615,0.8381440091756065,0.9354143466934853,2.6568904609493,0.8539125638299665,0.8333333333333334,0.935897435897436,0.9230769230769231,0.9230769230769231,0.925,0.9375,0.8433734939759037,1.0,0.9090909090909091,0.9615384615384615,0.8381440091756065,0.9354143466934853,2.6568904609493,0.8539125638299665,0.8333333333333334,0.935897435897436,0.9230769230769231,ensemble_best_model_threshold
14,1.0215270519256592,0.008815526962280273,0.061200618743896484,0.8571428571428571,0.8888888888888888,0.8888888888888888,0.7142857142857142,1.0,0.8333333333333333,0.9259259259259259,0.7280252083092641,0.8819171036881969,4.934225141762984,0.74535599249993,0.7142857142857143,0.8979591836734694,0.8571428571428571,0.8571428571428571,0.8666666666666667,0.8888888888888888,0.7142857142857142,1.0,0.8333333333333333,0.9259259259259259,0.7280252083092641,0.8819171036881969,4.934225141762984,0.74535599249993,0.7142857142857143,0.8979591836734694,0.8571428571428571,ensemble_best_model_threshold
