Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0002548694610595703,2.3603439331054688e-05,0.00023126602172851562,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,model_linear_ALMAClassifier
2,0.000400543212890625,3.314018249511719e-05,0.0001125335693359375,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,model_linear_ALMAClassifier
3,0.000591278076171875,0.0001251697540283203,6.556510925292969e-05,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,model_linear_ALMAClassifier
4,0.0006930828094482422,3.337860107421875e-05,6.842613220214844e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,model_linear_ALMAClassifier
5,0.0008046627044677734,2.8133392333984375e-05,8.344650268554688e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999998,1.0,1.0,1.0,model_linear_ALMAClassifier
6,0.0009951591491699219,3.361701965332031e-05,0.00015687942504882812,0.8333333333333334,0.9,0.9,0.5714285714285715,1.0,0.6666666666666666,0.8333333333333334,0.7171371656006362,0.8944271909999159,5.756595998723481,0.6324555320336758,0.5,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8,0.9,0.5714285714285715,1.0,0.6666666666666666,0.8333333333333334,0.7171371656006362,0.8944271909999159,5.756595998723481,0.6324555320336758,0.5,0.9166666666666666,0.8333333333333334,model_linear_ALMAClassifier
7,0.0011370182037353516,3.528594970703125e-05,0.00010657310485839844,0.7142857142857143,0.6500000000000001,0.65,0.30000000000000004,0.5,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4,0.65,0.30000000000000004,0.5,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,model_linear_ALMAClassifier
8,0.0012319087982177734,2.956390380859375e-05,6.532669067382812e-05,0.75,0.6666666666666666,0.6666666666666667,0.3333333333333333,0.5,0.5,0.5,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.5,0.75,0.75,0.75,0.4166666666666667,0.6666666666666667,0.3333333333333333,0.5,0.5,0.5,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.5,0.75,0.75,model_linear_ALMAClassifier
9,0.0014269351959228516,3.314018249511719e-05,0.00016188621520996094,0.6666666666666666,0.6071428571428571,0.6071428571428572,0.1818181818181818,0.5,0.4,0.45454545454545453,0.5527707983925667,0.5976143046671969,11.51310315328805,0.1889822365046136,0.3333333333333333,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.35714285714285715,0.6071428571428572,0.1818181818181818,0.5,0.4,0.45454545454545453,0.5527707983925667,0.5976143046671969,11.51310315328805,0.1889822365046136,0.3333333333333333,0.7222222222222222,0.6666666666666666,model_linear_ALMAClassifier
10,0.0015134811401367188,4.315376281738281e-05,4.3392181396484375e-05,0.7,0.625,0.625,0.2105263157894738,0.5,0.4,0.45454545454545453,0.6064784348631227,0.6123724356957946,10.361792837959245,0.21821789023599242,0.3333333333333333,0.7523809523809524,0.7,0.7,0.375,0.625,0.2105263157894738,0.5,0.4,0.45454545454545453,0.6064784348631227,0.6123724356957946,10.361792837959245,0.21821789023599242,0.3333333333333333,0.7523809523809524,0.7,model_linear_ALMAClassifier
11,0.001604318618774414,3.170967102050781e-05,5.91278076171875e-05,0.7272727272727273,0.7083333333333334,0.7083333333333333,0.37735849056603776,0.6666666666666666,0.5714285714285715,0.625,0.5876059603472409,0.7071067811865475,9.41981167087204,0.38575837490522985,0.5,0.7597402597402598,0.7272727272727273,0.7272727272727273,0.5833333333333334,0.7083333333333333,0.37735849056603776,0.6666666666666666,0.5714285714285715,0.625,0.5876059603472409,0.7071067811865475,9.41981167087204,0.38575837490522985,0.5,0.7597402597402598,0.7272727272727273,model_linear_ALMAClassifier
12,0.0017473697662353516,3.552436828613281e-05,0.00010752677917480469,0.6666666666666666,0.625,0.625,0.24999999999999986,0.5,0.5,0.5,0.5294117647058824,0.6123724356957946,11.513058731208593,0.24999999999999997,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.625,0.24999999999999986,0.5,0.5,0.5,0.5294117647058824,0.6123724356957946,11.513058731208593,0.24999999999999997,0.5,0.6666666666666666,0.6666666666666666,model_linear_ALMAClassifier
13,0.00189971923828125,3.1948089599609375e-05,0.00012040138244628906,0.6153846153846154,0.575,0.575,0.15584415584415592,0.4,0.4444444444444445,0.4166666666666667,0.5006261743217588,0.5477225575051662,13.2842677822626,0.15811388300841897,0.5,0.6025641025641025,0.6153846153846154,0.6153846153846154,0.5,0.575,0.15584415584415592,0.4,0.4444444444444445,0.4166666666666667,0.5006261743217588,0.5477225575051662,13.2842677822626,0.15811388300841897,0.5,0.6025641025641025,0.6153846153846154,model_linear_ALMAClassifier
14,0.0020177364349365234,2.8848648071289062e-05,8.916854858398438e-05,0.5714285714285714,0.5333333333333333,0.5333333333333333,0.0666666666666665,0.4,0.4000000000000001,0.4,0.4782608695652174,0.5163977794943222,14.802504082982477,0.06666666666666662,0.4,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4666666666666667,0.5333333333333333,0.0666666666666665,0.4,0.4000000000000001,0.4,0.4782608695652174,0.5163977794943222,14.802504082982477,0.06666666666666662,0.4,0.5714285714285714,0.5714285714285714,model_linear_ALMAClassifier
