Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00032067298889160156,8.082389831542969e-05,0.00023984909057617188,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BernoulliNB
2,0.0005328655242919922,0.00016450881958007812,4.76837158203125e-05,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,BernoulliNB
3,0.0007302761077880859,0.00015473365783691406,4.267692565917969e-05,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,BernoulliNB
4,0.0008931159973144531,0.0001201629638671875,4.267692565917969e-05,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,BernoulliNB
5,0.0011315345764160156,0.00019431114196777344,4.410743713378906e-05,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,BernoulliNB
6,0.0013203620910644531,0.0001442432403564453,4.458427429199219e-05,0.6,0.375,0.375,-0.2500000000000007,0.0,0.0,0.0,0.5000000000000001,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,0.6,0.0,0.375,-0.2500000000000007,0.0,0.0,0.0,0.5000000000000001,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,BernoulliNB
7,0.0015728473663330078,0.0002071857452392578,4.5299530029296875e-05,0.6666666666666666,0.625,0.625,0.24999999999999986,0.5,0.5,0.5,0.4285714285714285,0.6123724356957946,11.513058731208595,0.24999999999999997,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.375,0.625,0.24999999999999986,0.5,0.5,0.5,0.4285714285714285,0.6123724356957946,11.513058731208595,0.24999999999999997,0.5,0.6666666666666666,0.6666666666666666,BernoulliNB
8,0.0017685890197753906,0.0001494884490966797,4.6253204345703125e-05,0.7142857142857143,0.6500000000000001,0.65,0.30000000000000004,0.5,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4,0.65,0.30000000000000004,0.5,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,BernoulliNB
9,0.001992464065551758,0.00017976760864257812,4.410743713378906e-05,0.75,0.6666666666666666,0.6666666666666667,0.3333333333333333,0.5,0.5,0.5,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.5,0.75,0.75,0.75,0.4166666666666667,0.6666666666666667,0.3333333333333333,0.5,0.5,0.5,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.5,0.75,0.75,BernoulliNB
10,0.0022432804107666016,0.00019049644470214844,6.031990051269531e-05,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.35714285714285715,0.5,0.5,0.5,0.6818181818181819,0.6546536707079771,7.675372487472397,0.35714285714285715,0.5,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.42857142857142855,0.6785714285714286,0.35714285714285715,0.5,0.5,0.5,0.6818181818181819,0.6546536707079771,7.675372487472397,0.35714285714285715,0.5,0.7777777777777778,0.7777777777777778,BernoulliNB
