Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00011014938354492188,1.5497207641601562e-05,9.465217590332031e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
2,0.00016236305236816406,1.430511474609375e-05,3.790855407714844e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
3,0.00021409988403320312,1.4543533325195312e-05,3.719329833984375e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
4,0.0005006790161132812,1.5735626220703125e-05,0.000270843505859375,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
5,0.0006039142608642578,2.7894973754882812e-05,7.534027099609375e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,OneVsOneClassifier
6,0.0007081031799316406,3.170967102050781e-05,7.2479248046875e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.53957599234088,0.0,0.0,0.0,0.0,OneVsOneClassifier
7,0.0008122920989990234,3.3855438232421875e-05,7.033348083496094e-05,0.0,-0.0,0.0,-0.7999999999999999,0.0,0.0,0.0,1.0,0.0,34.53930945986415,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.7999999999999999,0.0,0.0,0.0,1.0,0.0,34.53930945986415,-0.9999999999999999,0.0,0.0,0.0,OneVsOneClassifier
8,0.0009608268737792969,3.504753112792969e-05,0.00011348724365234375,0.25,0.16666666666666669,0.16666666666666666,-0.5,0.0,0.0,0.0,0.408248290463863,0.0,25.904482094898114,-0.5773502691896258,0.0,0.375,0.25,0.25,0.0,0.16666666666666666,-0.5,0.0,0.0,0.0,0.408248290463863,0.0,25.904482094898114,-0.5773502691896258,0.0,0.375,0.25,OneVsOneClassifier
9,0.0010623931884765625,2.8848648071289062e-05,7.271766662597656e-05,0.2,0.125,0.125,-0.4285714285714287,0.0,0.0,0.0,0.6123724356957946,0.0,27.631500874386667,-0.6123724356957945,0.0,0.4,0.2,0.2,0.0,0.125,-0.4285714285714287,0.0,0.0,0.0,0.6123724356957946,0.0,27.631500874386667,-0.6123724356957945,0.0,0.4,0.2,OneVsOneClassifier
10,0.0011925697326660156,3.0517578125e-05,9.965896606445312e-05,0.3333333333333333,0.2,0.2,-0.33333333333333337,0.0,0.0,0.0,0.5163977794943223,0.0,23.026250728655555,-0.4472135954999579,0.0,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.0,0.2,-0.33333333333333337,0.0,0.0,0.0,0.5163977794943223,0.0,23.026250728655555,-0.4472135954999579,0.0,0.5555555555555556,0.3333333333333333,OneVsOneClassifier
