Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.0002880096435546875,-3.790855407714844e-05,-0.00025010108947753906,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RandomOverSampler
2,-0.0006313323974609375,-0.00022482872009277344,-0.00011849403381347656,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,RandomOverSampler
3,-0.0010058879852294922,-0.00022602081298828125,-0.00014853477478027344,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,RandomOverSampler
4,-0.0012290477752685547,-9.083747863769531e-05,-0.0001323223114013672,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,RandomOverSampler
5,-0.00139617919921875,-0.00011014938354492188,-5.698204040527344e-05,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,RandomOverSampler
6,-0.0015625953674316406,-0.00010991096496582031,-5.650520324707031e-05,0.6,0.375,0.375,-0.2500000000000007,0.10098733632389123,0.0,0.0,0.5000000000000001,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,0.6,0.0,0.375,-0.2500000000000007,0.10098733632389123,0.0,0.0,0.5000000000000001,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,RandomOverSampler
7,-0.0017430782318115234,-0.000110626220703125,-6.985664367675781e-05,0.6666666666666666,0.625,0.625,0.24999999999999986,0.048035084242561754,0.5,0.5,0.4285714285714285,0.6123724356957946,11.513058731208595,0.24999999999999997,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.375,0.625,0.24999999999999986,0.048035084242561754,0.5,0.5,0.4285714285714285,0.6123724356957946,11.513058731208595,0.24999999999999997,0.5,0.6666666666666666,0.6666666666666666,RandomOverSampler
8,-0.0019001960754394531,-0.00010228157043457031,-5.4836273193359375e-05,0.7142857142857143,0.6500000000000001,0.65,0.30000000000000004,0.07153503251039062,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4,0.65,0.30000000000000004,0.07153503251039062,0.5,0.5,0.5454545454545454,0.6324555320336759,9.868336055321652,0.3,0.5,0.7142857142857143,0.7142857142857143,RandomOverSampler
9,-0.0020966529846191406,-0.0001289844512939453,-6.747245788574219e-05,0.75,0.6666666666666666,0.6666666666666667,0.3333333333333333,0.09091987815158042,0.5,0.5,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.5,0.75,0.75,0.75,0.4166666666666667,0.6666666666666667,0.3333333333333333,0.09091987815158042,0.5,0.5,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.5,0.75,0.75,RandomOverSampler
10,-0.0022623538970947266,-0.00010204315185546875,-6.365776062011719e-05,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.35714285714285715,0.10702939421636304,0.5,0.5,0.6818181818181819,0.6546536707079771,7.675372487472397,0.35714285714285715,0.5,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.42857142857142855,0.6785714285714286,0.35714285714285715,0.10702939421636304,0.5,0.5,0.6818181818181819,0.6546536707079771,7.675372487472397,0.35714285714285715,0.5,0.7777777777777778,0.7777777777777778,RandomOverSampler
11,-0.002454519271850586,-0.00010991096496582031,-8.225440979003906e-05,0.7,0.5952380952380952,0.5952380952380952,0.2105263157894738,0.04469752582273556,0.4,0.3571428571428571,0.6064784348631227,0.5345224838248488,10.361712878216226,0.21821789023599242,0.5,0.675,0.7,0.7,0.5714285714285714,0.5952380952380952,0.2105263157894738,0.04469752582273556,0.4,0.3571428571428571,0.6064784348631227,0.5345224838248488,10.361712878216226,0.21821789023599242,0.5,0.675,0.7,RandomOverSampler
