Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0003142356872558594,6.890296936035156e-05,0.0002453327178955078,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_ADWINBaggingClassifier
2,0.0010731220245361328,7.176399230957031e-05,0.0006871223449707031,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_ADWINBaggingClassifier
3,0.0013942718505859375,6.246566772460938e-05,0.0002586841583251953,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_ADWINBaggingClassifier
4,0.0017235279083251953,6.651878356933594e-05,0.0002627372741699219,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,ensemble_ADWINBaggingClassifier
5,0.0021317005157470703,6.246566772460938e-05,0.0003457069396972656,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,ensemble_ADWINBaggingClassifier
6,0.0025348663330078125,6.318092346191406e-05,0.0003399848937988281,0.6666666666666666,0.4,0.4,-0.20000000000000057,0.0,0.0,0.0,0.6000000000000001,0.0,11.513058731208595,-0.19999999999999998,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.4,-0.20000000000000057,0.0,0.0,0.0,0.6000000000000001,0.0,11.513058731208595,-0.19999999999999998,0.0,0.6666666666666666,0.6666666666666666,ensemble_ADWINBaggingClassifier
7,0.0029053688049316406,6.175041198730469e-05,0.00030875205993652344,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.802446968880322,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.802446968880322,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,ensemble_ADWINBaggingClassifier
8,0.003095388412475586,6.151199340820312e-05,0.0001285076141357422,0.5,0.33333333333333337,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.5000000000000001,0.0,17.269588096812893,-0.3333333333333333,0.0,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.5000000000000001,0.0,17.269588096812893,-0.3333333333333333,0.0,0.5,0.5,ensemble_ADWINBaggingClassifier
9,0.0032851696014404297,6.437301635742188e-05,0.00012540817260742188,0.5555555555555556,0.35714285714285715,0.35714285714285715,-0.2857142857142857,0.0,0.0,0.0,0.5454545454545454,0.0,15.350744974944794,-0.2857142857142857,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.35714285714285715,0.35714285714285715,-0.2857142857142857,0.0,0.0,0.0,0.5454545454545454,0.0,15.350744974944794,-0.2857142857142857,0.0,0.5555555555555556,0.5555555555555556,ensemble_ADWINBaggingClassifier
10,0.0035719871520996094,6.127357482910156e-05,0.00022554397583007812,0.5,0.3125,0.3125,-0.3157894736842101,0.0,0.0,0.0,0.5306686305052325,0.0,17.269628076684402,-0.32732683535398854,0.0,0.5714285714285714,0.5,0.5,0.3125,0.3125,-0.3157894736842101,0.0,0.0,0.0,0.5306686305052325,0.0,17.269628076684402,-0.32732683535398854,0.0,0.5714285714285714,0.5,ensemble_ADWINBaggingClassifier
