Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.0007059574127197266,-0.00014972686767578125,-0.0005562305450439453,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_ADWINBoostingClassifier
2,-0.001466512680053711,-0.00014495849609375,-0.0006155967712402344,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_ADWINBoostingClassifier
3,-0.0024755001068115234,-0.00021028518676757812,-0.0007987022399902344,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_ADWINBoostingClassifier
4,-0.0028960704803466797,-6.389617919921875e-05,-0.0003566741943359375,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,ensemble_ADWINBoostingClassifier
5,-0.0031630992889404297,-6.389617919921875e-05,-0.00020313262939453125,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,ensemble_ADWINBoostingClassifier
6,-0.003635883331298828,-0.000110626220703125,-0.00036215782165527344,0.6666666666666666,0.4,0.4,-0.20000000000000057,0.07448308596203668,0.0,0.0,0.6000000000000001,0.0,11.513058731208595,-0.19999999999999998,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.4,-0.20000000000000057,0.07448308596203668,0.0,0.0,0.6000000000000001,0.0,11.513058731208595,-0.19999999999999998,0.0,0.6666666666666666,0.6666666666666666,ensemble_ADWINBoostingClassifier
7,-0.0039980411529541016,-9.202957153320312e-05,-0.0002701282501220703,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.802446968880322,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.802446968880322,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,ensemble_ADWINBoostingClassifier
8,-0.004214286804199219,-7.772445678710938e-05,-0.0001385211944580078,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.10311128269063408,0.0,0.0,0.600099198148979,0.0,12.952141097770282,-0.2182178902359924,0.0,0.5357142857142857,0.625,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.10311128269063408,0.0,0.0,0.600099198148979,0.0,12.952141097770282,-0.2182178902359924,0.0,0.5357142857142857,0.625,ensemble_ADWINBoostingClassifier
9,-0.004434108734130859,-6.532669067382812e-05,-0.0001544952392578125,0.6666666666666666,0.4285714285714286,0.42857142857142855,-0.17391304347826084,0.08557910103462074,0.0,0.0,0.6446583712203042,0.0,11.51301430912914,-0.1889822365046136,0.0,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,-0.17391304347826084,0.08557910103462074,0.0,0.0,0.6446583712203042,0.0,11.51301430912914,-0.1889822365046136,0.0,0.5833333333333334,0.6666666666666666,ensemble_ADWINBoostingClassifier
10,-0.004740476608276367,-6.866455078125e-05,-0.0002377033233642578,0.7,0.4375,0.4375,-0.15384615384615447,0.07280247297910736,0.0,0.0,0.6808829066491903,0.0,10.361712878216226,-0.16666666666666669,0.0,0.6222222222222222,0.7,0.7,0.4375,0.4375,-0.15384615384615447,0.07280247297910736,0.0,0.0,0.6808829066491903,0.0,10.361712878216226,-0.16666666666666669,0.0,0.6222222222222222,0.7,ensemble_ADWINBoostingClassifier
11,-0.005144357681274414,-6.794929504394531e-05,-0.00033593177795410156,0.7272727272727273,0.6041666666666666,0.6041666666666666,0.23255813953488386,0.0559537596312637,0.4,0.3571428571428571,0.6495924548932419,0.5400617248673217,9.41973898019657,0.24056261216234415,0.5,0.702020202020202,0.7272727272727273,0.7272727272727273,0.5833333333333334,0.6041666666666666,0.23255813953488386,0.0559537596312637,0.4,0.3571428571428571,0.6495924548932419,0.5400617248673217,9.41973898019657,0.24056261216234415,0.5,0.702020202020202,0.7272727272727273,ensemble_ADWINBoostingClassifier
12,-0.005475282669067383,-6.842613220214844e-05,-0.0002624988555908203,0.6666666666666666,0.5625,0.5625,0.14285714285714265,0.026491524172214787,0.3333333333333333,0.2777777777777778,0.6068660849090083,0.4677071733467427,11.512992098089413,0.15811388300841894,0.5,0.6333333333333333,0.6666666666666666,0.6666666666666666,0.4375,0.5625,0.14285714285714265,0.026491524172214787,0.3333333333333333,0.2777777777777778,0.6068660849090083,0.4677071733467427,11.512992098089413,0.15811388300841894,0.5,0.6333333333333333,0.6666666666666666,ensemble_ADWINBoostingClassifier
13,-0.005681753158569336,-6.699562072753906e-05,-0.00013947486877441406,0.6153846153846154,0.5375,0.5375,0.08450704225352129,0.011650878965959621,0.28571428571428575,0.22727272727272727,0.585299229428781,0.41833001326703784,13.284206274767971,0.10112997936948631,0.5,0.583916083916084,0.6153846153846154,0.6153846153846154,0.525,0.5375,0.08450704225352129,0.011650878965959621,0.28571428571428575,0.22727272727272727,0.585299229428781,0.41833001326703784,13.284206274767971,0.10112997936948631,0.5,0.583916083916084,0.6153846153846154,ensemble_ADWINBoostingClassifier
