Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.001069784164428711,-0.00012159347534179688,-0.0009481906890869141,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_LeveragingBaggingClassifier
2,-0.0028514862060546875,-9.942054748535156e-05,-0.001682281494140625,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_LeveragingBaggingClassifier
3,-0.00411224365234375,-9.942054748535156e-05,-0.001161336898803711,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_LeveragingBaggingClassifier
4,-0.004826068878173828,-4.863739013671875e-05,-0.0006651878356933594,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,ensemble_LeveragingBaggingClassifier
5,-0.005457878112792969,-4.3392181396484375e-05,-0.0005884170532226562,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,ensemble_LeveragingBaggingClassifier
6,-0.006160736083984375,-4.57763671875e-05,-0.0006570816040039062,0.6666666666666666,0.4,0.4,-0.20000000000000057,0.07448308596203668,0.0,0.0,0.6000000000000001,0.0,11.513058731208595,-0.19999999999999998,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.4,-0.20000000000000057,0.07448308596203668,0.0,0.0,0.6000000000000001,0.0,11.513058731208595,-0.19999999999999998,0.0,0.6666666666666666,0.6666666666666666,ensemble_LeveragingBaggingClassifier
7,-0.006850004196166992,-0.00010204315185546875,-0.0005872249603271484,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.802446968880322,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.12846603124941058,0.0,0.0,0.5449492609130661,0.0,14.802446968880322,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,ensemble_LeveragingBaggingClassifier
8,-0.007473468780517578,-4.482269287109375e-05,-0.0005786418914794922,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.10311128269063408,0.0,0.0,0.600099198148979,0.0,12.952141097770282,-0.2182178902359924,0.0,0.5357142857142857,0.625,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.10311128269063408,0.0,0.0,0.600099198148979,0.0,12.952141097770282,-0.2182178902359924,0.0,0.5357142857142857,0.625,ensemble_LeveragingBaggingClassifier
9,-0.008093118667602539,-4.601478576660156e-05,-0.0005736351013183594,0.5555555555555556,0.35714285714285715,0.35714285714285715,-0.2857142857142857,0.12154928156462796,0.0,0.0,0.5454545454545454,0.0,15.350744974944792,-0.2857142857142857,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.35714285714285715,0.35714285714285715,-0.2857142857142857,0.12154928156462796,0.0,0.0,0.5454545454545454,0.0,15.350744974944792,-0.2857142857142857,0.0,0.5555555555555556,0.5555555555555556,ensemble_LeveragingBaggingClassifier
10,-0.008808612823486328,-4.267692565917969e-05,-0.0006728172302246094,0.6,0.375,0.375,-0.2500000000000007,0.10098733632389123,0.0,0.0,0.5862068965517241,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,0.6,0.375,0.375,-0.2500000000000007,0.10098733632389123,0.0,0.0,0.5862068965517241,0.0,13.815670477450313,-0.25,0.0,0.6,0.6,ensemble_LeveragingBaggingClassifier
11,-0.009738922119140625,-4.315376281738281e-05,-0.0008871555328369141,0.5454545454545454,0.375,0.375,-0.27906976744186046,0.13744546591027695,0.0,0.0,0.561011665589618,0.0,15.699589197219439,-0.28867513459481287,0.0,0.4848484848484848,0.5454545454545454,0.5454545454545454,0.25,0.375,-0.27906976744186046,0.13744546591027695,0.0,0.0,0.561011665589618,0.0,15.699589197219439,-0.28867513459481287,0.0,0.4848484848484848,0.5454545454545454,ensemble_LeveragingBaggingClassifier
