Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.007923603057861328,0.0015676021575927734,0.006356000900268555,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_StackingClassifier
2,0.013480424880981445,0.001177072525024414,0.004379749298095703,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_StackingClassifier
3,0.01903223991394043,0.0011899471282958984,0.004361867904663086,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_StackingClassifier
4,0.026858091354370117,0.0013470649719238281,0.006478786468505859,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,ensemble_StackingClassifier
5,0.03483295440673828,0.0017173290252685547,0.006257534027099609,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,ensemble_StackingClassifier
6,0.04778909683227539,0.0017228126525878906,0.011233329772949219,0.8333333333333334,0.5,0.5,0.0,0.0,0.0,0.0,0.816496580927726,0.0,5.756462732485115,0.0,0.0,0.6944444444444445,0.8333333333333334,0.8333333333333334,0.0,0.5,0.0,0.0,0.0,0.0,0.816496580927726,0.0,5.756462732485115,0.0,0.0,0.6944444444444445,0.8333333333333334,ensemble_StackingClassifier
7,0.05706286430358887,0.0018954277038574219,0.007378339767456055,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,0.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,ensemble_StackingClassifier
8,0.0650186538696289,0.0018258094787597656,0.0061299800872802734,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_StackingClassifier
9,0.07318615913391113,0.0018849372863769531,0.0062825679779052734,0.7777777777777778,0.5,0.5,0.0,0.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,0.7777777777777778,0.5,0.5,0.0,0.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,ensemble_StackingClassifier
10,0.08375978469848633,0.0018849372863769531,0.008688688278198242,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.8027729719194864,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.8027729719194864,0.0,6.907755278982137,0.0,0.0,0.64,0.8,ensemble_StackingClassifier
