Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.04654812812805176,0.005304813385009766,0.04124331474304199,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_voting
2,0.10269546508789062,0.00579524040222168,0.05035209655761719,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_voting
3,0.15412330627441406,0.005206108093261719,0.04622173309326172,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_voting
4,0.21032357215881348,0.00559544563293457,0.050604820251464844,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727673,0.0,0.0,0.5625,0.75,ensemble_voting
5,0.26973748207092285,0.0067424774169921875,0.05267143249511719,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982139,0.0,0.0,0.64,0.8,ensemble_voting
6,0.33142614364624023,0.006602048873901367,0.055086612701416016,0.6666666666666666,0.4,0.4,-0.20000000000000057,0.0,0.0,0.0,0.6000000000000001,0.0,11.513058731208595,-0.19999999999999998,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.4,-0.20000000000000057,0.0,0.0,0.0,0.6000000000000001,0.0,11.513058731208595,-0.19999999999999998,0.0,0.6666666666666666,0.6666666666666666,ensemble_voting
7,0.39197254180908203,0.007102012634277344,0.05344438552856445,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.802446968880322,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.0,0.0,0.0,0.5449492609130661,0.0,14.802446968880322,-0.2581988897471611,0.0,0.4761904761904762,0.5714285714285714,ensemble_voting
8,0.44866323471069336,0.006850242614746094,0.049840450286865234,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.0,0.0,0.0,0.600099198148979,0.0,12.952141097770282,-0.2182178902359924,0.0,0.5357142857142857,0.625,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.0,0.0,0.0,0.600099198148979,0.0,12.952141097770282,-0.2182178902359924,0.0,0.5357142857142857,0.625,ensemble_voting
9,0.5082526206970215,0.0069561004638671875,0.05263328552246094,0.6666666666666666,0.4285714285714286,0.42857142857142855,-0.17391304347826084,0.0,0.0,0.0,0.6446583712203042,0.0,11.51301430912914,-0.1889822365046136,0.0,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,-0.17391304347826084,0.0,0.0,0.0,0.6446583712203042,0.0,11.51301430912914,-0.1889822365046136,0.0,0.5833333333333334,0.6666666666666666,ensemble_voting
10,0.5736324787139893,0.006980180740356445,0.05839967727661133,0.7,0.4375,0.4375,-0.15384615384615447,0.0,0.0,0.0,0.6808829066491903,0.0,10.361712878216226,-0.16666666666666669,0.0,0.6222222222222222,0.7,0.7,0.4375,0.4375,-0.15384615384615447,0.0,0.0,0.0,0.6808829066491903,0.0,10.361712878216226,-0.16666666666666669,0.0,0.6222222222222222,0.7,ensemble_voting
