Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.0007853507995605469,-2.6226043701171875e-05,-0.000759124755859375,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tree_HoeffdingAdaptiveTreeClassifier
2,-0.0012774467468261719,-0.00019359588623046875,-0.00029850006103515625,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,tree_HoeffdingAdaptiveTreeClassifier
3,-0.0016388893127441406,-0.00010275840759277344,-0.0002586841583251953,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,tree_HoeffdingAdaptiveTreeClassifier
4,-0.0019283294677734375,-4.220008850097656e-05,-0.0002472400665283203,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,tree_HoeffdingAdaptiveTreeClassifier
5,-0.0020961761474609375,-4.172325134277344e-05,-0.00012612342834472656,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,tree_HoeffdingAdaptiveTreeClassifier
6,-0.002322673797607422,-5.125999450683594e-05,-0.00017523765563964844,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,tree_HoeffdingAdaptiveTreeClassifier
7,-0.0027379989624023438,-4.100799560546875e-05,-0.0003743171691894531,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,tree_HoeffdingAdaptiveTreeClassifier
8,-0.0029408931732177734,-4.696846008300781e-05,-0.00015592575073242188,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,tree_HoeffdingAdaptiveTreeClassifier
9,-0.003113269805908203,-4.506111145019531e-05,-0.00012731552124023438,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,tree_HoeffdingAdaptiveTreeClassifier
10,-0.0032956600189208984,-4.673004150390625e-05,-0.00013566017150878906,0.7777777777777778,0.5,0.5,0.0,1.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,0.7777777777777778,0.5,0.5,0.0,1.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,tree_HoeffdingAdaptiveTreeClassifier
11,-0.003518819808959961,-4.76837158203125e-05,-0.00017547607421875,0.7,0.5,0.5,0.0,1.0,0.0,0.0,0.7302967433402214,0.0,10.361632918473205,0.0,0.0,0.49000000000000005,0.7,0.7,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.7302967433402214,0.0,10.361632918473205,0.0,0.0,0.49000000000000005,0.7,tree_HoeffdingAdaptiveTreeClassifier
12,-0.0037119388580322266,-5.245208740234375e-05,-0.00014066696166992188,0.6363636363636364,0.5,0.5,0.0,1.0,0.0,0.0,0.7006490497453707,0.0,12.559555052694794,0.0,0.0,0.4049586776859504,0.6363636363636364,0.6363636363636364,0.5,0.5,0.0,1.0,0.0,0.0,0.7006490497453707,0.0,12.559555052694794,0.0,0.0,0.4049586776859504,0.6363636363636364,tree_HoeffdingAdaptiveTreeClassifier
13,-0.003983974456787109,-5.245208740234375e-05,-0.00021958351135253906,0.5833333333333334,0.5,0.5,0.0,1.0,0.0,0.0,0.6853444168423419,0.0,14.391156831212784,0.0,0.0,0.34027777777777773,0.5833333333333334,0.5833333333333334,0.4,0.5,0.0,1.0,0.0,0.0,0.6853444168423419,0.0,14.391156831212784,0.0,0.0,0.34027777777777773,0.5833333333333334,tree_HoeffdingAdaptiveTreeClassifier
14,-0.004306793212890625,-5.125999450683594e-05,-0.0002715587615966797,0.6153846153846154,0.5,0.5,0.0,1.0,0.0,0.0,0.6979824404521128,0.0,13.28414476727334,0.0,0.0,0.37869822485207105,0.6153846153846154,0.6153846153846154,0.4,0.5,0.0,1.0,0.0,0.0,0.6979824404521128,0.0,13.28414476727334,0.0,0.0,0.37869822485207105,0.6153846153846154,tree_HoeffdingAdaptiveTreeClassifier
15,-0.004586696624755859,-5.1021575927734375e-05,-0.0002288818359375,0.5714285714285714,0.5,0.5,0.0,1.0,0.0,0.0,0.6874063372761939,0.0,14.802332740676007,0.0,0.0,0.32653061224489793,0.5714285714285714,0.5714285714285714,0.5,0.5,0.0,1.0,0.0,0.0,0.6874063372761939,0.0,14.802332740676007,0.0,0.0,0.32653061224489793,0.5714285714285714,tree_HoeffdingAdaptiveTreeClassifier
16,-0.004787445068359375,-5.364418029785156e-05,-0.00014710426330566406,0.5333333333333333,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,16.11809565095832,0.0,0.0,0.28444444444444444,0.5333333333333333,0.5333333333333333,0.42857142857142855,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,16.11809565095832,0.0,0.0,0.28444444444444444,0.5333333333333333,tree_HoeffdingAdaptiveTreeClassifier
17,-0.0051000118255615234,-5.3882598876953125e-05,-0.0002586841583251953,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,17.269388197455342,0.0,0.0,0.25,0.5,tree_HoeffdingAdaptiveTreeClassifier
