Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,-0.0006506443023681641,-2.6941299438476562e-05,-0.0006237030029296875,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tree_HoeffdingTreeClassifier
2,-0.0008609294891357422,-6.890296936035156e-05,-0.00014138221740722656,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,tree_HoeffdingTreeClassifier
3,-0.0010614395141601562,-6.818771362304688e-05,-0.0001323223114013672,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,tree_HoeffdingTreeClassifier
4,-0.0012385845184326172,-2.6226043701171875e-05,-0.00015091896057128906,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,tree_HoeffdingTreeClassifier
5,-0.0013468265533447266,-2.6464462280273438e-05,-8.177757263183594e-05,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,tree_HoeffdingTreeClassifier
6,-0.0014529228210449219,-3.5762786865234375e-05,-7.033348083496094e-05,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,tree_HoeffdingTreeClassifier
7,-0.0015707015991210938,-2.6464462280273438e-05,-9.131431579589844e-05,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,tree_HoeffdingTreeClassifier
8,-0.0016601085662841797,-3.0040740966796875e-05,-5.936622619628906e-05,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,tree_HoeffdingTreeClassifier
9,-0.001796722412109375,-2.7894973754882812e-05,-0.0001087188720703125,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,tree_HoeffdingTreeClassifier
10,-0.0018889904022216797,-2.9802322387695312e-05,-6.246566772460938e-05,0.7777777777777778,0.5,0.5,0.0,1.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,0.7777777777777778,0.5,0.5,0.0,1.0,0.0,0.0,0.7817359599705717,0.0,7.6752836433134854,0.0,0.0,0.6049382716049383,0.7777777777777778,tree_HoeffdingTreeClassifier
11,-0.0019960403442382812,-2.7418136596679688e-05,-7.963180541992188e-05,0.7,0.5,0.5,0.0,1.0,0.0,0.0,0.7302967433402214,0.0,10.361632918473205,0.0,0.0,0.49000000000000005,0.7,0.7,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.7302967433402214,0.0,10.361632918473205,0.0,0.0,0.49000000000000005,0.7,tree_HoeffdingTreeClassifier
12,-0.002084970474243164,-3.0517578125e-05,-5.841255187988281e-05,0.6363636363636364,0.5,0.5,0.0,1.0,0.0,0.0,0.7006490497453707,0.0,12.559555052694794,0.0,0.0,0.4049586776859504,0.6363636363636364,0.6363636363636364,0.5,0.5,0.0,1.0,0.0,0.0,0.7006490497453707,0.0,12.559555052694794,0.0,0.0,0.4049586776859504,0.6363636363636364,tree_HoeffdingTreeClassifier
13,-0.002233743667602539,-3.218650817871094e-05,-0.00011658668518066406,0.5833333333333334,0.5,0.5,0.0,1.0,0.0,0.0,0.6853444168423419,0.0,14.391156831212784,0.0,0.0,0.34027777777777773,0.5833333333333334,0.5833333333333334,0.4,0.5,0.0,1.0,0.0,0.0,0.6853444168423419,0.0,14.391156831212784,0.0,0.0,0.34027777777777773,0.5833333333333334,tree_HoeffdingTreeClassifier
14,-0.0023326873779296875,-3.0040740966796875e-05,-6.890296936035156e-05,0.6153846153846154,0.5,0.5,0.0,1.0,0.0,0.0,0.6979824404521128,0.0,13.28414476727334,0.0,0.0,0.37869822485207105,0.6153846153846154,0.6153846153846154,0.4,0.5,0.0,1.0,0.0,0.0,0.6979824404521128,0.0,13.28414476727334,0.0,0.0,0.37869822485207105,0.6153846153846154,tree_HoeffdingTreeClassifier
15,-0.002511739730834961,-3.790855407714844e-05,-0.000141143798828125,0.5714285714285714,0.5,0.5,0.0,1.0,0.0,0.0,0.6874063372761939,0.0,14.802332740676007,0.0,0.0,0.32653061224489793,0.5714285714285714,0.5714285714285714,0.5,0.5,0.0,1.0,0.0,0.0,0.6874063372761939,0.0,14.802332740676007,0.0,0.0,0.32653061224489793,0.5714285714285714,tree_HoeffdingTreeClassifier
16,-0.0026009082794189453,-3.24249267578125e-05,-5.6743621826171875e-05,0.5333333333333333,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,16.11809565095832,0.0,0.0,0.28444444444444444,0.5333333333333333,0.5333333333333333,0.42857142857142855,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,16.11809565095832,0.0,0.0,0.28444444444444444,0.5333333333333333,tree_HoeffdingTreeClassifier
17,-0.0027480125427246094,-3.075599670410156e-05,-0.0001163482666015625,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,17.269388197455342,0.0,0.0,0.25,0.5,tree_HoeffdingTreeClassifier
18,-0.002841472625732422,-3.3855438232421875e-05,-5.9604644775390625e-05,0.47058823529411764,0.5,0.5,0.0,1.0,0.0,0.0,0.6859943405700354,0.0,18.28523456201154,0.0,0.0,0.22145328719723184,0.47058823529411764,0.47058823529411764,0.4444444444444444,0.5,0.0,1.0,0.0,0.0,0.6859943405700354,0.0,18.28523456201154,0.0,0.0,0.22145328719723184,0.47058823529411764,tree_HoeffdingTreeClassifier
19,-0.003125905990600586,-3.0040740966796875e-05,-0.0002543926239013672,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.6859943405700354,0.0,17.269388197455342,0.0,0.0,0.25,0.5,0.5,0.4444444444444444,0.5,0.0,1.0,0.0,0.0,0.6859943405700354,0.0,17.269388197455342,0.0,0.0,0.25,0.5,tree_HoeffdingTreeClassifier
20,-0.003253936767578125,-7.343292236328125e-05,-5.459785461425781e-05,0.5263157894736842,0.5,0.5,0.0,1.0,0.0,0.0,0.6882472016116853,0.0,16.36047302916822,0.0,0.0,0.2770083102493075,0.5263157894736842,0.5263157894736842,0.4444444444444444,0.5,0.0,1.0,0.0,0.0,0.6882472016116853,0.0,16.36047302916822,0.0,0.0,0.2770083102493075,0.5263157894736842,tree_HoeffdingTreeClassifier
21,-0.0033960342407226562,-3.170967102050781e-05,-0.00011038780212402344,0.55,0.5,0.5,0.0,1.0,0.0,0.0,0.6920602346769048,0.0,15.542449377709808,0.0,0.0,0.3025,0.55,0.55,0.4444444444444444,0.5,0.0,1.0,0.0,0.0,0.6920602346769048,0.0,15.542449377709808,0.0,0.0,0.3025,0.55,tree_HoeffdingTreeClassifier
