Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.003521442413330078,0.00015115737915039062,0.0033702850341796875,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARFClassifier
2,0.004181861877441406,0.0002219676971435547,0.00043845176696777344,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ARFClassifier
3,0.004805803298950195,0.00019073486328125,0.00043320655822753906,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ARFClassifier
4,0.005421876907348633,0.00019669532775878906,0.00041937828063964844,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ARFClassifier
5,0.007369518280029297,0.00019788742065429688,0.0017497539520263672,0.75,0.5,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,0.75,0.3333333333333333,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,ARFClassifier
6,0.008257865905761719,0.00025653839111328125,0.0006318092346191406,0.6,0.5,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936352,0.0,0.6,0.36,0.6,0.6,0.3333333333333333,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936352,0.0,0.6,0.36,0.6,ARFClassifier
7,0.008984804153442383,0.00024700164794921875,0.0004799365997314453,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.6831300510639732,0.0,11.51319199744696,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.6831300510639732,0.0,11.51319199744696,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,ARFClassifier
8,0.011039495468139648,0.00023365020751953125,0.0018210411071777344,0.7142857142857143,0.5,0.5,0.0,1.0,0.8333333333333333,0.9259259259259259,0.7237468644557459,0.0,9.868450283525966,0.0,0.7142857142857143,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.4,0.5,0.0,1.0,0.8333333333333333,0.9259259259259259,0.7237468644557459,0.0,9.868450283525966,0.0,0.7142857142857143,0.5102040816326531,0.7142857142857143,ARFClassifier
9,0.0149993896484375,0.0002541542053222656,0.003705739974975586,0.625,0.5,0.5,0.0,1.0,0.7692307692307693,0.8928571428571429,0.6813851438692469,0.0,12.95234099712783,0.0,0.625,0.390625,0.625,0.625,0.4,0.5,0.0,1.0,0.7692307692307693,0.8928571428571429,0.6813851438692469,0.0,12.95234099712783,0.0,0.625,0.390625,0.625,ARFClassifier
10,0.017901897430419922,0.00026679039001464844,0.0026357173919677734,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.7071067811865476,0.0,11.513191997446961,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.7071067811865476,0.0,11.513191997446961,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,ARFClassifier
11,0.0201113224029541,0.00025963783264160156,0.0019497871398925781,0.6,0.5,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6831300510639732,0.0,13.815830396936354,0.0,0.6,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6831300510639732,0.0,13.815830396936354,0.0,0.6,0.36,0.6,ARFClassifier
12,0.022066354751586914,0.00025391578674316406,0.0017011165618896484,0.6363636363636364,0.5,0.5,0.0,1.0,0.7777777777777778,0.8974358974358974,0.7006490497453707,0.0,12.559845815396686,0.0,0.6363636363636364,0.4049586776859504,0.6363636363636364,0.6363636363636364,0.42857142857142855,0.5,0.0,1.0,0.7777777777777778,0.8974358974358974,0.7006490497453707,0.0,12.559845815396686,0.0,0.6363636363636364,0.4049586776859504,0.6363636363636364,ARFClassifier
13,0.023018360137939453,0.00027370452880859375,0.0006783008575439453,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.7177405625652734,0.0,11.513191997446963,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.7177405625652734,0.0,11.513191997446963,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,ARFClassifier
14,0.0238649845123291,0.0002620220184326172,0.0005846023559570312,0.6923076923076923,0.5,0.5,0.0,1.0,0.8181818181818181,0.9183673469387755,0.7337993857053428,0.0,10.627561843797197,0.0,0.6923076923076923,0.47928994082840237,0.6923076923076923,0.6923076923076923,0.4444444444444444,0.5,0.0,1.0,0.8181818181818181,0.9183673469387755,0.7337993857053428,0.0,10.627561843797197,0.0,0.6923076923076923,0.47928994082840237,0.6923076923076923,ARFClassifier
15,0.025280475616455078,0.0002627372741699219,0.0011527538299560547,0.6428571428571429,0.5,0.5,0.0,1.0,0.782608695652174,0.9,0.7109813678954643,0.0,12.33556285440746,0.0,0.6428571428571429,0.413265306122449,0.6428571428571429,0.6428571428571429,0.4444444444444444,0.5,0.0,1.0,0.782608695652174,0.9,0.7109813678954643,0.0,12.33556285440746,0.0,0.6428571428571429,0.413265306122449,0.6428571428571429,ARFClassifier
16,0.027190208435058594,0.0002613067626953125,0.0016484260559082031,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.7237468644557459,0.0,11.513191997446963,0.0,0.6666666666666666,0.4444444444444445,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.7237468644557459,0.0,11.513191997446963,0.0,0.6666666666666666,0.4444444444444445,0.6666666666666666,ARFClassifier
17,0.028625965118408203,0.00026917457580566406,0.0011665821075439453,0.625,0.45454545454545453,0.45454545454545453,-0.11627906976744186,0.9090909090909091,0.7692307692307692,0.8474576271186439,0.6657502859356826,0.0,12.952291022288446,-0.17407765595569785,0.6666666666666666,0.4583333333333333,0.625,0.625,0.45454545454545453,0.45454545454545453,-0.11627906976744186,0.9090909090909091,0.7692307692307692,0.8474576271186439,0.6657502859356826,0.0,12.952291022288446,-0.17407765595569785,0.6666666666666666,0.4583333333333333,0.625,ARFClassifier
18,0.030942916870117188,0.0005106925964355469,0.0018062591552734375,0.6470588235294118,0.4583333333333333,0.4583333333333333,-0.10869565217391336,0.9166666666666666,0.7857142857142857,0.859375,0.6806376009740052,0.0,12.190391550389126,-0.1613743060919761,0.6875,0.4852941176470588,0.6470588235294118,0.6470588235294118,0.4166666666666667,0.4583333333333333,-0.10869565217391336,0.9166666666666666,0.7857142857142857,0.859375,0.6806376009740052,0.0,12.190391550389126,-0.1613743060919761,0.6875,0.4852941176470588,0.6470588235294118,ARFClassifier
19,0.032582998275756836,0.0002720355987548828,0.0013680458068847656,0.6111111111111112,0.4583333333333333,0.4583333333333333,-0.10526315789473632,0.9166666666666666,0.7586206896551724,0.8461538461538461,0.6669389422208677,0.0,13.432012908275334,-0.1714985851425075,0.6470588235294118,0.43137254901960786,0.6111111111111112,0.6111111111111112,0.4166666666666667,0.4583333333333333,-0.10526315789473632,0.9166666666666666,0.7586206896551724,0.8461538461538461,0.6669389422208677,0.0,13.432012908275334,-0.1714985851425075,0.6470588235294118,0.43137254901960786,0.6111111111111112,ARFClassifier
20,0.03353071212768555,0.00027370452880859375,0.0006740093231201172,0.5789473684210527,0.4583333333333333,0.4583333333333333,-0.10144927536231874,0.9166666666666666,0.7333333333333334,0.8333333333333334,0.6587312254903022,0.0,14.542937281120889,-0.18002057495577312,0.6111111111111112,0.38596491228070173,0.5789473684210527,0.5789473684210527,0.4166666666666667,0.4583333333333333,-0.10144927536231874,0.9166666666666666,0.7333333333333334,0.8333333333333334,0.6587312254903022,0.0,14.542937281120889,-0.18002057495577312,0.6111111111111112,0.38596491228070173,0.5789473684210527,ARFClassifier
21,0.03481578826904297,0.00027680397033691406,0.0010082721710205078,0.6,0.5208333333333333,0.5208333333333333,0.04761904761904741,0.9166666666666666,0.7333333333333334,0.8333333333333334,0.6316686236224496,0.33850160019316505,13.815790417064845,0.06804138174397723,0.6111111111111112,0.5666666666666667,0.6,0.6,0.4791666666666667,0.5208333333333333,0.04761904761904741,0.9166666666666666,0.7333333333333334,0.8333333333333334,0.6316686236224496,0.33850160019316505,13.815790417064845,0.06804138174397723,0.6111111111111112,0.5666666666666667,0.6,ARFClassifier
22,0.0356903076171875,0.00027632713317871094,0.0005981922149658203,0.5714285714285714,0.513888888888889,0.5138888888888888,0.030769230769230556,0.9166666666666666,0.7096774193548387,0.8208955223880597,0.6266337515974789,0.3191423692521127,14.802637349220847,0.04682929057908475,0.5789473684210527,0.5451127819548872,0.5714285714285714,0.5714285714285714,0.4722222222222222,0.5138888888888888,0.030769230769230556,0.9166666666666666,0.7096774193548387,0.8208955223880597,0.6266337515974789,0.3191423692521127,14.802637349220847,0.04682929057908475,0.5789473684210527,0.5451127819548872,0.5714285714285714,ARFClassifier
23,0.03687477111816406,0.00027823448181152344,0.0009062290191650391,0.5454545454545454,0.5083333333333333,0.5083333333333333,0.017857142857142797,0.9166666666666666,0.6874999999999999,0.8088235294117646,0.624975826144452,0.3027650354097492,15.69977092390812,0.028867513459481575,0.55,0.5272727272727272,0.5454545454545454,0.5454545454545454,0.4666666666666667,0.5083333333333333,0.017857142857142797,0.9166666666666666,0.6874999999999999,0.8088235294117646,0.624975826144452,0.3027650354097492,15.69977092390812,0.028867513459481575,0.55,0.5272727272727272,0.5454545454545454,ARFClassifier
24,0.03923678398132324,0.00026488304138183594,0.0020971298217773438,0.5217391304347826,0.5037878787878788,0.5037878787878788,0.007843137254902035,0.9166666666666666,0.6666666666666667,0.7971014492753623,0.625843991655922,0.28867513459481287,16.518892883405197,0.013430382733756857,0.5238095238095238,0.5124223602484471,0.5217391304347826,0.5217391304347826,0.4621212121212121,0.5037878787878788,0.007843137254902035,0.9166666666666666,0.6666666666666667,0.7971014492753623,0.625843991655922,0.28867513459481287,16.518892883405197,0.013430382733756857,0.5238095238095238,0.5124223602484471,0.5217391304347826,ARFClassifier
25,0.04164409637451172,0.00027108192443847656,0.00213623046875,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.08333333333333326,0.9166666666666666,0.6666666666666667,0.7971014492753623,0.602344024695132,0.3908679799852858,15.830605679929981,0.12598815766974228,0.5238095238095238,0.5952380952380952,0.5416666666666666,0.5416666666666666,0.5,0.5416666666666666,0.08333333333333326,0.9166666666666666,0.6666666666666667,0.7971014492753623,0.602344024695132,0.3908679799852858,15.830605679929981,0.12598815766974228,0.5238095238095238,0.5952380952380952,0.5416666666666666,ARFClassifier
26,0.04366588592529297,0.0002732276916503906,0.0017485618591308594,0.56,0.5737179487179487,0.5737179487179487,0.14330218068535847,0.9166666666666666,0.6666666666666667,0.7971014492753623,0.5840218599691374,0.45993310550389993,15.197381452732781,0.20092126037170127,0.5238095238095238,0.6414285714285713,0.56,0.56,0.532051282051282,0.5737179487179487,0.14330218068535847,0.9166666666666666,0.6666666666666667,0.7971014492753623,0.5840218599691374,0.45993310550389993,15.197381452732781,0.20092126037170127,0.5238095238095238,0.6414285714285713,0.56,ARFClassifier
