Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0006322860717773438,2.09808349609375e-05,0.0006113052368164062,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsRestClassifier
2,0.0007503032684326172,2.47955322265625e-05,9.322166442871094e-05,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,OneVsRestClassifier
3,0.0008840560913085938,2.4557113647460938e-05,0.00010919570922851562,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,OneVsRestClassifier
4,0.0010113716125488281,2.5510787963867188e-05,0.00010180473327636719,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,OneVsRestClassifier
5,0.0016019344329833984,2.5987625122070312e-05,0.0005645751953125,0.75,0.5,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,0.75,0.3333333333333333,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,OneVsRestClassifier
6,0.0017499923706054688,3.933906555175781e-05,0.0001087188720703125,0.8,0.75,0.75,0.5454545454545455,1.0,0.8571428571428571,0.9375,0.6123724356957946,0.7071067811865476,6.907915198468178,0.6123724356957946,0.75,0.85,0.8,0.8,0.6666666666666666,0.75,0.5454545454545455,1.0,0.8571428571428571,0.9375,0.6123724356957946,0.7071067811865476,6.907915198468178,0.6123724356957946,0.75,0.85,0.8,OneVsRestClassifier
7,0.0018999576568603516,4.076957702636719e-05,0.00010919570922851562,0.8333333333333334,0.75,0.75,0.5714285714285715,1.0,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.75,0.75,0.5714285714285715,1.0,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,OneVsRestClassifier
8,0.0020449161529541016,3.62396240234375e-05,0.0001087188720703125,0.8571428571428571,0.75,0.75,0.5882352941176469,1.0,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,0.8571428571428571,0.7,0.75,0.5882352941176469,1.0,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,OneVsRestClassifier
9,0.0022308826446533203,3.552436828613281e-05,0.00015044212341308594,0.875,0.8333333333333334,0.8333333333333333,0.7142857142857143,1.0,0.9090909090909091,0.9615384615384615,0.76271276980969,0.816496580927726,4.317446999042611,0.7453559924999299,0.8333333333333334,0.8958333333333334,0.875,0.875,0.8,0.8333333333333333,0.7142857142857143,1.0,0.9090909090909091,0.9615384615384615,0.76271276980969,0.816496580927726,4.317446999042611,0.7453559924999299,0.8333333333333334,0.8958333333333334,0.875,OneVsRestClassifier
10,0.0023818016052246094,4.363059997558594e-05,0.00010728836059570312,0.7777777777777778,0.7500000000000002,0.75,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.7453559924999299,7.675372487472396,0.5000000000000002,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.75,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.7453559924999299,7.675372487472396,0.5000000000000002,0.8333333333333334,0.7777777777777778,0.7777777777777778,OneVsRestClassifier
