Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0029113292694091797,0.0012178421020507812,0.0016934871673583984,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ensemble_SRPClassifier
2,0.003500223159790039,7.796287536621094e-05,0.0005109310150146484,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_SRPClassifier
3,0.003947019577026367,8.082389831542969e-05,0.00036597251892089844,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_SRPClassifier
4,0.004591464996337891,7.915496826171875e-05,0.0005652904510498047,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_SRPClassifier
5,0.005774497985839844,8.177757263183594e-05,0.0011012554168701172,0.75,0.5,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,0.75,0.3333333333333333,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,ensemble_SRPClassifier
6,0.0063517093658447266,8.7738037109375e-05,0.0004894733428955078,0.6,0.5,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936352,0.0,0.6,0.36,0.6,0.6,0.3333333333333333,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936352,0.0,0.6,0.36,0.6,ensemble_SRPClassifier
7,0.0068874359130859375,8.7738037109375e-05,0.00044798851013183594,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.6831300510639732,0.0,11.51319199744696,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.6831300510639732,0.0,11.51319199744696,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,ensemble_SRPClassifier
8,0.007417440414428711,8.702278137207031e-05,0.0004429817199707031,0.7142857142857143,0.5,0.5,0.0,1.0,0.8333333333333333,0.9259259259259259,0.7237468644557459,0.0,9.868450283525966,0.0,0.7142857142857143,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.4,0.5,0.0,1.0,0.8333333333333333,0.9259259259259259,0.7237468644557459,0.0,9.868450283525966,0.0,0.7142857142857143,0.5102040816326531,0.7142857142857143,ensemble_SRPClassifier
9,0.007924795150756836,9.512901306152344e-05,0.00041222572326660156,0.625,0.5,0.5,0.0,1.0,0.7692307692307693,0.8928571428571429,0.6813851438692469,0.0,12.95234099712783,0.0,0.625,0.390625,0.625,0.625,0.4,0.5,0.0,1.0,0.7692307692307693,0.8928571428571429,0.6813851438692469,0.0,12.95234099712783,0.0,0.625,0.390625,0.625,ensemble_SRPClassifier
10,0.008476495742797852,0.000102996826171875,0.0004487037658691406,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.7071067811865476,0.0,11.513191997446961,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.7071067811865476,0.0,11.513191997446961,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,ensemble_SRPClassifier
11,0.009182453155517578,8.726119995117188e-05,0.0006186962127685547,0.6,0.5,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6831300510639732,0.0,13.815830396936354,0.0,0.6,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6831300510639732,0.0,13.815830396936354,0.0,0.6,0.36,0.6,ensemble_SRPClassifier
