Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.014612913131713867,0.0016942024230957031,0.012918710708618164,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,ensemble_StackingClassifier
2,0.02323746681213379,0.0013720989227294922,0.00725245475769043,0.5,-0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,0.5,0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,ensemble_StackingClassifier
3,0.030123472213745117,0.0013623237609863281,0.005523681640625,0.6666666666666666,-0.0,0.3333333333333333,0.0,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,ensemble_StackingClassifier
4,0.039945363998413086,0.0013573169708251953,0.008464574813842773,0.75,-0.0,0.375,0.0,0.75,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,0.75,0.0,0.375,0.0,0.75,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,ensemble_StackingClassifier
5,0.05638003349304199,0.0015037059783935547,0.014930963516235352,0.6,0.375,0.375,-0.2500000000000007,0.75,0.75,0.75,0.5000000000000001,0.0,13.815670477450313,-0.25000000000000094,0.75,0.6,0.6,0.6,0.25,0.375,-0.2500000000000007,0.75,0.75,0.75,0.5000000000000001,0.0,13.815670477450313,-0.25000000000000094,0.75,0.6,0.6,ensemble_StackingClassifier
6,0.06572985649108887,0.0019931793212890625,0.0073566436767578125,0.5,0.375,0.375,-0.28571428571428586,0.75,0.6666666666666665,0.7142857142857143,0.47809144373375745,0.0,17.269654729932075,-0.3162277660168381,0.6,0.39999999999999997,0.5,0.5,0.25,0.375,-0.28571428571428586,0.75,0.6666666666666665,0.7142857142857143,0.47809144373375745,0.0,17.269654729932075,-0.3162277660168381,0.6,0.39999999999999997,0.5,ensemble_StackingClassifier
7,0.0804288387298584,0.002208709716796875,0.012490272521972656,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.8,0.7272727272727272,0.7692307692307692,0.5449492609130661,0.0,14.802561197084636,-0.2581988897471614,0.6666666666666666,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.8,0.7272727272727272,0.7692307692307692,0.5449492609130661,0.0,14.802561197084636,-0.2581988897471614,0.6666666666666666,0.4761904761904762,0.5714285714285714,ensemble_StackingClassifier
8,0.09230256080627441,0.0021905899047851562,0.00968313217163086,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.8333333333333334,0.7692307692307692,0.8064516129032258,0.600099198148979,0.0,12.952241047449057,-0.2182178902359924,0.7142857142857143,0.5357142857142857,0.625,0.625,0.3333333333333333,0.4166666666666667,-0.2,0.8333333333333334,0.7692307692307692,0.8064516129032258,0.600099198148979,0.0,12.952241047449057,-0.2182178902359924,0.7142857142857143,0.5357142857142857,0.625,ensemble_StackingClassifier
9,0.1058204174041748,0.0023279190063476562,0.011189937591552734,0.6666666666666666,0.5833333333333335,0.5833333333333334,0.1818181818181818,0.8333333333333334,0.7692307692307692,0.8064516129032258,0.5527707983925667,0.5270462766947298,11.513103153288052,0.18898223650461388,0.7142857142857143,0.6428571428571428,0.6666666666666666,0.6666666666666666,0.5,0.5833333333333334,0.1818181818181818,0.8333333333333334,0.7692307692307692,0.8064516129032258,0.5527707983925667,0.5270462766947298,11.513103153288052,0.18898223650461388,0.7142857142857143,0.6428571428571428,0.6666666666666666,ensemble_StackingClassifier
10,0.11795258522033691,0.002434253692626953,0.009697914123535156,0.7,0.5952380952380953,0.5952380952380952,0.2105263157894738,0.8571428571428571,0.7999999999999999,0.8333333333333333,0.6064784348631227,0.5345224838248488,10.361792837959246,0.21821789023599258,0.75,0.675,0.7,0.7,0.5714285714285714,0.5952380952380952,0.2105263157894738,0.8571428571428571,0.7999999999999999,0.8333333333333333,0.6064784348631227,0.5345224838248488,10.361792837959246,0.21821789023599258,0.75,0.675,0.7,ensemble_StackingClassifier
