Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00018525123596191406,2.4080276489257812e-05,0.00016117095947265625,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,linear_model_PAClassifier
2,0.00028634071350097656,2.4557113647460938e-05,7.653236389160156e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,linear_model_PAClassifier
3,0.00038933753967285156,2.4080276489257812e-05,7.891654968261719e-05,0.3333333333333333,-0.0,0.16666666666666666,0.0,0.3333333333333333,0.5,0.3846153846153846,0.5773502691896257,0.0,23.025850929940457,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.3333333333333333,0.5,0.3846153846153846,0.5773502691896257,0.0,23.025850929940457,0.0,1.0,1.0,0.3333333333333333,linear_model_PAClassifier
4,0.0004932880401611328,2.5272369384765625e-05,7.867813110351562e-05,0.5,-0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.5773502691896257,0.0,17.269388197455342,0.0,1.0,1.0,0.5,0.5,0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.5773502691896257,0.0,17.269388197455342,0.0,1.0,1.0,0.5,linear_model_PAClassifier
5,0.0006024837493896484,2.6941299438476562e-05,8.225440979003906e-05,0.6,0.75,0.75,0.2857142857142856,0.5,0.6666666666666666,0.5555555555555556,0.408248290463863,0.7071067811865476,13.815510557964274,0.40824829046386285,1.0,0.8666666666666666,0.6,0.6,0.75,0.75,0.2857142857142856,0.5,0.6666666666666666,0.5555555555555556,0.408248290463863,0.7071067811865476,13.815510557964274,0.40824829046386285,1.0,0.8666666666666666,0.6,linear_model_PAClassifier
6,0.0007150173187255859,3.0517578125e-05,8.20159912109375e-05,0.6666666666666666,0.75,0.75,0.39999999999999997,0.5,0.6666666666666666,0.5555555555555556,0.4285714285714285,0.7071067811865476,11.512925464970229,0.49999999999999994,1.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,0.75,0.39999999999999997,0.5,0.6666666666666666,0.5555555555555556,0.4285714285714285,0.7071067811865476,11.512925464970229,0.49999999999999994,1.0,0.8333333333333334,0.6666666666666666,linear_model_PAClassifier
7,0.0008282661437988281,3.0279159545898438e-05,8.296966552734375e-05,0.7142857142857143,0.8,0.8,0.4615384615384616,0.6,0.7499999999999999,0.6521739130434783,0.502518907629606,0.7745966692414834,9.868221827117338,0.547722557505166,1.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8,0.8,0.4615384615384616,0.6,0.7499999999999999,0.6521739130434783,0.502518907629606,0.7745966692414834,9.868221827117338,0.547722557505166,1.0,0.8571428571428571,0.7142857142857143,linear_model_PAClassifier
8,0.0009438991546630859,2.8133392333984375e-05,8.749961853027344e-05,0.75,0.8333333333333333,0.8333333333333333,0.5,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896258,0.816496580927726,8.634694098727671,0.5773502691896258,1.0,0.875,0.75,0.75,0.8333333333333334,0.8333333333333333,0.5,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896258,0.816496580927726,8.634694098727671,0.5773502691896258,1.0,0.875,0.75,linear_model_PAClassifier
9,0.0010578632354736328,2.956390380859375e-05,8.440017700195312e-05,0.7777777777777778,0.8333333333333333,0.8333333333333333,0.5714285714285714,0.6666666666666666,0.8,0.7142857142857142,0.5892556509887896,0.816496580927726,7.6752836433134854,0.6324555320336758,1.0,0.8666666666666667,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.8333333333333333,0.5714285714285714,0.6666666666666666,0.8,0.7142857142857142,0.5892556509887896,0.816496580927726,7.6752836433134854,0.6324555320336758,1.0,0.8666666666666667,0.7777777777777778,linear_model_PAClassifier
10,0.00116729736328125,3.0040740966796875e-05,7.939338684082031e-05,0.7,0.7857142857142857,0.7857142857142857,0.4444444444444444,0.5714285714285714,0.7272727272727273,0.625,0.5345224838248488,0.7559289460184544,10.361632918473205,0.534522483824849,1.0,0.85,0.7,0.7,0.7142857142857143,0.7857142857142857,0.4444444444444444,0.5714285714285714,0.7272727272727273,0.625,0.5345224838248488,0.7559289460184544,10.361632918473205,0.534522483824849,1.0,0.85,0.7,linear_model_PAClassifier
