Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0005254745483398438,0.00010132789611816406,0.0004241466522216797,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,ensemble_ADWINBoostingClassifier
2,0.001058340072631836,9.393692016601562e-05,0.00043892860412597656,0.5,-0.0,0.25,0.0,0.0,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,0.5,0.0,0.25,0.0,0.0,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,ensemble_ADWINBoostingClassifier
3,0.0014927387237548828,8.726119995117188e-05,0.000347137451171875,0.6666666666666666,-0.0,0.3333333333333333,0.0,0.0,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,ensemble_ADWINBoostingClassifier
4,0.0019845962524414062,8.344650268554688e-05,0.00040841102600097656,0.75,-0.0,0.375,0.0,0.0,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,0.75,0.0,0.375,0.0,0.0,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,ensemble_ADWINBoostingClassifier
5,0.0023560523986816406,9.202957153320312e-05,0.00027942657470703125,0.6,0.375,0.375,-0.2500000000000007,0.10098733632389123,0.75,0.75,0.5000000000000001,0.0,13.815670477450313,-0.25000000000000094,0.75,0.6,0.6,0.6,0.25,0.375,-0.2500000000000007,0.10098733632389123,0.75,0.75,0.5000000000000001,0.0,13.815670477450313,-0.25000000000000094,0.75,0.6,0.6,ensemble_ADWINBoostingClassifier
6,0.0029921531677246094,9.632110595703125e-05,0.0005397796630859375,0.6666666666666666,0.625,0.625,0.24999999999999986,0.048035084242561754,0.75,0.75,0.4285714285714285,0.6123724356957946,11.513058731208595,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.625,0.24999999999999986,0.048035084242561754,0.75,0.75,0.4285714285714285,0.6123724356957946,11.513058731208595,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,ensemble_ADWINBoostingClassifier
7,0.0035326480865478516,9.512901306152344e-05,0.00044536590576171875,0.7142857142857143,0.65,0.65,0.30000000000000004,0.07153503251039062,0.8000000000000002,0.8,0.5454545454545454,0.6324555320336759,9.868336055321652,0.29999999999999977,0.8,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6,0.65,0.30000000000000004,0.07153503251039062,0.8000000000000002,0.8,0.5454545454545454,0.6324555320336759,9.868336055321652,0.29999999999999977,0.8,0.7142857142857143,0.7142857142857143,ensemble_ADWINBoostingClassifier
8,0.003808736801147461,8.845329284667969e-05,0.0001876354217529297,0.75,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.09091987815158065,0.8333333333333334,0.8333333333333334,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.8333333333333334,0.75,0.75,0.75,0.5833333333333334,0.6666666666666667,0.3333333333333333,0.09091987815158065,0.8333333333333334,0.8333333333333334,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.8333333333333334,0.75,0.75,ensemble_ADWINBoostingClassifier
9,0.004075527191162109,9.036064147949219e-05,0.00017642974853515625,0.7777777777777778,0.7500000000000002,0.75,0.5,0.19476179132211735,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.7453559924999299,7.675372487472397,0.5000000000000002,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.75,0.5,0.19476179132211735,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.7453559924999299,7.675372487472397,0.5000000000000002,0.8333333333333334,0.7777777777777778,0.7777777777777778,ensemble_ADWINBoostingClassifier
10,0.004742860794067383,0.00014138221740722656,0.0005259513854980469,0.7,0.6904761904761906,0.6904761904761905,0.3478260869565216,0.09400833241463313,0.7692307692307692,0.7352941176470589,0.5345224838248488,0.6900655593423543,10.361712878216226,0.3563483225498993,0.8333333333333334,0.7333333333333333,0.7,0.7,0.6666666666666666,0.6904761904761905,0.3478260869565216,0.09400833241463313,0.7692307692307692,0.7352941176470589,0.5345224838248488,0.6900655593423543,10.361712878216226,0.3563483225498993,0.8333333333333334,0.7333333333333333,0.7,ensemble_ADWINBoostingClassifier
11,0.005324125289916992,8.702278137207031e-05,0.0004942417144775391,0.6363636363636364,0.6071428571428572,0.6071428571428572,0.21428571428571427,0.034648168239231336,0.7142857142857143,0.7142857142857143,0.4814814814814815,0.5976143046671969,12.559700434045741,0.21428571428571427,0.7142857142857143,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5714285714285714,0.6071428571428572,0.21428571428571427,0.034648168239231336,0.7142857142857143,0.7142857142857143,0.4814814814814815,0.5976143046671969,12.559700434045741,0.21428571428571427,0.7142857142857143,0.6363636363636364,0.6363636363636364,ensemble_ADWINBoostingClassifier
12,0.005842924118041992,0.00010728836059570312,0.0004115104675292969,0.5833333333333334,0.5625,0.5625,0.11764705882352947,0.010456592237440998,0.6666666666666666,0.6410256410256411,0.462030827725273,0.5590169943749475,14.391290097451153,0.11952286093343942,0.7142857142857143,0.6095238095238096,0.5833333333333334,0.5833333333333334,0.5,0.5625,0.11764705882352947,0.010456592237440998,0.6666666666666666,0.6410256410256411,0.462030827725273,0.5590169943749475,14.391290097451153,0.11952286093343942,0.7142857142857143,0.6095238095238096,0.5833333333333334,ensemble_ADWINBoostingClassifier
13,0.0061016082763671875,8.678436279296875e-05,0.00017189979553222656,0.5384615384615384,0.5277777777777778,0.5277777777777778,0.048780487804878064,0.0019137410549723288,0.6250000000000001,0.5813953488372093,0.4629100498862757,0.5270462766947299,15.94109673571727,0.05143444998736423,0.7142857142857143,0.5970695970695971,0.5384615384615384,0.5384615384615384,0.5,0.5277777777777778,0.048780487804878064,0.0019137410549723288,0.6250000000000001,0.5813953488372093,0.4629100498862757,0.5270462766947299,15.94109673571727,0.05143444998736423,0.7142857142857143,0.5970695970695971,0.5384615384615384,ensemble_ADWINBoostingClassifier
