Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.06912660598754883,0.008265018463134766,0.06086158752441406,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,tree_SGTClassifier
2,0.1332240104675293,0.0068438053131103516,0.05725359916687012,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,BernoulliNB
3,0.20360207557678223,0.0076885223388671875,0.06268954277038574,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,BernoulliNB
4,0.26448941230773926,0.006453275680541992,0.05443406105041504,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,BernoulliNB
5,0.3487884998321533,0.0074291229248046875,0.07686996459960938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999997,1.0,1.0,1.0,LogisticRegression
6,0.4181346893310547,0.010134458541870117,0.05921173095703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,OneVsOneClassifier
7,0.4959089756011963,0.008019447326660156,0.06975483894348145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,OneVsOneClassifier
8,0.5649495124816895,0.00796818733215332,0.061072349548339844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,OneVsOneClassifier
9,0.6398630142211914,0.008125543594360352,0.0667879581451416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,OneVsOneClassifier
10,0.7220330238342285,0.008747339248657227,0.07342267036437988,0.9,0.9285714285714286,0.9285714285714286,0.782608695652174,0.5734376729639401,0.923076923076923,0.8823529411764707,0.8017837257372731,0.9258200997725514,3.4538776394910693,0.8017837257372732,1.0,0.925,0.9,0.9,0.8571428571428571,0.9285714285714286,0.782608695652174,0.5734376729639401,0.923076923076923,0.8823529411764707,0.8017837257372731,0.9258200997725514,3.4538776394910693,0.8017837257372732,1.0,0.925,0.9,LogisticRegression
11,0.7992217540740967,0.008599519729614258,0.0685892105102539,0.9090909090909091,0.9285714285714286,0.9285714285714286,0.8135593220338982,0.6212197209211734,0.923076923076923,0.8823529411764707,0.8082903768654761,0.9258200997725514,3.1398887631736994,0.8280786712108251,1.0,0.9272727272727272,0.9090909090909091,0.9090909090909091,0.8571428571428571,0.9285714285714286,0.8135593220338982,0.6212197209211734,0.923076923076923,0.8823529411764707,0.8082903768654761,0.9258200997725514,3.1398887631736994,0.8280786712108251,1.0,0.9272727272727272,0.9090909090909091,OneVsOneClassifier
