Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00015115737915039062,2.2172927856445312e-05,0.0001289844512939453,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
2,0.00023984909057617188,1.7881393432617188e-05,7.081031799316406e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
3,0.0003142356872558594,1.9788742065429688e-05,5.459785461425781e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
4,0.00038361549377441406,2.0265579223632812e-05,4.9114227294921875e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
5,0.0006310939788818359,2.002716064453125e-05,0.00022745132446289062,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
6,0.00077056884765625,3.361701965332031e-05,0.00010585784912109375,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,OneVsOneClassifier
7,0.0008938312530517578,3.2901763916015625e-05,9.036064147949219e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,OneVsOneClassifier
8,0.0010151863098144531,3.337860107421875e-05,8.797645568847656e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,OneVsOneClassifier
9,0.0011370182037353516,3.337860107421875e-05,8.845329284667969e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,OneVsOneClassifier
10,0.0013041496276855469,7.581710815429688e-05,9.131431579589844e-05,0.8,0.8333333333333333,0.8333333333333333,0.6153846153846155,0.6666666666666666,0.8,0.7142857142857142,0.5000000000000001,0.816496580927726,6.907755278982138,0.6666666666666669,1.0,0.8666666666666666,0.8,0.8,0.6666666666666666,0.8333333333333333,0.6153846153846155,0.6666666666666666,0.8,0.7142857142857142,0.5000000000000001,0.816496580927726,6.907755278982138,0.6666666666666669,1.0,0.8666666666666666,0.8,OneVsOneClassifier
