Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00034689903259277344,3.457069396972656e-05,0.0003123283386230469,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,Perceptron
2,0.00046825408935546875,2.5510787963867188e-05,9.584426879882812e-05,0.5,-0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,0.5,0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,Perceptron
3,0.0006034374237060547,2.86102294921875e-05,0.00010657310485839844,0.6666666666666666,-0.0,0.3333333333333333,0.0,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,Perceptron
4,0.0007114410400390625,2.5510787963867188e-05,8.249282836914062e-05,0.75,-0.0,0.375,0.0,0.75,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,0.75,0.0,0.375,0.0,0.75,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,Perceptron
5,0.0008363723754882812,2.8848648071289062e-05,9.608268737792969e-05,0.6,0.375,0.375,-0.2500000000000007,0.75,0.75,0.75,0.5000000000000001,0.0,13.815670477450313,-0.25000000000000094,0.75,0.6,0.6,0.6,0.25,0.375,-0.2500000000000007,0.75,0.75,0.75,0.5000000000000001,0.0,13.815670477450313,-0.25000000000000094,0.75,0.6,0.6,Perceptron
6,0.0010106563568115234,2.9087066650390625e-05,0.00014519691467285156,0.6666666666666666,0.625,0.625,0.24999999999999986,0.75,0.75,0.75,0.4285714285714285,0.6123724356957946,11.513058731208595,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.625,0.24999999999999986,0.75,0.75,0.75,0.4285714285714285,0.6123724356957946,11.513058731208595,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,Perceptron
7,0.0011239051818847656,3.0040740966796875e-05,8.320808410644531e-05,0.7142857142857143,0.65,0.65,0.30000000000000004,0.8,0.8000000000000002,0.8,0.5454545454545454,0.6324555320336759,9.868336055321652,0.29999999999999977,0.8,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6,0.65,0.30000000000000004,0.8,0.8000000000000002,0.8,0.5454545454545454,0.6324555320336759,9.868336055321652,0.29999999999999977,0.8,0.7142857142857143,0.7142857142857143,Perceptron
8,0.0012390613555908203,2.8133392333984375e-05,8.702278137207031e-05,0.75,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.8333333333333334,0.75,0.75,0.75,0.5833333333333334,0.6666666666666667,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.8333333333333334,0.75,0.75,Perceptron
9,0.001363992691040039,2.86102294921875e-05,9.632110595703125e-05,0.7777777777777778,0.7500000000000002,0.75,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.7453559924999299,7.675372487472397,0.5000000000000002,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.75,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.7453559924999299,7.675372487472397,0.5000000000000002,0.8333333333333334,0.7777777777777778,0.7777777777777778,Perceptron
10,0.0015041828155517578,4.57763671875e-05,9.441375732421875e-05,0.7,0.6904761904761906,0.6904761904761905,0.3478260869565216,0.7142857142857143,0.7692307692307692,0.7352941176470589,0.5345224838248488,0.6900655593423543,10.361712878216226,0.3563483225498993,0.8333333333333334,0.7333333333333333,0.7,0.7,0.6666666666666666,0.6904761904761905,0.3478260869565216,0.7142857142857143,0.7692307692307692,0.7352941176470589,0.5345224838248488,0.6900655593423543,10.361712878216226,0.3563483225498993,0.8333333333333334,0.7333333333333333,0.7,Perceptron
