Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.003202199935913086,0.0012083053588867188,0.001993894577026367,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ensemble_SRPClassifier
2,0.0037374496459960938,7.867813110351562e-05,0.0004565715789794922,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_SRPClassifier
3,0.004161834716796875,8.630752563476562e-05,0.0003380775451660156,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_SRPClassifier
4,0.004660129547119141,7.486343383789062e-05,0.000423431396484375,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_SRPClassifier
5,0.005757331848144531,7.891654968261719e-05,0.0010182857513427734,0.75,0.5,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,0.75,0.3333333333333333,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,ensemble_SRPClassifier
6,0.006333827972412109,8.58306884765625e-05,0.0004906654357910156,0.6,0.5,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936352,0.0,0.6,0.36,0.6,0.6,0.3333333333333333,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936352,0.0,0.6,0.36,0.6,ensemble_SRPClassifier
7,0.0068089962005615234,8.416175842285156e-05,0.0003910064697265625,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.6831300510639732,0.0,11.51319199744696,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.6831300510639732,0.0,11.51319199744696,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,ensemble_SRPClassifier
8,0.007322072982788086,8.273124694824219e-05,0.0004303455352783203,0.7142857142857143,0.5,0.5,0.0,1.0,0.8333333333333333,0.9259259259259259,0.7237468644557459,0.0,9.868450283525966,0.0,0.7142857142857143,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.4,0.5,0.0,1.0,0.8333333333333333,0.9259259259259259,0.7237468644557459,0.0,9.868450283525966,0.0,0.7142857142857143,0.5102040816326531,0.7142857142857143,ensemble_SRPClassifier
9,0.00782012939453125,8.749961853027344e-05,0.0004105567932128906,0.625,0.5,0.5,0.0,1.0,0.7692307692307693,0.8928571428571429,0.6813851438692469,0.0,12.95234099712783,0.0,0.625,0.390625,0.625,0.625,0.4,0.5,0.0,1.0,0.7692307692307693,0.8928571428571429,0.6813851438692469,0.0,12.95234099712783,0.0,0.625,0.390625,0.625,ensemble_SRPClassifier
10,0.008371353149414062,9.751319885253906e-05,0.00045371055603027344,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.7071067811865476,0.0,11.513191997446961,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.7071067811865476,0.0,11.513191997446961,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,ensemble_SRPClassifier
