Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.060698747634887695,0.005509138107299805,0.05518960952758789,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_best_model_average
2,0.1163930892944336,0.006200075149536133,0.049494266510009766,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_best_model_average
3,0.1754779815673828,0.006597042083740234,0.052487850189208984,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_best_model_average
4,0.2299785614013672,0.0058689117431640625,0.04863166809082031,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_best_model_average
5,0.31049370765686035,0.00670933723449707,0.0738058090209961,0.8,0.5,0.5,0.0,1.0,0.888888888888889,0.9523809523809523,0.7745966692414834,0.0,6.907915198468177,0.0,0.8,0.64,0.8,0.8,0.5,0.5,0.0,1.0,0.888888888888889,0.9523809523809523,0.7745966692414834,0.0,6.907915198468177,0.0,0.8,0.64,0.8,ensemble_best_model_average
6,0.37017345428466797,0.007949352264404297,0.05173039436340332,0.8333333333333334,0.75,0.75,0.5714285714285715,1.0,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.75,0.75,0.5714285714285715,1.0,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,ensemble_best_model_average
7,0.43808698654174805,0.007699012756347656,0.06021451950073242,0.8571428571428571,0.75,0.75,0.5882352941176469,1.0,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,0.8571428571428571,0.7,0.75,0.5882352941176469,1.0,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,ensemble_best_model_average
8,0.5020790100097656,0.007728099822998047,0.05626392364501953,0.875,0.75,0.75,0.6,1.0,0.923076923076923,0.9677419354838709,0.8183170883849714,0.7071067811865476,4.317446999042611,0.6546536707079772,0.8571428571428571,0.8928571428571429,0.875,0.875,0.75,0.75,0.6,1.0,0.923076923076923,0.9677419354838709,0.8183170883849714,0.7071067811865476,4.317446999042611,0.6546536707079772,0.8571428571428571,0.8928571428571429,0.875,ensemble_best_model_average
9,0.571218729019165,0.00808262825012207,0.061057090759277344,0.8888888888888888,0.8333333333333334,0.8333333333333333,0.7272727272727272,1.0,0.923076923076923,0.9677419354838709,0.8040302522073697,0.816496580927726,3.8377306658156543,0.7559289460184544,0.8571428571428571,0.9047619047619047,0.8888888888888888,0.8888888888888888,0.8333333333333334,0.8333333333333333,0.7272727272727272,1.0,0.923076923076923,0.9677419354838709,0.8040302522073697,0.816496580927726,3.8377306658156543,0.7559289460184544,0.8571428571428571,0.9047619047619047,0.8888888888888888,ensemble_best_model_average
10,0.6380269527435303,0.010994434356689453,0.05581378936767578,0.8,0.7619047619047621,0.7619047619047619,0.523809523809524,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.7559289460184544,6.907835238725157,0.523809523809524,0.8571428571428571,0.8,0.8,0.8,0.7142857142857143,0.7619047619047619,0.523809523809524,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.7559289460184544,6.907835238725157,0.523809523809524,0.8571428571428571,0.8,0.8,ensemble_best_model_average
11,0.7091274261474609,0.008466482162475586,0.06263399124145508,0.7272727272727273,0.6785714285714286,0.6785714285714286,0.37735849056603776,0.8571428571428571,0.7999999999999999,0.8333333333333333,0.5876059603472409,0.6546536707079771,9.419811670872042,0.3857583749052296,0.75,0.7196969696969696,0.7272727272727273,0.7272727272727273,0.6428571428571429,0.6785714285714286,0.37735849056603776,0.8571428571428571,0.7999999999999999,0.8333333333333333,0.5876059603472409,0.6546536707079771,9.419811670872042,0.3857583749052296,0.75,0.7196969696969696,0.7272727272727273,ensemble_best_model_average
12,0.7712640762329102,0.008258581161499023,0.053878068923950195,0.75,0.6875,0.6875,0.39999999999999997,0.875,0.823529411764706,0.8536585365853658,0.6316202918382532,0.6614378277661477,8.63482736496604,0.4082482904638632,0.7777777777777778,0.7407407407407408,0.75,0.75,0.625,0.6875,0.39999999999999997,0.875,0.823529411764706,0.8536585365853658,0.6316202918382532,0.6614378277661477,8.63482736496604,0.4082482904638632,0.7777777777777778,0.7407407407407408,0.75,ensemble_best_model_average
13,0.8364577293395996,0.008424758911132812,0.05676889419555664,0.7692307692307693,0.6944444444444444,0.6944444444444444,0.417910447761194,0.8888888888888888,0.8421052631578948,0.8695652173913043,0.668153104781061,0.6666666666666666,7.970609875353267,0.4260064336151291,0.8,0.758974358974359,0.7692307692307693,0.7692307692307693,0.6666666666666666,0.6944444444444444,0.417910447761194,0.8888888888888888,0.8421052631578948,0.8695652173913043,0.668153104781061,0.6666666666666666,7.970609875353267,0.4260064336151291,0.8,0.758974358974359,0.7692307692307693,ensemble_best_model_average
14,0.8966093063354492,0.008421182632446289,0.05173039436340332,0.7857142857142857,0.7,0.7,0.4324324324324325,0.9,0.8571428571428572,0.8823529411764706,0.6986899747852761,0.6708203932499369,7.40128059854232,0.4403855060505448,0.8181818181818182,0.7748917748917749,0.7857142857142857,0.7857142857142857,0.65,0.7,0.4324324324324325,0.9,0.8571428571428572,0.8823529411764706,0.6986899747852761,0.6708203932499369,7.40128059854232,0.4403855060505448,0.8181818181818182,0.7748917748917749,0.7857142857142857,ensemble_best_model_average
15,0.9596328735351562,0.00865316390991211,0.05437040328979492,0.8,0.75,0.75,0.5263157894736844,0.9,0.8571428571428572,0.8823529411764706,0.6905795747278488,0.7348469228349535,6.907861891972832,0.5330017908890263,0.8181818181818182,0.7954545454545454,0.8,0.8,0.7,0.75,0.5263157894736844,0.9,0.8571428571428572,0.8823529411764706,0.6905795747278488,0.7348469228349535,6.907861891972832,0.5330017908890263,0.8181818181818182,0.7954545454545454,0.8,ensemble_best_model_average
16,1.0218987464904785,0.008458137512207031,0.053807735443115234,0.8125,0.7545454545454546,0.7545454545454545,0.5384615384615384,0.9090909090909091,0.8695652173913043,0.8928571428571429,0.7162640491007405,0.7385489458759964,6.47612052372453,0.5449492609130661,0.8333333333333334,0.8072916666666666,0.8125,0.8125,0.7272727272727273,0.7545454545454545,0.5384615384615384,0.9090909090909091,0.8695652173913043,0.8928571428571429,0.7162640491007405,0.7385489458759964,6.47612052372453,0.5449492609130661,0.8333333333333334,0.8072916666666666,0.8125,ensemble_best_model_average
17,1.0899991989135742,0.008608102798461914,0.05949234962463379,0.8235294117647058,0.7583333333333333,0.7583333333333333,0.5486725663716813,0.9166666666666666,0.8799999999999999,0.9016393442622951,0.7384236071245942,0.7416198487095663,6.095172257623087,0.554989027380561,0.8461538461538461,0.8178733031674208,0.8235294117647058,0.8235294117647058,0.7166666666666667,0.7583333333333333,0.5486725663716813,0.9166666666666666,0.8799999999999999,0.9016393442622951,0.7384236071245942,0.7416198487095663,6.095172257623087,0.554989027380561,0.8461538461538461,0.8178733031674208,0.8235294117647058,ensemble_best_model_average
18,1.1551330089569092,0.009046316146850586,0.056087493896484375,0.8333333333333334,0.7615384615384615,0.7615384615384615,0.5573770491803278,0.9230769230769231,0.888888888888889,0.9090909090909092,0.7576538541439333,0.7442084075352507,5.756551576644027,0.563544512512026,0.8571428571428571,0.8273809523809523,0.8333333333333334,0.8333333333333334,0.7384615384615385,0.7615384615384615,0.5573770491803278,0.9230769230769231,0.888888888888889,0.9090909090909092,0.7576538541439333,0.7442084075352507,5.756551576644027,0.563544512512026,0.8571428571428571,0.8273809523809523,0.8333333333333334,ensemble_best_model_average
19,1.2280328273773193,0.008591175079345703,0.06430864334106445,0.7894736842105263,0.7115384615384616,0.7115384615384616,0.4647887323943661,0.9230769230769231,0.8571428571428571,0.8955223880597014,0.7086463144289911,0.6793662204867574,7.271447598522808,0.4823819106188656,0.8,0.7842105263157895,0.7894736842105263,0.7894736842105263,0.6923076923076923,0.7115384615384616,0.4647887323943661,0.9230769230769231,0.8571428571428571,0.8955223880597014,0.7086463144289911,0.6793662204867574,7.271447598522808,0.4823819106188656,0.8,0.7842105263157895,0.7894736842105263,ensemble_best_model_average
20,1.2887418270111084,0.008738994598388672,0.05197000503540039,0.8,0.7472527472527472,0.7472527472527473,0.5294117647058824,0.9230769230769231,0.8571428571428571,0.8955223880597014,0.7029019463944166,0.7262730392025629,6.907875218596668,0.5447047794019219,0.8,0.8,0.8,0.8,0.7252747252747253,0.7472527472527473,0.5294117647058824,0.9230769230769231,0.8571428571428571,0.8955223880597014,0.7029019463944166,0.7262730392025629,6.907875218596668,0.5447047794019219,0.8,0.8,0.8,ensemble_best_model_average
21,1.3551740646362305,0.008851289749145508,0.05758094787597656,0.8095238095238095,0.7740384615384615,0.7740384615384616,0.5757575757575757,0.9230769230769231,0.8571428571428571,0.8955223880597014,0.7004603158552598,0.7595545253127499,6.578928779615874,0.5891649892987398,0.8,0.8126984126984127,0.8095238095238095,0.8095238095238095,0.75,0.7740384615384616,0.5757575757575757,0.9230769230769231,0.8571428571428571,0.8955223880597014,0.7004603158552598,0.7595545253127499,6.578928779615874,0.5891649892987398,0.8,0.8126984126984127,0.8095238095238095,ensemble_best_model_average
22,1.4197299480438232,0.009115934371948242,0.05543994903564453,0.7727272727272727,0.7393162393162394,0.7393162393162394,0.5045045045045045,0.9230769230769231,0.8275862068965517,0.8823529411764706,0.660989472322455,0.716114874039433,7.849867289285193,0.5283959492674778,0.75,0.7840909090909091,0.7727272727272727,0.7727272727272727,0.717948717948718,0.7393162393162394,0.5045045045045045,0.9230769230769231,0.8275862068965517,0.8823529411764706,0.660989472322455,0.716114874039433,7.849867289285193,0.5283959492674778,0.75,0.7840909090909091,0.7727272727272727,ensemble_best_model_average
23,1.4864919185638428,0.00893092155456543,0.0578310489654541,0.7391304347826086,0.7115384615384616,0.7115384615384616,0.44354838709677413,0.9230769230769231,0.8000000000000002,0.8695652173913044,0.6310407743924171,0.6793662204867574,9.010289406809353,0.4776292635756641,0.7058823529411765,0.7612958226768968,0.7391304347826086,0.7391304347826086,0.6923076923076923,0.7115384615384616,0.44354838709677413,0.9230769230769231,0.8000000000000002,0.8695652173913044,0.6310407743924171,0.6793662204867574,9.010289406809353,0.4776292635756641,0.7058823529411765,0.7612958226768968,0.7391304347826086,ensemble_best_model_average
24,1.548597812652588,0.008823394775390625,0.05328249931335449,0.75,0.7342657342657343,0.7342657342657343,0.4820143884892087,0.9230769230769231,0.8000000000000002,0.8695652173913044,0.629746475602171,0.7095748751868991,8.63486068152563,0.513609801795985,0.7058823529411765,0.7752100840336134,0.75,0.75,0.7132867132867133,0.7342657342657343,0.4820143884892087,0.9230769230769231,0.8000000000000002,0.8695652173913044,0.629746475602171,0.7095748751868991,8.63486068152563,0.513609801795985,0.7058823529411765,0.7752100840336134,0.75,ensemble_best_model_average
25,1.6161906719207764,0.008962392807006836,0.05863046646118164,0.76,0.7532051282051281,0.7532051282051282,0.512987012987013,0.9230769230769231,0.8000000000000002,0.8695652173913044,0.6312022876331163,0.7337993857053429,8.289466254264605,0.5423695984263259,0.7058823529411765,0.7870588235294117,0.76,0.76,0.7307692307692307,0.7532051282051282,0.512987012987013,0.9230769230769231,0.8000000000000002,0.8695652173913044,0.6312022876331163,0.7337993857053429,8.289466254264605,0.5423695984263259,0.7058823529411765,0.7870588235294117,0.76,ensemble_best_model_average
26,1.6778573989868164,0.009197473526000977,0.05246925354003906,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.5384615384615385,0.9230769230769231,0.8000000000000002,0.8695652173913044,0.6349021776571556,0.7536891516255932,7.970640629100582,0.5659164584181103,0.7058823529411765,0.7973856209150326,0.7692307692307693,0.7692307692307693,0.7455621301775148,0.7692307692307693,0.5384615384615385,0.9230769230769231,0.8000000000000002,0.8695652173913044,0.6349021776571556,0.7536891516255932,7.970640629100582,0.5659164584181103,0.7058823529411765,0.7973856209150326,0.7692307692307693,ensemble_best_model_average
27,1.7425296306610107,0.008751630783081055,0.05592060089111328,0.7777777777777778,0.771978021978022,0.771978021978022,0.55,0.9285714285714286,0.8125000000000001,0.8783783783783784,0.6490583401891055,0.7559289460184545,7.675431716911671,0.576556660197055,0.7222222222222222,0.802469135802469,0.7777777777777778,0.7777777777777778,0.7362637362637363,0.771978021978022,0.55,0.9285714285714286,0.8125000000000001,0.8783783783783784,0.6490583401891055,0.7559289460184545,7.675431716911671,0.576556660197055,0.7222222222222222,0.802469135802469,0.7777777777777778,ensemble_best_model_average
28,1.8064169883728027,0.009177446365356445,0.05470991134643555,0.7857142857142857,0.7857142857142857,0.7857142857142858,0.5714285714285714,0.9285714285714286,0.8125000000000001,0.8783783783783784,0.6532108592823812,0.7726181304565691,7.401309155593397,0.5962847939999439,0.7222222222222222,0.811111111111111,0.7857142857142857,0.7857142857142857,0.75,0.7857142857142858,0.5714285714285714,0.9285714285714286,0.8125000000000001,0.8783783783783784,0.6532108592823812,0.7726181304565691,7.401309155593397,0.5962847939999439,0.7222222222222222,0.811111111111111,0.7857142857142857,ensemble_best_model_average
29,1.8720369338989258,0.008855104446411133,0.056764841079711914,0.7931034482758621,0.7976190476190477,0.7976190476190477,0.5896226415094341,0.9285714285714286,0.8125000000000001,0.8783783783783784,0.6587064830174596,0.7867957924694431,7.14609159850397,0.6130102982671871,0.7222222222222222,0.8188784395680947,0.7931034482758621,0.7931034482758621,0.7619047619047619,0.7976190476190477,0.5896226415094341,0.9285714285714286,0.8125000000000001,0.8783783783783784,0.6587064830174596,0.7867957924694431,7.14609159850397,0.6130102982671871,0.7222222222222222,0.8188784395680947,0.7931034482758621,ensemble_best_model_average
