Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0005035400390625,2.6702880859375e-05,0.000476837158203125,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,forest_AMFClassifier
2,0.0007960796356201172,0.00011801719665527344,0.00017452239990234375,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,forest_AMFClassifier
3,0.0010986328125,0.00013113021850585938,0.00017142295837402344,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,forest_AMFClassifier
4,0.0014183521270751953,0.00011324882507324219,0.00020647048950195312,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,forest_AMFClassifier
5,0.0031173229217529297,0.00011801719665527344,0.001580953598022461,0.75,0.5,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,0.75,0.3333333333333333,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,forest_AMFClassifier
6,0.0039479732513427734,0.00021195411682128906,0.0006186962127685547,0.8,0.75,0.75,0.5454545454545455,1.0,0.8571428571428571,0.9375,0.6123724356957946,0.7071067811865476,6.907915198468178,0.6123724356957946,0.75,0.85,0.8,0.8,0.6666666666666666,0.75,0.5454545454545455,1.0,0.8571428571428571,0.9375,0.6123724356957946,0.7071067811865476,6.907915198468178,0.6123724356957946,0.75,0.85,0.8,forest_AMFClassifier
7,0.0048923492431640625,0.00023508071899414062,0.0007092952728271484,0.6666666666666666,0.625,0.625,0.24999999999999986,0.75,0.75,0.75,0.4285714285714285,0.6123724356957946,11.513058731208595,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.625,0.24999999999999986,0.75,0.75,0.75,0.4285714285714285,0.6123724356957946,11.513058731208595,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,forest_AMFClassifier
8,0.005767345428466797,0.0002598762512207031,0.0006151199340820312,0.7142857142857143,0.65,0.65,0.30000000000000004,0.8,0.8000000000000002,0.8,0.5454545454545454,0.6324555320336759,9.868336055321652,0.29999999999999977,0.8,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6,0.65,0.30000000000000004,0.8,0.8000000000000002,0.8,0.5454545454545454,0.6324555320336759,9.868336055321652,0.29999999999999977,0.8,0.7142857142857143,0.7142857142857143,forest_AMFClassifier
9,0.006900310516357422,0.0002694129943847656,0.0008635520935058594,0.75,0.7333333333333334,0.7333333333333334,0.4666666666666667,0.8,0.8000000000000002,0.8,0.5384615384615384,0.7302967433402215,8.634794048406446,0.4666666666666667,0.8,0.75,0.75,0.75,0.6666666666666666,0.7333333333333334,0.4666666666666667,0.8,0.8000000000000002,0.8,0.5384615384615384,0.7302967433402215,8.634794048406446,0.4666666666666667,0.8,0.75,0.75,forest_AMFClassifier
10,0.007975578308105469,0.00024509429931640625,0.0008301734924316406,0.6666666666666666,0.6666666666666667,0.6666666666666666,0.30769230769230765,0.6666666666666666,0.7272727272727272,0.689655172413793,0.4714045207910317,0.6666666666666666,11.513014309129138,0.31622776601683794,0.8,0.7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.30769230769230765,0.6666666666666666,0.7272727272727272,0.689655172413793,0.4714045207910317,0.6666666666666666,11.513014309129138,0.31622776601683794,0.8,0.7,0.6666666666666666,forest_AMFClassifier
11,0.0093231201171875,0.0003020763397216797,0.0010454654693603516,0.6,0.5833333333333333,0.5833333333333333,0.1666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4285714285714285,0.5773502691896257,13.815670477450313,0.16666666666666682,0.6666666666666666,0.6,0.6,0.6,0.5833333333333334,0.5833333333333333,0.1666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4285714285714285,0.5773502691896257,13.815670477450313,0.16666666666666682,0.6666666666666666,0.6,0.6,forest_AMFClassifier
12,0.010354280471801758,0.0002689361572265625,0.0007622241973876953,0.5454545454545454,0.5357142857142857,0.5357142857142857,0.06779661016949153,0.5714285714285714,0.6153846153846153,0.588235294117647,0.42339019740572553,0.5345224838248488,15.699589197219439,0.06900655593423566,0.6666666666666666,0.5696969696969698,0.5454545454545454,0.5454545454545454,0.5,0.5357142857142857,0.06779661016949153,0.5714285714285714,0.6153846153846153,0.588235294117647,0.42339019740572553,0.5345224838248488,15.699589197219439,0.06900655593423566,0.6666666666666666,0.5696969696969698,0.5454545454545454,forest_AMFClassifier
13,0.011905908584594727,0.00025844573974609375,0.001293182373046875,0.5,0.5,0.5,0.0,0.5,0.5714285714285715,0.5263157894736842,0.43835700375960457,0.5,17.26952146369371,0.0,0.6666666666666666,0.5555555555555555,0.5,0.5,0.5,0.5,0.0,0.5,0.5714285714285715,0.5263157894736842,0.43835700375960457,0.5,17.26952146369371,0.0,0.6666666666666666,0.5555555555555555,0.5,forest_AMFClassifier
14,0.013143539428710938,0.0003142356872558594,0.0009233951568603516,0.46153846153846156,0.4722222222222222,0.4722222222222222,-0.045977011494252894,0.4444444444444444,0.5333333333333333,0.47619047619047616,0.4629100498862757,0.4714045207910317,18.597925689171937,-0.05143444998736399,0.6666666666666666,0.5494505494505494,0.46153846153846156,0.46153846153846156,0.4444444444444444,0.4722222222222222,-0.045977011494252894,0.4444444444444444,0.5333333333333333,0.47619047619047616,0.4629100498862757,0.4714045207910317,18.597925689171937,-0.05143444998736399,0.6666666666666666,0.5494505494505494,0.46153846153846156,forest_AMFClassifier
15,0.014294862747192383,0.0003032684326171875,0.0008480548858642578,0.42857142857142855,0.4222222222222223,0.4222222222222222,-0.1428571428571429,0.4444444444444444,0.5,0.4651162790697673,0.4550157551932901,0.4216370213557839,19.736614996541146,-0.14907119849998615,0.5714285714285714,0.46938775510204084,0.42857142857142855,0.42857142857142855,0.4,0.4222222222222222,-0.1428571428571429,0.4444444444444444,0.5,0.4651162790697673,0.4550157551932901,0.4216370213557839,19.736614996541146,-0.14907119849998615,0.5714285714285714,0.46938775510204084,0.42857142857142855,forest_AMFClassifier
16,0.015261411666870117,0.0002808570861816406,0.0006856918334960938,0.4666666666666667,0.45000000000000007,0.45,-0.0909090909090908,0.5,0.5555555555555556,0.5208333333333334,0.4623084771176517,0.447213595499958,18.420840663438405,-0.0944911182523067,0.625,0.511904761904762,0.4666666666666667,0.4666666666666667,0.4,0.45,-0.0909090909090908,0.5,0.5555555555555556,0.5208333333333334,0.4623084771176517,0.447213595499958,18.420840663438405,-0.0944911182523067,0.625,0.511904761904762,0.4666666666666667,forest_AMFClassifier
17,0.01675248146057129,0.00033092498779296875,0.0011601448059082031,0.5,0.47272727272727266,0.4727272727272727,-0.04918032786885246,0.5454545454545454,0.6,0.5660377358490566,0.47643525615380605,0.4670993664969138,17.269538121973504,-0.050964719143762556,0.6666666666666666,0.5476190476190476,0.5,0.5,0.45454545454545453,0.4727272727272727,-0.04918032786885246,0.5454545454545454,0.6,0.5660377358490566,0.47643525615380605,0.4670993664969138,17.269538121973504,-0.050964719143762556,0.6666666666666666,0.5476190476190476,0.5,forest_AMFClassifier
18,0.017828941345214844,0.00031495094299316406,0.0007615089416503906,0.5294117647058824,0.4916666666666667,0.4916666666666667,-0.014925373134328348,0.5833333333333334,0.6363636363636365,0.6034482758620691,0.49418468288429196,0.48304589153964794,16.253682938328005,-0.015430334996209428,0.7,0.5781512605042017,0.5294117647058824,0.5294117647058824,0.45,0.4916666666666667,-0.014925373134328348,0.5833333333333334,0.6363636363636365,0.6034482758620691,0.49418468288429196,0.48304589153964794,16.253682938328005,-0.015430334996209428,0.7,0.5781512605042017,0.5294117647058824,forest_AMFClassifier
19,0.019186735153198242,0.00030112266540527344,0.001056671142578125,0.5,0.45833333333333337,0.45833333333333337,-0.08000000000000013,0.5833333333333334,0.6086956521739131,0.5932203389830508,0.4843221048378526,0.44095855184409843,17.269565885773165,-0.08058229640253815,0.6363636363636364,0.5194805194805194,0.5,0.5,0.4166666666666667,0.45833333333333337,-0.08000000000000013,0.5833333333333334,0.6086956521739131,0.5932203389830508,0.4843221048378526,0.44095855184409843,17.269565885773165,-0.08058229640253815,0.6363636363636364,0.5194805194805194,0.5,forest_AMFClassifier
20,0.02054738998413086,0.00032019615173339844,0.0010404586791992188,0.47368421052631576,0.43452380952380953,0.43452380952380953,-0.13095238095238101,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.48275862068965525,0.408248290463863,18.178513786118835,-0.13095238095238088,0.5833333333333334,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.39285714285714285,0.43452380952380953,-0.13095238095238101,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.48275862068965525,0.408248290463863,18.178513786118835,-0.13095238095238088,0.5833333333333334,0.47368421052631576,0.47368421052631576,forest_AMFClassifier
21,0.02290630340576172,0.0003275871276855469,0.0020313262939453125,0.5,0.4791666666666667,0.4791666666666667,-0.041666666666666706,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4680851063829787,0.4677071733467427,17.269588096812893,-0.041666666666666706,0.5833333333333334,0.5,0.5,0.5,0.4375,0.4791666666666667,-0.041666666666666706,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4680851063829787,0.4677071733467427,17.269588096812893,-0.041666666666666706,0.5833333333333334,0.5,0.5,forest_AMFClassifier
22,0.024304628372192383,0.0006117820739746094,0.0007865428924560547,0.5238095238095238,0.513888888888889,0.5138888888888888,0.02777777777777803,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4607843137254902,0.5091750772173156,16.447226758869423,0.027777777777777807,0.5833333333333334,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.4722222222222222,0.5138888888888888,0.02777777777777803,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4607843137254902,0.5091750772173156,16.447226758869423,0.027777777777777807,0.5833333333333334,0.5238095238095238,0.5238095238095238,forest_AMFClassifier
23,0.02545642852783203,0.0003294944763183594,0.0008223056793212891,0.5454545454545454,0.5416666666666667,0.5416666666666667,0.08333333333333348,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.45945945945945943,0.5400617248673217,15.699625542557177,0.0833333333333335,0.5833333333333334,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5,0.5416666666666667,0.08333333333333348,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.45945945945945943,0.5400617248673217,15.699625542557177,0.0833333333333335,0.5833333333333334,0.5454545454545454,0.5454545454545454,forest_AMFClassifier
