Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0007157325744628906,9.775161743164062e-05,0.00061798095703125,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BernoulliNB
2,0.001123189926147461,0.00026917457580566406,0.00013828277587890625,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,BernoulliNB
3,0.0015227794647216797,0.00024127960205078125,0.0001583099365234375,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,BernoulliNB
4,0.0019044876098632812,0.0002510547637939453,0.00013065338134765625,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,BernoulliNB
5,0.002299785614013672,0.00025343894958496094,0.0001418590545654297,0.75,0.5,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,0.75,0.3333333333333333,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,BernoulliNB
6,0.002695322036743164,0.00026869773864746094,0.00012683868408203125,0.6,0.5,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936352,0.0,0.6,0.36,0.6,0.6,0.3333333333333333,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936352,0.0,0.6,0.36,0.6,BernoulliNB
7,0.0031549930572509766,0.0003132820129394531,0.00014638900756835938,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.6831300510639732,0.0,11.51319199744696,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.6831300510639732,0.0,11.51319199744696,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,BernoulliNB
8,0.0035512447357177734,0.00026535987854003906,0.0001308917999267578,0.7142857142857143,0.5,0.5,0.0,1.0,0.8333333333333333,0.9259259259259259,0.7237468644557459,0.0,9.868450283525966,0.0,0.7142857142857143,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.4,0.5,0.0,1.0,0.8333333333333333,0.9259259259259259,0.7237468644557459,0.0,9.868450283525966,0.0,0.7142857142857143,0.5102040816326531,0.7142857142857143,BernoulliNB
9,0.00397491455078125,0.00026416778564453125,0.0001595020294189453,0.75,0.6666666666666667,0.6666666666666666,0.38461538461538464,0.3664763358261375,0.8333333333333333,0.9259259259259259,0.6657502859356826,0.5773502691896257,8.634893998085222,0.4879500364742666,0.7142857142857143,0.8214285714285714,0.75,0.75,0.6,0.6666666666666666,0.38461538461538464,0.3664763358261375,0.8333333333333333,0.9259259259259259,0.6657502859356826,0.5773502691896257,8.634893998085222,0.4879500364742666,0.7142857142857143,0.8214285714285714,0.75,BernoulliNB
10,0.0043811798095703125,0.0002720355987548828,0.0001342296600341797,0.6666666666666666,0.5833333333333335,0.5833333333333334,0.1818181818181818,0.03239658212868923,0.7692307692307692,0.8064516129032258,0.5527707983925667,0.5270462766947298,11.51310315328805,0.18898223650461388,0.7142857142857143,0.6428571428571428,0.6666666666666666,0.6666666666666666,0.5,0.5833333333333334,0.1818181818181818,0.03239658212868923,0.7692307692307692,0.8064516129032258,0.5527707983925667,0.5270462766947298,11.51310315328805,0.18898223650461388,0.7142857142857143,0.6428571428571428,0.6666666666666666,BernoulliNB
11,0.004799604415893555,0.00026535987854003906,0.00015306472778320312,0.6,0.5416666666666667,0.5416666666666667,0.09090909090909075,0.010255027013253759,0.7142857142857143,0.78125,0.5267865840075201,0.45643546458763845,13.815750437193334,0.10206207261596585,0.625,0.575,0.6,0.6,0.4583333333333333,0.5416666666666667,0.09090909090909075,0.010255027013253759,0.7142857142857143,0.78125,0.5267865840075201,0.45643546458763845,13.815750437193334,0.10206207261596585,0.625,0.575,0.6,BernoulliNB
12,0.005225419998168945,0.00025725364685058594,0.0001685619354248047,0.6363636363636364,0.5535714285714286,0.5535714285714286,0.11999999999999988,0.01828722918951242,0.75,0.8108108108108107,0.5694947974514994,0.46291004988627577,12.559773124721213,0.13363062095621175,0.6666666666666666,0.6060606060606061,0.6363636363636364,0.6363636363636364,0.5357142857142857,0.5535714285714286,0.11999999999999988,0.01828722918951242,0.75,0.8108108108108107,0.5694947974514994,0.46291004988627577,12.559773124721213,0.13363062095621175,0.6666666666666666,0.6060606060606061,0.6363636363636364,BernoulliNB
