Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0008270740509033203,3.337860107421875e-05,0.0007936954498291016,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OutputCodeClassifier
2,0.0014607906341552734,0.00014066696166992188,0.0004930496215820312,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,OutputCodeClassifier
3,0.002146005630493164,0.00013494491577148438,0.0005502700805664062,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,OutputCodeClassifier
4,0.002825498580932617,0.0001480579376220703,0.0005314350128173828,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,OutputCodeClassifier
5,0.0034918785095214844,0.00012922286987304688,0.0005371570587158203,0.75,0.5,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,0.75,0.3333333333333333,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,OutputCodeClassifier
6,0.0041484832763671875,0.00013184547424316406,0.0005247592926025391,0.8,0.75,0.75,0.5454545454545455,0.4459281986214856,0.8571428571428571,0.9375,0.6123724356957946,0.7071067811865476,6.907915198468178,0.6123724356957946,0.75,0.85,0.8,0.8,0.6666666666666666,0.75,0.5454545454545455,0.4459281986214856,0.8571428571428571,0.9375,0.6123724356957946,0.7071067811865476,6.907915198468178,0.6123724356957946,0.75,0.85,0.8,OutputCodeClassifier
7,0.0048274993896484375,0.00013256072998046875,0.0005464553833007812,0.8333333333333334,0.75,0.75,0.5714285714285715,0.48719717623270187,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.75,0.75,0.5714285714285715,0.48719717623270187,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,OutputCodeClassifier
8,0.005520820617675781,0.00014209747314453125,0.0005512237548828125,0.8571428571428571,0.75,0.75,0.5882352941176469,0.517107603971795,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,0.8571428571428571,0.7,0.75,0.5882352941176469,0.517107603971795,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,OutputCodeClassifier
9,0.0061473846435546875,0.00012040138244628906,0.0005061626434326172,0.875,0.8333333333333334,0.8333333333333333,0.7142857142857143,0.5755328198945164,0.9090909090909091,0.9615384615384615,0.76271276980969,0.816496580927726,4.317446999042611,0.7453559924999299,0.8333333333333334,0.8958333333333334,0.875,0.875,0.8,0.8333333333333333,0.7142857142857143,0.5755328198945164,0.9090909090909091,0.9615384615384615,0.76271276980969,0.816496580927726,4.317446999042611,0.7453559924999299,0.8333333333333334,0.8958333333333334,0.875,OutputCodeClassifier
10,0.0067806243896484375,0.00013303756713867188,0.0005002021789550781,0.7777777777777778,0.7500000000000002,0.75,0.5,0.19476179132211735,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.7453559924999299,7.675372487472396,0.5000000000000002,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.75,0.5,0.19476179132211735,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.7453559924999299,7.675372487472396,0.5000000000000002,0.8333333333333334,0.7777777777777778,0.7777777777777778,OutputCodeClassifier
11,0.007434844970703125,0.00014066696166992188,0.0005135536193847656,0.7,0.6666666666666667,0.6666666666666667,0.3478260869565216,0.10357243711623387,0.7692307692307692,0.8064516129032258,0.5345224838248488,0.6454972243679028,10.361792837959245,0.35634832254989923,0.7142857142857143,0.6952380952380952,0.7,0.7,0.5833333333333334,0.6666666666666667,0.3478260869565216,0.10357243711623387,0.7692307692307692,0.8064516129032258,0.5345224838248488,0.6454972243679028,10.361792837959245,0.35634832254989923,0.7142857142857143,0.6952380952380952,0.7,OutputCodeClassifier
12,0.008133411407470703,0.0001246929168701172,0.0005738735198974609,0.7272727272727273,0.6785714285714286,0.6785714285714286,0.37735849056603776,0.12444007277066549,0.7999999999999999,0.8333333333333333,0.5876059603472409,0.6546536707079771,9.41981167087204,0.3857583749052296,0.75,0.7196969696969696,0.7272727272727273,0.7272727272727273,0.6428571428571429,0.6785714285714286,0.37735849056603776,0.12444007277066549,0.7999999999999999,0.8333333333333333,0.5876059603472409,0.6546536707079771,9.41981167087204,0.3857583749052296,0.75,0.7196969696969696,0.7272727272727273,OutputCodeClassifier
13,0.008802175521850586,0.00013899803161621094,0.0005297660827636719,0.6666666666666666,0.625,0.625,0.24999999999999986,0.048035084242561754,0.75,0.75,0.5294117647058824,0.6123724356957946,11.513058731208593,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.625,0.24999999999999986,0.048035084242561754,0.75,0.75,0.5294117647058824,0.6123724356957946,11.513058731208593,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,OutputCodeClassifier
14,0.009476661682128906,0.00012636184692382812,0.0005481243133544922,0.6923076923076923,0.6388888888888888,0.6388888888888888,0.27777777777777785,0.060342704802728075,0.7777777777777778,0.7777777777777778,0.5714285714285713,0.6236095644623236,10.627438828807932,0.2777777777777779,0.7777777777777778,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6111111111111112,0.6388888888888888,0.27777777777777785,0.060342704802728075,0.7777777777777778,0.7777777777777778,0.5714285714285713,0.6236095644623236,10.627438828807932,0.2777777777777779,0.7777777777777778,0.6923076923076923,0.6923076923076923,OutputCodeClassifier
15,0.010203123092651367,0.0001628398895263672,0.0005636215209960938,0.7142857142857143,0.6888888888888889,0.6888888888888889,0.37777777777777777,0.108736669591878,0.7777777777777778,0.7777777777777778,0.5652173913043478,0.6831300510639732,9.868336055321652,0.3777777777777775,0.7777777777777778,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6888888888888889,0.37777777777777777,0.108736669591878,0.7777777777777778,0.7777777777777778,0.5652173913043478,0.6831300510639732,9.868336055321652,0.3777777777777775,0.7777777777777778,0.7142857142857143,0.7142857142857143,OutputCodeClassifier
16,0.01092386245727539,0.00014352798461914062,0.0005772113800048828,0.7333333333333333,0.7000000000000001,0.7,0.39999999999999986,0.12344631774146964,0.8000000000000002,0.8,0.6000000000000001,0.6928203230275509,9.210446984966875,0.4,0.8,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7,0.7,0.39999999999999986,0.12344631774146964,0.8000000000000002,0.8,0.6000000000000001,0.6928203230275509,9.210446984966875,0.4,0.8,0.7333333333333333,0.7333333333333333,OutputCodeClassifier
17,0.011601686477661133,0.00015544891357421875,0.0005223751068115234,0.6875,0.6636363636363637,0.6636363636363636,0.3103448275862069,0.07316710533776538,0.761904761904762,0.7407407407407407,0.560448538317805,0.6605782590758164,10.793467573088364,0.3133397807202561,0.8,0.70625,0.6875,0.6875,0.6363636363636364,0.6636363636363636,0.3103448275862069,0.07316710533776538,0.761904761904762,0.7407407407407407,0.560448538317805,0.6605782590758164,10.793467573088364,0.3133397807202561,0.8,0.70625,0.6875,OutputCodeClassifier
18,0.012272834777832031,0.0001697540283203125,0.0005013942718505859,0.7058823529411765,0.675,0.675,0.33070866141732286,0.0837295797426666,0.7826086956521738,0.7627118644067796,0.5895391343901129,0.6708203932499369,10.158557715847872,0.3337119062359571,0.8181818181818182,0.7245989304812834,0.7058823529411765,0.7058823529411765,0.6333333333333333,0.675,0.33070866141732286,0.0837295797426666,0.7826086956521738,0.7627118644067796,0.5895391343901129,0.6708203932499369,10.158557715847872,0.3337119062359571,0.8181818181818182,0.7245989304812834,0.7058823529411765,OutputCodeClassifier
19,0.012957096099853516,0.00012803077697753906,0.0005562305450439453,0.6666666666666666,0.625,0.625,0.24999999999999986,0.048035084242561754,0.75,0.75,0.5555555555555556,0.6123724356957946,11.513058731208595,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.625,0.24999999999999986,0.048035084242561754,0.75,0.75,0.5555555555555556,0.6123724356957946,11.513058731208595,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,OutputCodeClassifier
20,0.013625621795654297,0.00012087821960449219,0.0005476474761962891,0.6842105263157895,0.6607142857142857,0.6607142857142857,0.32142857142857145,0.07803137321138132,0.75,0.75,0.5517241379310345,0.6546536707079771,10.907108271671301,0.3214285714285714,0.75,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6190476190476191,0.6607142857142857,0.32142857142857145,0.07803137321138132,0.75,0.75,0.5517241379310345,0.6546536707079771,10.907108271671301,0.3214285714285714,0.75,0.6842105263157895,0.6842105263157895,OutputCodeClassifier
21,0.01428842544555664,0.0001227855682373047,0.0005400180816650391,0.7,0.6875,0.6875,0.3749999999999999,0.1054740778718215,0.75,0.75,0.5531914893617021,0.6846531968814576,10.361752858087737,0.3750000000000001,0.75,0.7,0.7,0.7,0.6458333333333334,0.6875,0.3749999999999999,0.1054740778718215,0.75,0.75,0.5531914893617021,0.6846531968814576,10.361752858087737,0.3750000000000001,0.75,0.7,0.7,OutputCodeClassifier
