Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0001938343048095703,3.910064697265625e-05,0.00015473365783691406,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RandomUnderSampler
2,0.0004677772521972656,5.435943603515625e-05,0.00021958351135253906,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RandomUnderSampler
3,0.0008800029754638672,0.00019049644470214844,0.00022172927856445312,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,RandomUnderSampler
4,0.0012729167938232422,0.0002105236053466797,0.0001823902130126953,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,RandomUnderSampler
5,0.0015726089477539062,0.00020885467529296875,9.083747863769531e-05,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.5773502691896257,0.0,11.513191997446961,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.5773502691896257,0.0,11.513191997446961,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,RandomUnderSampler
6,0.0019192695617675781,0.00019288063049316406,0.0001537799835205078,0.5,0.5,0.5,0.0,1.0,0.6666666666666666,0.8333333333333334,0.5773502691896257,0.0,17.269787996170443,0.0,0.5,0.25,0.5,0.5,0.5,0.5,0.0,1.0,0.6666666666666666,0.8333333333333334,0.5773502691896257,0.0,17.269787996170443,0.0,0.5,0.25,0.5,RandomUnderSampler
7,0.0022058486938476562,0.00019741058349609375,8.916854858398438e-05,0.6,0.5,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936354,0.0,0.6,0.36,0.6,0.6,0.3333333333333333,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936354,0.0,0.6,0.36,0.6,RandomUnderSampler
8,0.002666950225830078,0.0002346038818359375,0.00022649765014648438,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.6831300510639732,0.0,11.513191997446963,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.6831300510639732,0.0,11.513191997446963,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,RandomUnderSampler
9,0.003059864044189453,0.0002033710479736328,0.0001895427703857422,0.7142857142857143,0.6666666666666667,0.6666666666666666,0.36363636363636376,0.3348428866460629,0.8,0.9090909090909091,0.6024640760767093,0.5773502691896257,9.868450283525968,0.47140452079103184,0.6666666666666666,0.8095238095238094,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.36363636363636376,0.3348428866460629,0.8,0.9090909090909091,0.6024640760767093,0.5773502691896257,9.868450283525968,0.47140452079103184,0.6666666666666666,0.8095238095238094,0.7142857142857143,RandomUnderSampler
10,0.003465890884399414,0.00022363662719726562,0.0001823902130126953,0.75,0.6666666666666667,0.6666666666666666,0.38461538461538464,0.3664763358261375,0.8333333333333333,0.9259259259259259,0.6657502859356826,0.5773502691896257,8.634893998085222,0.4879500364742666,0.7142857142857143,0.8214285714285714,0.75,0.75,0.6,0.6666666666666666,0.38461538461538464,0.3664763358261375,0.8333333333333333,0.9259259259259259,0.6657502859356826,0.5773502691896257,8.634893998085222,0.4879500364742666,0.7142857142857143,0.8214285714285714,0.75,RandomUnderSampler
