Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.005716800689697266,0.00013828277587890625,0.005578517913818359,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ensemble_BOLEClassifier
2,0.011477947235107422,0.0002143383026123047,0.0055468082427978516,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_BOLEClassifier
3,0.014612913131713867,0.0002644062042236328,0.0028705596923828125,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_BOLEClassifier
4,0.015515565872192383,0.0003495216369628906,0.000553131103515625,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_BOLEClassifier
5,0.02354598045349121,0.00029277801513671875,0.007737636566162109,0.75,0.5,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,0.75,0.3333333333333333,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,ensemble_BOLEClassifier
6,0.0264432430267334,0.0006520748138427734,0.002245187759399414,0.8,0.75,0.75,0.5454545454545455,0.4459281986214856,0.8571428571428571,0.9375,0.6123724356957946,0.7071067811865476,6.907915198468178,0.6123724356957946,0.75,0.85,0.8,0.8,0.6666666666666666,0.75,0.5454545454545455,0.4459281986214856,0.8571428571428571,0.9375,0.6123724356957946,0.7071067811865476,6.907915198468178,0.6123724356957946,0.75,0.85,0.8,ensemble_BOLEClassifier
7,0.03590798377990723,0.00055694580078125,0.008907794952392578,0.8333333333333334,0.75,0.75,0.5714285714285715,0.48719717623270187,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.75,0.75,0.5714285714285715,0.48719717623270187,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,ensemble_BOLEClassifier
8,0.03801536560058594,0.0005924701690673828,0.0015149116516113281,0.8571428571428571,0.75,0.75,0.5882352941176469,0.517107603971795,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,0.8571428571428571,0.7,0.75,0.5882352941176469,0.517107603971795,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,ensemble_BOLEClassifier
9,0.04421186447143555,0.0005633831024169922,0.005633115768432617,0.75,0.6666666666666667,0.6666666666666666,0.38461538461538464,0.3664763358261375,0.8333333333333333,0.9259259259259259,0.6657502859356826,0.5773502691896257,8.634893998085222,0.4879500364742666,0.7142857142857143,0.8214285714285714,0.75,0.75,0.6,0.6666666666666666,0.38461538461538464,0.3664763358261375,0.8333333333333333,0.9259259259259259,0.6657502859356826,0.5773502691896257,8.634893998085222,0.4879500364742666,0.7142857142857143,0.8214285714285714,0.75,ensemble_BOLEClassifier
10,0.048516035079956055,0.0008597373962402344,0.0034444332122802734,0.7777777777777778,0.6666666666666667,0.6666666666666666,0.4000000000000002,0.3917664344536761,0.8571428571428571,0.9375,0.7126966450997982,0.5773502691896257,7.6754613316313085,0.49999999999999983,0.75,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.4000000000000002,0.3917664344536761,0.8571428571428571,0.9375,0.7126966450997982,0.5773502691896257,7.6754613316313085,0.49999999999999983,0.75,0.8333333333333334,0.7777777777777778,ensemble_BOLEClassifier
