Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.11792492866516113,0.014394998550415039,0.1035299301147461,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_best_model_average
2,0.23285555839538574,0.013292789459228516,0.1016378402709961,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_best_model_average
3,0.336986780166626,0.01265716552734375,0.09147405624389648,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_best_model_average
4,0.45136380195617676,0.013204813003540039,0.10117220878601074,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_best_model_average
5,0.5956034660339355,0.014223814010620117,0.13001585006713867,0.8,0.5,0.5,0.0,1.0,0.888888888888889,0.9523809523809523,0.7745966692414834,0.0,6.907915198468177,0.0,0.8,0.64,0.8,0.8,0.5,0.5,0.0,1.0,0.888888888888889,0.9523809523809523,0.7745966692414834,0.0,6.907915198468177,0.0,0.8,0.64,0.8,ensemble_best_model_average
6,0.7143135070800781,0.015401840209960938,0.10330820083618164,0.8333333333333334,0.75,0.75,0.5714285714285715,0.48719717623270187,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.75,0.75,0.5714285714285715,0.48719717623270187,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,ensemble_best_model_average
7,0.8496479988098145,0.01595759391784668,0.11937689781188965,0.8571428571428571,0.75,0.75,0.5882352941176469,0.517107603971795,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,0.8571428571428571,0.7,0.75,0.5882352941176469,0.517107603971795,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,ensemble_best_model_average
8,0.9734213352203369,0.015155315399169922,0.10861802101135254,0.875,0.75,0.75,0.6,0.5400729331587272,0.923076923076923,0.9677419354838709,0.8183170883849714,0.7071067811865476,4.317446999042611,0.6546536707079772,0.8571428571428571,0.8928571428571429,0.875,0.875,0.75,0.75,0.6,0.5400729331587272,0.923076923076923,0.9677419354838709,0.8183170883849714,0.7071067811865476,4.317446999042611,0.6546536707079772,0.8571428571428571,0.8928571428571429,0.875,ensemble_best_model_average
9,1.1012263298034668,0.014632225036621094,0.11317276954650879,0.8888888888888888,0.8333333333333334,0.8333333333333333,0.7272727272727272,0.5994545848074716,0.923076923076923,0.9677419354838709,0.8040302522073697,0.816496580927726,3.8377306658156543,0.7559289460184544,0.8571428571428571,0.9047619047619047,0.8888888888888888,0.8888888888888888,0.8333333333333334,0.8333333333333333,0.7272727272727272,0.5994545848074716,0.923076923076923,0.9677419354838709,0.8040302522073697,0.816496580927726,3.8377306658156543,0.7559289460184544,0.8571428571428571,0.9047619047619047,0.8888888888888888,ensemble_best_model_average
10,1.2346181869506836,0.01639270782470703,0.11699914932250977,0.8,0.7619047619047621,0.7619047619047619,0.523809523809524,0.21744375685031758,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.7559289460184544,6.907835238725157,0.523809523809524,0.8571428571428571,0.8,0.8,0.8,0.7142857142857143,0.7619047619047619,0.523809523809524,0.21744375685031758,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.7559289460184544,6.907835238725157,0.523809523809524,0.8571428571428571,0.8,0.8,ensemble_best_model_average
11,1.3709065914154053,0.01891040802001953,0.11737799644470215,0.7272727272727273,0.6785714285714286,0.6785714285714286,0.37735849056603776,0.12444007277066549,0.7999999999999999,0.8333333333333333,0.5876059603472409,0.6546536707079771,9.419811670872042,0.3857583749052296,0.75,0.7196969696969696,0.7272727272727273,0.7272727272727273,0.6428571428571429,0.6785714285714286,0.37735849056603776,0.12444007277066549,0.7999999999999999,0.8333333333333333,0.5876059603472409,0.6546536707079771,9.419811670872042,0.3857583749052296,0.75,0.7196969696969696,0.7272727272727273,ensemble_best_model_average
