Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0003859996795654297,8.130073547363281e-05,0.0003046989440917969,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,ensemble_ADWINBaggingClassifier
2,0.0008234977722167969,7.796287536621094e-05,0.00035953521728515625,0.5,-0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,0.5,0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,ensemble_ADWINBaggingClassifier
3,0.001218557357788086,7.486343383789062e-05,0.00032019615173339844,0.6666666666666666,-0.0,0.3333333333333333,0.0,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,ensemble_ADWINBaggingClassifier
4,0.0016334056854248047,7.653236389160156e-05,0.0003383159637451172,0.75,-0.0,0.375,0.0,0.75,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,0.75,0.0,0.375,0.0,0.75,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,ensemble_ADWINBaggingClassifier
5,0.0019478797912597656,8.463859558105469e-05,0.00022983551025390625,0.8,0.875,0.875,0.5454545454545455,0.75,0.8571428571428571,0.7894736842105263,0.6123724356957946,0.8660254037844387,6.907755278982137,0.6123724356957946,1.0,0.9,0.8,0.8,0.75,0.875,0.5454545454545455,0.75,0.8571428571428571,0.7894736842105263,0.6123724356957946,0.8660254037844387,6.907755278982137,0.6123724356957946,1.0,0.9,0.8,ensemble_ADWINBaggingClassifier
6,0.002462625503540039,7.843971252441406e-05,0.0004363059997558594,0.6666666666666666,0.625,0.625,0.24999999999999986,0.75,0.75,0.75,0.4285714285714285,0.6123724356957946,11.513058731208593,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.625,0.24999999999999986,0.75,0.75,0.75,0.4285714285714285,0.6123724356957946,11.513058731208593,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,ensemble_ADWINBaggingClassifier
7,0.0029799938201904297,8.058547973632812e-05,0.0004367828369140625,0.7142857142857143,0.65,0.65,0.30000000000000004,0.8,0.8000000000000002,0.8,0.5454545454545454,0.6324555320336759,9.868336055321652,0.29999999999999977,0.8,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6,0.65,0.30000000000000004,0.8,0.8000000000000002,0.8,0.5454545454545454,0.6324555320336759,9.868336055321652,0.29999999999999977,0.8,0.7142857142857143,0.7142857142857143,ensemble_ADWINBaggingClassifier
8,0.0032198429107666016,9.965896606445312e-05,0.00014019012451171875,0.75,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.8333333333333334,0.75,0.75,0.75,0.5833333333333334,0.6666666666666667,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6250000000000001,0.6454972243679028,8.634794048406446,0.3333333333333333,0.8333333333333334,0.75,0.75,ensemble_ADWINBaggingClassifier
9,0.0034966468811035156,7.939338684082031e-05,0.00019741058349609375,0.7777777777777778,0.7500000000000002,0.75,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.7453559924999299,7.675372487472397,0.5000000000000002,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.75,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.7453559924999299,7.675372487472397,0.5000000000000002,0.8333333333333334,0.7777777777777778,0.7777777777777778,ensemble_ADWINBaggingClassifier
10,0.003845691680908203,8.392333984375e-05,0.0002651214599609375,0.7,0.6904761904761906,0.6904761904761905,0.3478260869565216,0.7142857142857143,0.7692307692307692,0.7352941176470589,0.5345224838248488,0.6900655593423543,10.361712878216226,0.3563483225498993,0.8333333333333334,0.7333333333333333,0.7,0.7,0.6666666666666666,0.6904761904761905,0.3478260869565216,0.7142857142857143,0.7692307692307692,0.7352941176470589,0.5345224838248488,0.6900655593423543,10.361712878216226,0.3563483225498993,0.8333333333333334,0.7333333333333333,0.7,ensemble_ADWINBaggingClassifier
