Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0011391639709472656,4.410743713378906e-05,0.0010950565338134766,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ensemble_AdaBoostClassifier
2,0.001367807388305664,6.127357482910156e-05,0.00016736984252929688,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_AdaBoostClassifier
3,0.001531839370727539,5.7697296142578125e-05,0.00010633468627929688,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_AdaBoostClassifier
4,0.003310680389404297,5.9604644775390625e-05,0.0017192363739013672,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_AdaBoostClassifier
5,0.0063152313232421875,7.843971252441406e-05,0.0029261112213134766,0.75,0.5,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,0.75,0.3333333333333333,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,ensemble_AdaBoostClassifier
6,0.0066378116607666016,9.799003601074219e-05,0.00022459030151367188,0.6,0.5,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936352,0.0,0.6,0.36,0.6,0.6,0.3333333333333333,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936352,0.0,0.6,0.36,0.6,ensemble_AdaBoostClassifier
7,0.007216930389404297,0.00010037422180175781,0.0004787445068359375,0.5,0.375,0.375,-0.28571428571428586,0.75,0.6666666666666665,0.7142857142857143,0.47809144373375745,0.0,17.269654729932075,-0.3162277660168381,0.6,0.39999999999999997,0.5,0.5,0.25,0.375,-0.28571428571428586,0.75,0.6666666666666665,0.7142857142857143,0.47809144373375745,0.0,17.269654729932075,-0.3162277660168381,0.6,0.39999999999999997,0.5,ensemble_AdaBoostClassifier
8,0.008442401885986328,9.441375732421875e-05,0.0011310577392578125,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.8,0.7272727272727272,0.7692307692307692,0.5449492609130661,0.0,14.802561197084636,-0.2581988897471614,0.6666666666666666,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.8,0.7272727272727272,0.7692307692307692,0.5449492609130661,0.0,14.802561197084636,-0.2581988897471614,0.6666666666666666,0.4761904761904762,0.5714285714285714,ensemble_AdaBoostClassifier
9,0.009078741073608398,9.584426879882812e-05,0.0005404949188232422,0.5,0.4,0.4,-0.23076923076923078,0.8,0.6666666666666666,0.7407407407407408,0.5447047794019222,0.0,17.269688046491666,-0.29277002188455997,0.5714285714285714,0.35714285714285715,0.5,0.5,0.4,0.4,-0.23076923076923078,0.8,0.6666666666666666,0.7407407407407408,0.5447047794019222,0.0,17.269688046491666,-0.29277002188455997,0.5714285714285714,0.35714285714285715,0.5,ensemble_AdaBoostClassifier
10,0.009801864624023438,0.00014591217041015625,0.0005772113800048828,0.4444444444444444,0.3333333333333333,0.3333333333333333,-0.3636363636363636,0.6666666666666666,0.6153846153846153,0.6451612903225806,0.502518907629606,0.0,19.188475640760444,-0.3779644730092272,0.5714285714285714,0.38095238095238093,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.3333333333333333,-0.3636363636363636,0.6666666666666666,0.6153846153846153,0.6451612903225806,0.502518907629606,0.0,19.188475640760444,-0.3779644730092272,0.5714285714285714,0.38095238095238093,0.4444444444444444,ensemble_AdaBoostClassifier
