Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0030846595764160156,6.842613220214844e-05,0.003016233444213867,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ensemble_BOLEClassifier
2,0.005736589431762695,9.870529174804688e-05,0.002553224563598633,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_BOLEClassifier
3,0.007306814193725586,0.00011992454528808594,0.0014503002166748047,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_BOLEClassifier
4,0.007712841033935547,0.00013327598571777344,0.0002727508544921875,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_BOLEClassifier
5,0.012625694274902344,0.00014019012451171875,0.004772663116455078,0.75,0.5,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,0.75,0.3333333333333333,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,ensemble_BOLEClassifier
6,0.013993978500366211,0.0002651214599609375,0.0011031627655029297,0.8,0.75,0.75,0.5454545454545455,1.0,0.8571428571428571,0.9375,0.6123724356957946,0.7071067811865476,6.907915198468178,0.6123724356957946,0.75,0.85,0.8,0.8,0.6666666666666666,0.75,0.5454545454545455,1.0,0.8571428571428571,0.9375,0.6123724356957946,0.7071067811865476,6.907915198468178,0.6123724356957946,0.75,0.85,0.8,ensemble_BOLEClassifier
7,0.018814563751220703,0.00028061866760253906,0.004539966583251953,0.8333333333333334,0.75,0.75,0.5714285714285715,1.0,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.75,0.75,0.5714285714285715,1.0,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,ensemble_BOLEClassifier
8,0.01978778839111328,0.00026154518127441406,0.0007116794586181641,0.8571428571428571,0.75,0.75,0.5882352941176469,1.0,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,0.8571428571428571,0.7,0.75,0.5882352941176469,1.0,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,ensemble_BOLEClassifier
9,0.022832870483398438,0.00026535987854003906,0.002779722213745117,0.75,0.6666666666666667,0.6666666666666666,0.38461538461538464,1.0,0.8333333333333333,0.9259259259259259,0.6657502859356826,0.5773502691896257,8.634893998085222,0.4879500364742666,0.7142857142857143,0.8214285714285714,0.75,0.75,0.6,0.6666666666666666,0.38461538461538464,1.0,0.8333333333333333,0.9259259259259259,0.6657502859356826,0.5773502691896257,8.634893998085222,0.4879500364742666,0.7142857142857143,0.8214285714285714,0.75,ensemble_BOLEClassifier
10,0.02469348907470703,0.0003819465637207031,0.0014786720275878906,0.7777777777777778,0.6666666666666667,0.6666666666666666,0.4000000000000002,1.0,0.8571428571428571,0.9375,0.7126966450997982,0.5773502691896257,7.6754613316313085,0.49999999999999983,0.75,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.4000000000000002,1.0,0.8571428571428571,0.9375,0.7126966450997982,0.5773502691896257,7.6754613316313085,0.49999999999999983,0.75,0.8333333333333334,0.7777777777777778,ensemble_BOLEClassifier
