Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0013804435729980469,6.437301635742188e-05,0.001316070556640625,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,ensemble_VotingClassifier
2,0.0017273426055908203,0.000152587890625,0.00019431114196777344,0.5,-0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,0.5,0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,ensemble_VotingClassifier
3,0.002086162567138672,0.00015878677368164062,0.00020003318786621094,0.6666666666666666,-0.0,0.3333333333333333,0.0,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,ensemble_VotingClassifier
4,0.0024406909942626953,0.0001614093780517578,0.00019311904907226562,0.75,-0.0,0.375,0.0,0.75,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,0.75,0.0,0.375,0.0,0.75,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,ensemble_VotingClassifier
5,0.0034935474395751953,0.00017309188842773438,0.0008797645568847656,0.6,0.375,0.375,-0.2500000000000007,0.75,0.75,0.75,0.5000000000000001,0.0,13.815670477450313,-0.25000000000000094,0.75,0.6,0.6,0.6,0.25,0.375,-0.2500000000000007,0.75,0.75,0.75,0.5000000000000001,0.0,13.815670477450313,-0.25000000000000094,0.75,0.6,0.6,ensemble_VotingClassifier
6,0.003917217254638672,0.0002105236053466797,0.00021314620971679688,0.5,0.375,0.375,-0.28571428571428586,0.75,0.6666666666666665,0.7142857142857143,0.47809144373375745,0.0,17.269654729932075,-0.3162277660168381,0.6,0.39999999999999997,0.5,0.5,0.25,0.375,-0.28571428571428586,0.75,0.6666666666666665,0.7142857142857143,0.47809144373375745,0.0,17.269654729932075,-0.3162277660168381,0.6,0.39999999999999997,0.5,ensemble_VotingClassifier
7,0.004403829574584961,0.0002593994140625,0.00022721290588378906,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.8,0.7272727272727272,0.7692307692307692,0.5449492609130661,0.0,14.802561197084636,-0.2581988897471614,0.6666666666666666,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.8,0.7272727272727272,0.7692307692307692,0.5449492609130661,0.0,14.802561197084636,-0.2581988897471614,0.6666666666666666,0.4761904761904762,0.5714285714285714,ensemble_VotingClassifier
8,0.004900932312011719,0.0002543926239013672,0.00024271011352539062,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.8333333333333334,0.7692307692307692,0.8064516129032258,0.600099198148979,0.0,12.952241047449057,-0.2182178902359924,0.7142857142857143,0.5357142857142857,0.625,0.625,0.3333333333333333,0.4166666666666667,-0.2,0.8333333333333334,0.7692307692307692,0.8064516129032258,0.600099198148979,0.0,12.952241047449057,-0.2182178902359924,0.7142857142857143,0.5357142857142857,0.625,ensemble_VotingClassifier
9,0.0053980350494384766,0.0002567768096923828,0.000240325927734375,0.5555555555555556,0.4166666666666667,0.4166666666666667,-0.19999999999999965,0.8333333333333334,0.7142857142857143,0.78125,0.5790660241435862,0.0,15.350833819103704,-0.24999999999999953,0.625,0.4166666666666667,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.4166666666666667,-0.19999999999999965,0.8333333333333334,0.7142857142857143,0.78125,0.5790660241435862,0.0,15.350833819103704,-0.24999999999999953,0.625,0.4166666666666667,0.5555555555555556,ensemble_VotingClassifier
10,0.005878925323486328,0.0002529621124267578,0.00022792816162109375,0.6,0.42857142857142855,0.42857142857142855,-0.1764705882352943,0.8571428571428571,0.75,0.8108108108108107,0.6123724356957946,0.0,13.815750437193334,-0.21821789023599258,0.6666666666666666,0.4666666666666667,0.6,0.6,0.42857142857142855,0.42857142857142855,-0.1764705882352943,0.8571428571428571,0.75,0.8108108108108107,0.6123724356957946,0.0,13.815750437193334,-0.21821789023599258,0.6666666666666666,0.4666666666666667,0.6,ensemble_VotingClassifier
