Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.05819821357727051,0.005673885345458984,0.05252432823181152,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_best_model_threshold
2,0.11286807060241699,0.0058329105377197266,0.04883694648742676,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_best_model_threshold
3,0.17084836959838867,0.005658864974975586,0.052321434020996094,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_best_model_threshold
4,0.22409558296203613,0.005686044692993164,0.0475611686706543,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_best_model_threshold
5,0.3018457889556885,0.007115602493286133,0.07063460350036621,0.8,0.5,0.5,0.0,1.0,0.888888888888889,0.9523809523809523,0.7745966692414834,0.0,6.907915198468177,0.0,0.8,0.64,0.8,0.8,0.5,0.5,0.0,1.0,0.888888888888889,0.9523809523809523,0.7745966692414834,0.0,6.907915198468177,0.0,0.8,0.64,0.8,ensemble_best_model_threshold
6,0.36008644104003906,0.007382631301879883,0.0508580207824707,0.8333333333333334,0.75,0.75,0.5714285714285715,1.0,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.75,0.75,0.5714285714285715,1.0,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,ensemble_best_model_threshold
7,0.42997241020202637,0.007625579833984375,0.06226038932800293,0.8571428571428571,0.75,0.75,0.5882352941176469,1.0,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,0.8571428571428571,0.7,0.75,0.5882352941176469,1.0,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,ensemble_best_model_threshold
8,0.49125123023986816,0.007777690887451172,0.053501129150390625,0.875,0.75,0.75,0.6,1.0,0.923076923076923,0.9677419354838709,0.8183170883849714,0.7071067811865476,4.317446999042611,0.6546536707079772,0.8571428571428571,0.8928571428571429,0.875,0.875,0.75,0.75,0.6,1.0,0.923076923076923,0.9677419354838709,0.8183170883849714,0.7071067811865476,4.317446999042611,0.6546536707079772,0.8571428571428571,0.8928571428571429,0.875,ensemble_best_model_threshold
9,0.5600175857543945,0.007908344268798828,0.06085801124572754,0.8888888888888888,0.8333333333333334,0.8333333333333333,0.7272727272727272,1.0,0.923076923076923,0.9677419354838709,0.8040302522073697,0.816496580927726,3.8377306658156543,0.7559289460184544,0.8571428571428571,0.9047619047619047,0.8888888888888888,0.8888888888888888,0.8333333333333334,0.8333333333333333,0.7272727272727272,1.0,0.923076923076923,0.9677419354838709,0.8040302522073697,0.816496580927726,3.8377306658156543,0.7559289460184544,0.8571428571428571,0.9047619047619047,0.8888888888888888,ensemble_best_model_threshold
10,0.6235311031341553,0.007954597473144531,0.05555891990661621,0.9,0.8333333333333334,0.8333333333333333,0.7368421052631581,1.0,0.9333333333333333,0.9722222222222222,0.8339078479367937,0.816496580927726,3.453957599234089,0.7637626158259734,0.875,0.9125,0.9,0.9,0.8095238095238095,0.8333333333333333,0.7368421052631581,1.0,0.9333333333333333,0.9722222222222222,0.8339078479367937,0.816496580927726,3.453957599234089,0.7637626158259734,0.875,0.9125,0.9,ensemble_best_model_threshold
11,0.6970343589782715,0.008443832397460938,0.06505942344665527,0.9090909090909091,0.875,0.875,0.7924528301886792,1.0,0.9333333333333333,0.9722222222222222,0.8295613557843402,0.8660254037844387,3.139961453849172,0.8100925873009824,0.875,0.9204545454545454,0.9090909090909091,0.9090909090909091,0.8571428571428571,0.875,0.7924528301886792,1.0,0.9333333333333333,0.9722222222222222,0.8295613557843402,0.8660254037844387,3.139961453849172,0.8100925873009824,0.875,0.9204545454545454,0.9090909090909091,ensemble_best_model_threshold
12,0.7590236663818359,0.008202075958251953,0.0537872314453125,0.9166666666666666,0.875,0.875,0.7999999999999999,1.0,0.9411764705882353,0.9756097560975611,0.851314306390689,0.8660254037844387,2.8782979993617412,0.8164965809277258,0.8888888888888888,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.875,0.875,0.7999999999999999,1.0,0.9411764705882353,0.9756097560975611,0.851314306390689,0.8660254037844387,2.8782979993617412,0.8164965809277258,0.8888888888888888,0.9259259259259259,0.9166666666666666,ensemble_best_model_threshold
13,0.8205583095550537,0.008333921432495117,0.053200721740722656,0.9230769230769231,0.875,0.875,0.8059701492537314,1.0,0.9473684210526316,0.9782608695652175,0.8685990362153791,0.8660254037844387,2.6568904609493,0.8215838362577488,0.9,0.9307692307692308,0.9230769230769231,0.9230769230769231,0.8611111111111112,0.875,0.8059701492537314,1.0,0.9473684210526316,0.9782608695652175,0.8685990362153791,0.8660254037844387,2.6568904609493,0.8215838362577488,0.9,0.9307692307692308,0.9230769230769231,ensemble_best_model_threshold
14,0.8802182674407959,0.008292675018310547,0.05136728286743164,0.9285714285714286,0.875,0.875,0.810810810810811,1.0,0.9523809523809523,0.980392156862745,0.8825557576235065,0.8660254037844387,2.467112570881493,0.8257228238447708,0.9090909090909091,0.9350649350649352,0.9285714285714286,0.9285714285714286,0.875,0.875,0.810810810810811,1.0,0.9523809523809523,0.980392156862745,0.8825557576235065,0.8660254037844387,2.467112570881493,0.8257228238447708,0.9090909090909091,0.9350649350649352,0.9285714285714286,ensemble_best_model_threshold
15,0.9462690353393555,0.008430719375610352,0.05762004852294922,0.9333333333333333,0.9,0.9,0.8421052631578948,1.0,0.9523809523809523,0.980392156862745,0.8804889577780073,0.8944271909999159,2.3026383994893935,0.8528028654224419,0.9090909090909091,0.9393939393939394,0.9333333333333333,0.9333333333333333,0.9,0.9,0.8421052631578948,1.0,0.9523809523809523,0.980392156862745,0.8804889577780073,0.8944271909999159,2.3026383994893935,0.8528028654224419,0.9090909090909091,0.9393939393939394,0.9333333333333333,ensemble_best_model_threshold
16,1.0093085765838623,0.008465290069580078,0.05457425117492676,0.9375,0.9,0.9,0.8461538461538461,1.0,0.9565217391304348,0.9821428571428572,0.8916756529621463,0.8944271909999159,2.1587234995213063,0.8563488385776753,0.9166666666666666,0.9427083333333334,0.9375,0.9375,0.8909090909090909,0.9,0.8461538461538461,1.0,0.9565217391304348,0.9821428571428572,0.8916756529621463,0.8944271909999159,2.1587234995213063,0.8563488385776753,0.9166666666666666,0.9427083333333334,0.9375,ensemble_best_model_threshold
17,1.0746843814849854,0.008428812026977539,0.05694699287414551,0.8823529411764706,0.8583333333333333,0.8583333333333334,0.7166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8026315789473686,0.8563488385776753,4.06343249336774,0.7166666666666665,0.9166666666666666,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8166666666666667,0.8583333333333334,0.7166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8026315789473686,0.8563488385776753,4.06343249336774,0.7166666666666665,0.9166666666666666,0.8823529411764706,0.8823529411764706,ensemble_best_model_threshold
18,1.1379315853118896,0.00881338119506836,0.05443382263183594,0.8888888888888888,0.8615384615384616,0.8615384615384616,0.723076923076923,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8181818181818182,0.8593378488473195,3.837686243736199,0.723076923076923,0.9230769230769231,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8307692307692308,0.8615384615384616,0.723076923076923,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8181818181818182,0.8593378488473195,3.837686243736199,0.723076923076923,0.9230769230769231,0.8888888888888888,0.8888888888888888,ensemble_best_model_threshold
