Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00019288063049316406,2.4318695068359375e-05,0.0001685619354248047,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,linear_model_SoftmaxRegression
2,0.00029540061950683594,2.47955322265625e-05,7.772445678710938e-05,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,linear_model_SoftmaxRegression
3,0.0004031658172607422,2.6702880859375e-05,8.106231689453125e-05,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,linear_model_SoftmaxRegression
4,0.0005078315734863281,2.6226043701171875e-05,7.843971252441406e-05,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,linear_model_SoftmaxRegression
5,0.0006704330444335938,3.2901763916015625e-05,0.00012969970703125,0.75,0.5,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,0.75,0.3333333333333333,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,linear_model_SoftmaxRegression
6,0.0007994174957275391,3.504753112792969e-05,9.393692016601562e-05,0.8,0.75,0.75,0.5454545454545455,1.0,0.8571428571428571,0.9375,0.6123724356957946,0.7071067811865476,6.907915198468178,0.6123724356957946,0.75,0.85,0.8,0.8,0.6666666666666666,0.75,0.5454545454545455,1.0,0.8571428571428571,0.9375,0.6123724356957946,0.7071067811865476,6.907915198468178,0.6123724356957946,0.75,0.85,0.8,linear_model_SoftmaxRegression
7,0.000946044921875,3.6716461181640625e-05,0.00010991096496582031,0.8333333333333334,0.75,0.75,0.5714285714285715,1.0,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.75,0.75,0.5714285714285715,1.0,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,linear_model_SoftmaxRegression
8,0.0010745525360107422,3.504753112792969e-05,9.34600830078125e-05,0.8571428571428571,0.75,0.75,0.5882352941176469,1.0,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,0.8571428571428571,0.7,0.75,0.5882352941176469,1.0,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,linear_model_SoftmaxRegression
9,0.0012025833129882812,3.409385681152344e-05,9.393692016601562e-05,0.875,0.8333333333333334,0.8333333333333333,0.7142857142857143,1.0,0.9090909090909091,0.9615384615384615,0.76271276980969,0.816496580927726,4.317446999042611,0.7453559924999299,0.8333333333333334,0.8958333333333334,0.875,0.875,0.8,0.8333333333333333,0.7142857142857143,1.0,0.9090909090909091,0.9615384615384615,0.76271276980969,0.816496580927726,4.317446999042611,0.7453559924999299,0.8333333333333334,0.8958333333333334,0.875,linear_model_SoftmaxRegression
10,0.0013365745544433594,3.504753112792969e-05,9.894371032714844e-05,0.7777777777777778,0.7500000000000002,0.75,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.7453559924999299,7.675372487472396,0.5000000000000002,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.75,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.7453559924999299,7.675372487472396,0.5000000000000002,0.8333333333333334,0.7777777777777778,0.7777777777777778,linear_model_SoftmaxRegression
