Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00048351287841796875,1.0967254638671875e-05,0.0004725456237792969,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,model_GaussianNB
2,0.0006160736083984375,9.1552734375e-05,4.100799560546875e-05,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,model_GaussianNB
3,0.0007555484771728516,9.679794311523438e-05,4.267692565917969e-05,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,model_GaussianNB
4,0.0008950233459472656,9.799003601074219e-05,4.1484832763671875e-05,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,model_GaussianNB
5,0.0014700889587402344,0.00013065338134765625,0.0004444122314453125,0.75,0.5,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,0.75,0.3333333333333333,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,model_GaussianNB
6,0.0016422271728515625,0.00013065338134765625,4.1484832763671875e-05,0.6,0.5,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936352,0.0,0.6,0.36,0.6,0.6,0.3333333333333333,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936352,0.0,0.6,0.36,0.6,model_GaussianNB
7,0.0018243789672851562,0.00013756752014160156,4.458427429199219e-05,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.6831300510639732,0.0,11.51319199744696,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.6831300510639732,0.0,11.51319199744696,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,model_GaussianNB
8,0.0020055770874023438,0.0001392364501953125,4.1961669921875e-05,0.7142857142857143,0.5,0.5,0.0,1.0,0.8333333333333333,0.9259259259259259,0.7237468644557459,0.0,9.868450283525966,0.0,0.7142857142857143,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.4,0.5,0.0,1.0,0.8333333333333333,0.9259259259259259,0.7237468644557459,0.0,9.868450283525966,0.0,0.7142857142857143,0.5102040816326531,0.7142857142857143,model_GaussianNB
9,0.002184629440307617,0.00013637542724609375,4.267692565917969e-05,0.625,0.5,0.5,0.0,1.0,0.7692307692307693,0.8928571428571429,0.6813851438692469,0.0,12.95234099712783,0.0,0.625,0.390625,0.625,0.625,0.4,0.5,0.0,1.0,0.7692307692307693,0.8928571428571429,0.6813851438692469,0.0,12.95234099712783,0.0,0.625,0.390625,0.625,model_GaussianNB
10,0.0023653507232666016,0.0001385211944580078,4.220008850097656e-05,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.7071067811865476,0.0,11.513191997446961,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.7071067811865476,0.0,11.513191997446961,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,model_GaussianNB
