Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00027298927307128906,4.839897155761719e-05,0.00022459030151367188,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
2,0.00042700767517089844,3.838539123535156e-05,0.00011563301086425781,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
3,0.0005834102630615234,4.458427429199219e-05,0.00011181831359863281,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
4,0.0007410049438476562,3.933906555175781e-05,0.000118255615234375,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
5,0.0012786388397216797,4.4345855712890625e-05,0.0004932880401611328,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OneVsOneClassifier
6,0.001547098159790039,7.224082946777344e-05,0.00019621849060058594,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,OneVsOneClassifier
7,0.0018117427825927734,7.343292236328125e-05,0.00019121170043945312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,OneVsOneClassifier
8,0.002070903778076172,6.723403930664062e-05,0.0001919269561767578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,OneVsOneClassifier
9,0.0023310184478759766,6.175041198730469e-05,0.0001983642578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,1.0,1.0,1.0,1.0,OneVsOneClassifier
10,0.0025801658630371094,7.653236389160156e-05,0.00017261505126953125,0.8,0.8333333333333333,0.8333333333333333,0.6153846153846155,0.43253806776631254,0.8,0.7142857142857142,0.5000000000000001,0.816496580927726,6.907755278982138,0.6666666666666669,1.0,0.8666666666666666,0.8,0.8,0.6666666666666666,0.8333333333333333,0.6153846153846155,0.43253806776631254,0.8,0.7142857142857142,0.5000000000000001,0.816496580927726,6.907755278982138,0.6666666666666669,1.0,0.8666666666666666,0.8,OneVsOneClassifier
