Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0014801025390625,0.0001728534698486328,0.0013072490692138672,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,ensemble_LeveragingBaggingClassifier
2,0.0036962032318115234,0.00011086463928222656,0.002105236053466797,0.5,-0.0,0.25,0.0,0.0,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,0.5,0.0,0.25,0.0,0.0,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,ensemble_LeveragingBaggingClassifier
3,0.005260467529296875,0.0001537799835205078,0.0014104843139648438,0.6666666666666666,-0.0,0.3333333333333333,0.0,0.0,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,ensemble_LeveragingBaggingClassifier
4,0.00757598876953125,0.00013947486877441406,0.002176046371459961,0.75,-0.0,0.375,0.0,0.0,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,0.75,0.0,0.375,0.0,0.0,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,ensemble_LeveragingBaggingClassifier
5,0.010889768600463867,0.00013828277587890625,0.003175497055053711,0.8,0.875,0.875,0.5454545454545455,0.33155970728682893,0.8571428571428571,0.7894736842105263,0.6123724356957946,0.8660254037844387,6.907755278982137,0.6123724356957946,1.0,0.9,0.8,0.8,0.75,0.875,0.5454545454545455,0.33155970728682893,0.8571428571428571,0.7894736842105263,0.6123724356957946,0.8660254037844387,6.907755278982137,0.6123724356957946,1.0,0.9,0.8,ensemble_LeveragingBaggingClassifier
6,0.013193368911743164,0.00013113021850585938,0.0021724700927734375,0.8333333333333334,0.875,0.875,0.6666666666666667,0.4591479170272448,0.8571428571428571,0.7894736842105263,0.6172133998483675,0.8660254037844387,5.756462732485114,0.7071067811865476,1.0,0.8888888888888888,0.8333333333333334,0.8333333333333334,0.75,0.875,0.6666666666666667,0.4591479170272448,0.8571428571428571,0.7894736842105263,0.6172133998483675,0.8660254037844387,5.756462732485114,0.7071067811865476,1.0,0.8888888888888888,0.8333333333333334,ensemble_LeveragingBaggingClassifier
7,0.015395879745483398,0.0002307891845703125,0.001971721649169922,0.8571428571428571,0.9,0.9,0.6956521739130433,0.4766055636665075,0.888888888888889,0.8333333333333334,0.7035264706814485,0.8944271909999159,4.934110913558669,0.7302967433402213,1.0,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8,0.9,0.6956521739130433,0.4766055636665075,0.888888888888889,0.8333333333333334,0.7035264706814485,0.8944271909999159,4.934110913558669,0.7302967433402213,1.0,0.9047619047619048,0.8571428571428571,ensemble_LeveragingBaggingClassifier
8,0.017497777938842773,0.00014543533325195312,0.001956462860107422,0.875,0.9166666666666667,0.9166666666666667,0.7142857142857143,0.48920845784808775,0.9090909090909091,0.8620689655172415,0.76271276980969,0.9128709291752769,4.3173470493638355,0.7453559924999299,1.0,0.9166666666666666,0.875,0.875,0.8333333333333334,0.9166666666666667,0.7142857142857143,0.48920845784808775,0.9090909090909091,0.8620689655172415,0.76271276980969,0.9128709291752769,4.3173470493638355,0.7453559924999299,1.0,0.9166666666666666,0.875,ensemble_LeveragingBaggingClassifier
9,0.019376516342163086,0.0001201629638671875,0.001758575439453125,0.8888888888888888,0.9166666666666667,0.9166666666666667,0.7692307692307692,0.562749723598772,0.9090909090909091,0.8620689655172415,0.7660323462854265,0.9128709291752769,3.8376418216567427,0.7905694150420951,1.0,0.9166666666666666,0.8888888888888888,0.8888888888888888,0.8333333333333334,0.9166666666666667,0.7692307692307692,0.562749723598772,0.9090909090909091,0.8620689655172415,0.7660323462854265,0.9128709291752769,3.8376418216567427,0.7905694150420951,1.0,0.9166666666666666,0.8888888888888888,ensemble_LeveragingBaggingClassifier
10,0.021631479263305664,0.0001609325408935547,0.0020940303802490234,0.8,0.8571428571428572,0.8571428571428572,0.6000000000000001,0.3958156020033583,0.8333333333333333,0.7575757575757576,0.6390096504226939,0.8451542547285166,6.907755278982137,0.6546536707079772,1.0,0.8800000000000001,0.8,0.8,0.8571428571428571,0.8571428571428572,0.6000000000000001,0.3958156020033583,0.8333333333333333,0.7575757575757576,0.6390096504226939,0.8451542547285166,6.907755278982137,0.6546536707079772,1.0,0.8800000000000001,0.8,ensemble_LeveragingBaggingClassifier
11,0.02450418472290039,0.00013780593872070312,0.0027348995208740234,0.7272727272727273,0.7321428571428572,0.7321428571428572,0.440677966101695,0.15066085420590802,0.7692307692307692,0.7352941176470589,0.5388602512436508,0.7319250547113999,9.419738980196568,0.4485426135725304,0.8333333333333334,0.7484848484848484,0.7272727272727273,0.7272727272727273,0.7142857142857143,0.7321428571428572,0.440677966101695,0.15066085420590802,0.7692307692307692,0.7352941176470589,0.5388602512436508,0.7319250547113999,9.419738980196568,0.4485426135725304,0.8333333333333334,0.7484848484848484,0.7272727272727273,ensemble_LeveragingBaggingClassifier
12,0.026709556579589844,0.0001323223114013672,0.002073049545288086,0.75,0.75,0.75,0.47058823529411764,0.17205429915757642,0.7999999999999999,0.7692307692307692,0.5852390484520126,0.75,8.634760731846853,0.47809144373375745,0.8571428571428571,0.7714285714285714,0.75,0.75,0.75,0.75,0.47058823529411764,0.17205429915757642,0.7999999999999999,0.7692307692307692,0.5852390484520126,0.75,8.634760731846853,0.47809144373375745,0.8571428571428571,0.7714285714285714,0.75,ensemble_LeveragingBaggingClassifier
13,0.029012203216552734,0.0001361370086669922,0.0021665096282958984,0.6923076923076923,0.7083333333333334,0.7083333333333333,0.36585365853658536,0.1108336862950765,0.75,0.6976744186046512,0.5400617248673217,0.7071067811865475,10.627377321313302,0.38575837490523,0.8571428571428571,0.7472527472527474,0.6923076923076923,0.6923076923076923,0.6666666666666666,0.7083333333333333,0.36585365853658536,0.1108336862950765,0.75,0.6976744186046512,0.5400617248673217,0.7071067811865475,10.627377321313302,0.38575837490523,0.8571428571428571,0.7472527472527474,0.6923076923076923,ensemble_LeveragingBaggingClassifier
14,0.030948162078857422,0.00012063980102539062,0.0018153190612792969,0.7142857142857143,0.725,0.725,0.391304347826087,0.1257991750389693,0.7777777777777777,0.7291666666666666,0.5765599193746258,0.7245688373094719,9.868278941219495,0.41079191812887456,0.875,0.7678571428571429,0.7142857142857143,0.7142857142857143,0.675,0.725,0.391304347826087,0.1257991750389693,0.7777777777777777,0.7291666666666666,0.5765599193746258,0.7245688373094719,9.868278941219495,0.41079191812887456,0.875,0.7678571428571429,0.7142857142857143,ensemble_LeveragingBaggingClassifier
15,0.033341407775878906,0.00015401840209960938,0.002239227294921875,0.7333333333333333,0.75,0.75,0.4545454545454545,0.1691644092124165,0.7777777777777777,0.7291666666666666,0.5778855963970646,0.7483314773547882,9.21039367847153,0.4724555912615342,0.875,0.7738095238095238,0.7333333333333333,0.7333333333333333,0.7,0.75,0.4545454545454545,0.1691644092124165,0.7777777777777777,0.7291666666666666,0.5778855963970646,0.7483314773547882,9.21039367847153,0.4724555912615342,0.875,0.7738095238095238,0.7333333333333333,ensemble_LeveragingBaggingClassifier
16,0.03607344627380371,0.00014400482177734375,0.002588033676147461,0.75,0.7636363636363637,0.7636363636363637,0.47540983606557374,0.18399738907822716,0.7999999999999999,0.7547169811320755,0.6078656716445112,0.7627700713964739,8.63474407356706,0.49265895172303803,0.8888888888888888,0.7896825396825398,0.75,0.75,0.7272727272727273,0.7636363636363637,0.47540983606557374,0.18399738907822716,0.7999999999999999,0.7547169811320755,0.6078656716445112,0.7627700713964739,8.63474407356706,0.49265895172303803,0.8888888888888888,0.7896825396825398,0.75,ensemble_LeveragingBaggingClassifier
17,0.03814339637756348,0.00014829635620117188,0.0019216537475585938,0.7058823529411765,0.7333333333333333,0.7333333333333334,0.3971631205673759,0.1373048421933959,0.761904761904762,0.7017543859649122,0.5735393346764044,0.7302967433402215,10.15851068070492,0.4260064336151292,0.8888888888888888,0.7745098039215685,0.7058823529411765,0.7058823529411765,0.7333333333333333,0.7333333333333334,0.3971631205673759,0.1373048421933959,0.761904761904762,0.7017543859649122,0.5735393346764044,0.7302967433402215,10.15851068070492,0.4260064336151292,0.8888888888888888,0.7745098039215685,0.7058823529411765,ensemble_LeveragingBaggingClassifier
18,0.039932966232299805,0.00015115737915039062,0.0016384124755859375,0.7222222222222222,0.7461538461538462,0.7461538461538462,0.41558441558441556,0.14873492825514867,0.7826086956521738,0.7258064516129032,0.5988781542071396,0.7442084075352507,9.594148976221312,0.4437601569801833,0.9,0.7888888888888889,0.7222222222222222,0.7222222222222222,0.7384615384615385,0.7461538461538462,0.41558441558441556,0.14873492825514867,0.7826086956521738,0.7258064516129032,0.5988781542071396,0.7442084075352507,9.594148976221312,0.4437601569801833,0.9,0.7888888888888889,0.7222222222222222,ensemble_LeveragingBaggingClassifier
19,0.042403459548950195,0.00012135505676269531,0.0023491382598876953,0.6842105263157895,0.6794871794871796,0.6794871794871795,0.3294117647058823,0.0841892668205052,0.7500000000000001,0.7142857142857143,0.557719153543988,0.6793662204867574,10.907066187596026,0.33796318470968695,0.8181818181818182,0.7177033492822966,0.6842105263157895,0.6842105263157895,0.6666666666666666,0.6794871794871795,0.3294117647058823,0.0841892668205052,0.7500000000000001,0.7142857142857143,0.557719153543988,0.6793662204867574,10.907066187596026,0.33796318470968695,0.8181818181818182,0.7177033492822966,0.6842105263157895,ensemble_LeveragingBaggingClassifier
20,0.04456758499145508,0.00015616416931152344,0.0020079612731933594,0.7,0.7032967032967032,0.7032967032967032,0.38144329896907203,0.11267684054266736,0.7500000000000001,0.7142857142857143,0.558389928096229,0.7032108464077431,10.361712878216226,0.38981938376529185,0.8181818181818182,0.7262626262626263,0.7,0.7,0.6923076923076923,0.7032967032967032,0.38144329896907203,0.11267684054266736,0.7500000000000001,0.7142857142857143,0.558389928096229,0.7032108464077431,10.361712878216226,0.38981938376529185,0.8181818181818182,0.7262626262626263,0.7,ensemble_LeveragingBaggingClassifier
21,0.04642748832702637,0.0001952648162841797,0.0016646385192871094,0.7142857142857143,0.7211538461538461,0.7211538461538461,0.4220183486238532,0.1382748727707409,0.7500000000000001,0.7142857142857143,0.5633458001672133,0.7205766921228921,9.868297979253548,0.43007561540389,0.8181818181818182,0.7350649350649351,0.7142857142857143,0.7142857142857143,0.7115384615384616,0.7211538461538461,0.4220183486238532,0.1382748727707409,0.7500000000000001,0.7142857142857143,0.5633458001672133,0.7205766921228921,9.868297979253548,0.43007561540389,0.8181818181818182,0.7350649350649351,0.7142857142857143,ensemble_LeveragingBaggingClassifier
22,0.04897356033325195,0.0001456737518310547,0.0024003982543945312,0.6818181818181818,0.6794871794871796,0.6794871794871795,0.35294117647058815,0.09271763298625102,0.7199999999999999,0.703125,0.5333807470626649,0.6793662204867574,10.989719707121154,0.3544587784792835,0.75,0.6886363636363636,0.6818181818181818,0.6818181818181818,0.6666666666666666,0.6794871794871795,0.35294117647058815,0.09271763298625102,0.7199999999999999,0.703125,0.5333807470626649,0.6793662204867574,10.989719707121154,0.3544587784792835,0.75,0.6886363636363636,0.6818181818181818,ensemble_LeveragingBaggingClassifier
23,0.05110573768615723,0.0001316070556640625,0.002000570297241211,0.6521739130434783,0.6461538461538461,0.6461538461538461,0.2923076923076924,0.06299401291458118,0.6923076923076923,0.6923076923076923,0.5121951219512194,0.6445033866354896,12.013626502130707,0.2923076923076926,0.6923076923076923,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6307692307692307,0.6461538461538461,0.2923076923076924,0.06299401291458118,0.6923076923076923,0.6923076923076923,0.5121951219512194,0.6445033866354896,12.013626502130707,0.2923076923076926,0.6923076923076923,0.6521739130434783,0.6521739130434783,ensemble_LeveragingBaggingClassifier
24,0.05312514305114746,0.00013113021850585938,0.001888275146484375,0.6666666666666666,0.6643356643356644,0.6643356643356644,0.32867132867132876,0.07960679186387987,0.6923076923076923,0.6923076923076923,0.5187969924812029,0.6637465183030646,11.513058731208595,0.3286713286713288,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6503496503496503,0.6643356643356644,0.32867132867132876,0.07960679186387987,0.6923076923076923,0.6923076923076923,0.5187969924812029,0.6637465183030646,11.513058731208595,0.3286713286713288,0.6923076923076923,0.6666666666666666,0.6666666666666666,ensemble_LeveragingBaggingClassifier
25,0.05826115608215332,0.00014829635620117188,0.0049877166748046875,0.68,0.6794871794871796,0.6794871794871795,0.35897435897435903,0.09511769268733827,0.6923076923076923,0.6923076923076923,0.5277777777777778,0.6793662204867574,11.052536381960252,0.35897435897435875,0.6923076923076923,0.68,0.68,0.68,0.6666666666666666,0.6794871794871795,0.35897435897435903,0.09511769268733827,0.6923076923076923,0.6923076923076923,0.5277777777777778,0.6793662204867574,11.052536381960252,0.35897435897435875,0.6923076923076923,0.68,0.68,ensemble_LeveragingBaggingClassifier
26,0.06007242202758789,0.00016379356384277344,0.0016474723815917969,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.3846153846153846,0.10950835978050866,0.6923076923076923,0.6923076923076923,0.5384615384615384,0.6923076923076923,10.627438828807934,0.3846153846153846,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6804733727810651,0.6923076923076923,0.3846153846153846,0.10950835978050866,0.6923076923076923,0.6923076923076923,0.5384615384615384,0.6923076923076923,10.627438828807934,0.3846153846153846,0.6923076923076923,0.6923076923076923,0.6923076923076923,ensemble_LeveragingBaggingClassifier
27,0.06225109100341797,0.000152587890625,0.002026081085205078,0.7037037037037037,0.7032967032967034,0.7032967032967032,0.40659340659340665,0.12283260919484196,0.7142857142857143,0.7142857142857143,0.5502958579881656,0.7032108464077431,10.233829983296529,0.4065934065934067,0.7142857142857143,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7032967032967034,0.7032967032967032,0.40659340659340665,0.12283260919484196,0.7142857142857143,0.7142857142857143,0.5502958579881656,0.7032108464077431,10.233829983296529,0.4065934065934067,0.7142857142857143,0.7037037037037037,0.7037037037037037,ensemble_LeveragingBaggingClassifier
28,0.06651616096496582,0.00013899803161621094,0.004126071929931641,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4285714285714286,0.1368794314333689,0.7142857142857143,0.7142857142857143,0.5604395604395604,0.7142857142857143,9.868336055321652,0.4285714285714286,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4285714285714286,0.1368794314333689,0.7142857142857143,0.7142857142857143,0.5604395604395604,0.7142857142857143,9.868336055321652,0.4285714285714286,0.7142857142857143,0.7142857142857143,0.7142857142857143,ensemble_LeveragingBaggingClassifier
