Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.11204004287719727,0.013488531112670898,0.09855151176452637,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_best_model_threshold
2,0.2279677391052246,0.012379884719848633,0.10354781150817871,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_best_model_threshold
3,0.3361246585845947,0.013137578964233398,0.09501934051513672,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_best_model_threshold
4,0.4566304683685303,0.01456761360168457,0.10593819618225098,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ensemble_best_model_threshold
5,0.6147069931030273,0.01609969139099121,0.14197683334350586,0.8,0.5,0.5,0.0,1.0,0.888888888888889,0.9523809523809523,0.7745966692414834,0.0,6.907915198468177,0.0,0.8,0.64,0.8,0.8,0.5,0.5,0.0,1.0,0.888888888888889,0.9523809523809523,0.7745966692414834,0.0,6.907915198468177,0.0,0.8,0.64,0.8,ensemble_best_model_threshold
6,0.7460057735443115,0.017313241958618164,0.11398553848266602,0.8333333333333334,0.75,0.75,0.5714285714285715,0.48719717623270187,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.75,0.75,0.5714285714285715,0.48719717623270187,0.888888888888889,0.9523809523809523,0.7171371656006362,0.7071067811865476,5.756595998723482,0.6324555320336757,0.8,0.8666666666666667,0.8333333333333334,ensemble_best_model_threshold
7,0.9016220569610596,0.021504878997802734,0.1341114044189453,0.8571428571428571,0.75,0.75,0.5882352941176469,0.517107603971795,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,0.8571428571428571,0.7,0.75,0.5882352941176469,0.517107603971795,0.9090909090909091,0.9615384615384615,0.778498944161523,0.7071067811865476,4.934225141762984,0.6454972243679027,0.8333333333333334,0.880952380952381,0.8571428571428571,ensemble_best_model_threshold
8,1.034532070159912,0.016257524490356445,0.1166524887084961,0.875,0.75,0.75,0.6,0.5400729331587272,0.923076923076923,0.9677419354838709,0.8183170883849714,0.7071067811865476,4.317446999042611,0.6546536707079772,0.8571428571428571,0.8928571428571429,0.875,0.875,0.75,0.75,0.6,0.5400729331587272,0.923076923076923,0.9677419354838709,0.8183170883849714,0.7071067811865476,4.317446999042611,0.6546536707079772,0.8571428571428571,0.8928571428571429,0.875,ensemble_best_model_threshold
9,1.1745264530181885,0.014498233795166016,0.12549614906311035,0.8888888888888888,0.8333333333333334,0.8333333333333333,0.7272727272727272,0.5994545848074716,0.923076923076923,0.9677419354838709,0.8040302522073697,0.816496580927726,3.8377306658156543,0.7559289460184544,0.8571428571428571,0.9047619047619047,0.8888888888888888,0.8888888888888888,0.8333333333333334,0.8333333333333333,0.7272727272727272,0.5994545848074716,0.923076923076923,0.9677419354838709,0.8040302522073697,0.816496580927726,3.8377306658156543,0.7559289460184544,0.8571428571428571,0.9047619047619047,0.8888888888888888,ensemble_best_model_threshold
10,1.3068034648895264,0.0174257755279541,0.11485123634338379,0.8,0.7619047619047621,0.7619047619047619,0.523809523809524,0.21744375685031758,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.7559289460184544,6.907835238725157,0.523809523809524,0.8571428571428571,0.8,0.8,0.8,0.7142857142857143,0.7619047619047619,0.523809523809524,0.21744375685031758,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.7559289460184544,6.907835238725157,0.523809523809524,0.8571428571428571,0.8,0.8,ensemble_best_model_threshold
