Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.000843048095703125,5.1975250244140625e-05,0.0007910728454589844,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,forest_AMFClassifier
2,0.0014829635620117188,0.0002377033233642578,0.00040221214294433594,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,forest_AMFClassifier
3,0.0021631717681884766,0.00026798248291015625,0.00041222572326660156,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,forest_AMFClassifier
4,0.0028090476989746094,0.00024771690368652344,0.0003981590270996094,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,forest_AMFClassifier
5,0.004696846008300781,0.0002925395965576172,0.0015952587127685547,0.75,0.5,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,0.75,0.3333333333333333,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,forest_AMFClassifier
6,0.006226778030395508,0.0004208087921142578,0.0011091232299804688,0.8,0.75,0.75,0.5454545454545455,0.4459281986214856,0.8571428571428571,0.9375,0.6123724356957946,0.7071067811865476,6.907915198468178,0.6123724356957946,0.75,0.85,0.8,0.8,0.6666666666666666,0.75,0.5454545454545455,0.4459281986214856,0.8571428571428571,0.9375,0.6123724356957946,0.7071067811865476,6.907915198468178,0.6123724356957946,0.75,0.85,0.8,forest_AMFClassifier
7,0.012409687042236328,0.004476070404052734,0.001706838607788086,0.6666666666666666,0.625,0.625,0.24999999999999986,0.048035084242561754,0.75,0.75,0.4285714285714285,0.6123724356957946,11.513058731208595,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.625,0.24999999999999986,0.048035084242561754,0.75,0.75,0.4285714285714285,0.6123724356957946,11.513058731208595,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,forest_AMFClassifier
8,0.014542818069458008,0.0004608631134033203,0.0016722679138183594,0.7142857142857143,0.65,0.65,0.30000000000000004,0.07153503251039062,0.8000000000000002,0.8,0.5454545454545454,0.6324555320336759,9.868336055321652,0.29999999999999977,0.8,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6,0.65,0.30000000000000004,0.07153503251039062,0.8000000000000002,0.8,0.5454545454545454,0.6324555320336759,9.868336055321652,0.29999999999999977,0.8,0.7142857142857143,0.7142857142857143,forest_AMFClassifier
9,0.016481876373291016,0.0004134178161621094,0.0015256404876708984,0.75,0.7333333333333334,0.7333333333333334,0.4666666666666667,0.16645258379632544,0.8000000000000002,0.8,0.5384615384615384,0.7302967433402215,8.634794048406446,0.4666666666666667,0.8,0.75,0.75,0.75,0.6666666666666666,0.7333333333333334,0.4666666666666667,0.16645258379632544,0.8000000000000002,0.8,0.5384615384615384,0.7302967433402215,8.634794048406446,0.4666666666666667,0.8,0.75,0.75,forest_AMFClassifier
10,0.01859593391418457,0.0005071163177490234,0.0016069412231445312,0.6666666666666666,0.6666666666666667,0.6666666666666666,0.30769230769230765,0.07343556032986287,0.7272727272727272,0.689655172413793,0.4714045207910317,0.6666666666666666,11.513014309129138,0.31622776601683794,0.8,0.7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.30769230769230765,0.07343556032986287,0.7272727272727272,0.689655172413793,0.4714045207910317,0.6666666666666666,11.513014309129138,0.31622776601683794,0.8,0.7,0.6666666666666666,forest_AMFClassifier
11,0.020749330520629883,0.00054168701171875,0.0016117095947265625,0.6,0.5833333333333333,0.5833333333333333,0.1666666666666666,0.02057065945069314,0.6666666666666666,0.6666666666666666,0.4285714285714285,0.5773502691896257,13.815670477450313,0.16666666666666682,0.6666666666666666,0.6,0.6,0.6,0.5833333333333334,0.5833333333333333,0.1666666666666666,0.02057065945069314,0.6666666666666666,0.6666666666666666,0.4285714285714285,0.5773502691896257,13.815670477450313,0.16666666666666682,0.6666666666666666,0.6,0.6,forest_AMFClassifier
12,0.02295517921447754,0.0005779266357421875,0.0016279220581054688,0.6363636363636364,0.6071428571428572,0.6071428571428572,0.21428571428571427,0.034648168239231336,0.7142857142857143,0.7142857142857143,0.4814814814814815,0.5976143046671969,12.55970043404574,0.21428571428571427,0.7142857142857143,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5714285714285714,0.6071428571428572,0.21428571428571427,0.034648168239231336,0.7142857142857143,0.7142857142857143,0.4814814814814815,0.5976143046671969,12.55970043404574,0.21428571428571427,0.7142857142857143,0.6363636363636364,0.6363636363636364,forest_AMFClassifier
13,0.025237560272216797,0.0005686283111572266,0.0017137527465820312,0.6666666666666666,0.625,0.625,0.24999999999999986,0.048035084242561754,0.75,0.75,0.5294117647058824,0.6123724356957946,11.513058731208595,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.625,0.24999999999999986,0.048035084242561754,0.75,0.75,0.5294117647058824,0.6123724356957946,11.513058731208595,0.2500000000000001,0.75,0.6666666666666666,0.6666666666666666,forest_AMFClassifier
14,0.02800726890563965,0.0006687641143798828,0.0021009445190429688,0.6923076923076923,0.6388888888888888,0.6388888888888888,0.27777777777777785,0.060342704802728075,0.7777777777777778,0.7777777777777778,0.5714285714285713,0.6236095644623236,10.627438828807934,0.2777777777777779,0.7777777777777778,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6111111111111112,0.6388888888888888,0.27777777777777785,0.060342704802728075,0.7777777777777778,0.7777777777777778,0.5714285714285713,0.6236095644623236,10.627438828807934,0.2777777777777779,0.7777777777777778,0.6923076923076923,0.6923076923076923,forest_AMFClassifier
15,0.030297517776489258,0.0006699562072753906,0.0016202926635742188,0.7142857142857143,0.6888888888888889,0.6888888888888889,0.37777777777777777,0.108736669591878,0.7777777777777778,0.7777777777777778,0.5652173913043478,0.6831300510639732,9.868336055321652,0.3777777777777775,0.7777777777777778,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6888888888888889,0.37777777777777777,0.108736669591878,0.7777777777777778,0.7777777777777778,0.5652173913043478,0.6831300510639732,9.868336055321652,0.3777777777777775,0.7777777777777778,0.7142857142857143,0.7142857142857143,forest_AMFClassifier
16,0.033659934997558594,0.0005779266357421875,0.0027844905853271484,0.7333333333333333,0.7000000000000001,0.7,0.39999999999999986,0.12344631774146964,0.8000000000000002,0.8,0.6000000000000001,0.6928203230275509,9.210446984966875,0.4,0.8,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7,0.7,0.39999999999999986,0.12344631774146964,0.8000000000000002,0.8,0.6000000000000001,0.6928203230275509,9.210446984966875,0.4,0.8,0.7333333333333333,0.7333333333333333,forest_AMFClassifier
17,0.03599667549133301,0.0005409717559814453,0.0017957687377929688,0.75,0.7090909090909092,0.7090909090909091,0.41818181818181815,0.1365340705603364,0.8181818181818182,0.8181818181818182,0.6307692307692309,0.7006490497453707,8.634794048406446,0.41818181818181815,0.8181818181818182,0.75,0.75,0.75,0.6909090909090909,0.7090909090909091,0.41818181818181815,0.1365340705603364,0.8181818181818182,0.8181818181818182,0.6307692307692309,0.7006490497453707,8.634794048406446,0.41818181818181815,0.8181818181818182,0.75,0.75,forest_AMFClassifier
18,0.03799748420715332,0.0005564689636230469,0.0014443397521972656,0.7647058823529411,0.7166666666666668,0.7166666666666667,0.4333333333333331,0.14825033986256653,0.8333333333333334,0.8333333333333334,0.6578947368421053,0.7071067811865476,8.126864986735479,0.43333333333333307,0.8333333333333334,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7166666666666667,0.7166666666666667,0.4333333333333331,0.14825033986256653,0.8333333333333334,0.8333333333333334,0.6578947368421053,0.7071067811865476,8.126864986735479,0.43333333333333307,0.8333333333333334,0.7647058823529411,0.7647058823529411,forest_AMFClassifier
19,0.04098343849182129,0.0006058216094970703,0.0023801326751708984,0.7222222222222222,0.6666666666666667,0.6666666666666667,0.34782608695652173,0.10056668631818966,0.8,0.819672131147541,0.6159131805828746,0.6454972243679028,9.594237820380222,0.3508232077228119,0.7692307692307693,0.7128205128205127,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.6666666666666667,0.34782608695652173,0.10056668631818966,0.8,0.819672131147541,0.6159131805828746,0.6454972243679028,9.594237820380222,0.3508232077228119,0.7692307692307693,0.7128205128205127,0.7222222222222222,forest_AMFClassifier
20,0.04351162910461426,0.0005650520324707031,0.0019631385803222656,0.7368421052631579,0.7023809523809524,0.7023809523809523,0.41717791411042937,0.14028938093480714,0.8,0.819672131147541,0.6114509004679809,0.6900655593423543,9.089277935097053,0.4200412794412906,0.7692307692307693,0.7314439946018894,0.7368421052631579,0.7368421052631579,0.7023809523809523,0.7023809523809523,0.41717791411042937,0.14028938093480714,0.8,0.819672131147541,0.6114509004679809,0.6900655593423543,9.089277935097053,0.4200412794412906,0.7692307692307693,0.7314439946018894,0.7368421052631579,forest_AMFClassifier
21,0.048560142517089844,0.0031158924102783203,0.0019326210021972656,0.75,0.7291666666666667,0.7291666666666667,0.4680851063829787,0.17373573615174798,0.8,0.819672131147541,0.6116042400116042,0.7216878364870323,8.634814038342201,0.4707565417620041,0.7692307692307693,0.7472527472527473,0.75,0.75,0.7291666666666666,0.7291666666666667,0.4680851063829787,0.17373573615174798,0.8,0.819672131147541,0.6116042400116042,0.7216878364870323,8.634814038342201,0.4707565417620041,0.7692307692307693,0.7472527472527473,0.75,forest_AMFClassifier
22,0.05082821846008301,0.0006053447723388672,0.0016627311706542969,0.7619047619047619,0.7500000000000002,0.75,0.5070422535211266,0.20205772470932104,0.8,0.819672131147541,0.6154984384902562,0.7453559924999299,8.223632417468764,0.509524665365068,0.7692307692307693,0.760989010989011,0.7619047619047619,0.7619047619047619,0.75,0.75,0.5070422535211266,0.20205772470932104,0.8,0.819672131147541,0.6154984384902562,0.7453559924999299,8.223632417468764,0.509524665365068,0.7692307692307693,0.760989010989011,0.7619047619047619,forest_AMFClassifier
23,0.052876949310302734,0.000545501708984375,0.0015032291412353516,0.7727272727272727,0.7666666666666667,0.7666666666666666,0.5378151260504201,0.226302785420186,0.8,0.819672131147541,0.6222775382397758,0.7637626158259734,7.849830943947456,0.5401276624446222,0.7692307692307693,0.7731157731157731,0.7727272727272727,0.7727272727272727,0.7666666666666667,0.7666666666666666,0.5378151260504201,0.226302785420186,0.8,0.819672131147541,0.6222775382397758,0.7637626158259734,7.849830943947456,0.5401276624446222,0.7692307692307693,0.7731157731157731,0.7727272727272727,forest_AMFClassifier
24,0.05540299415588379,0.0005745887756347656,0.001951456069946289,0.7391304347826086,0.7348484848484849,0.7348484848484849,0.47328244274809145,0.18042166684146776,0.7692307692307692,0.8064516129032258,0.5888820471579663,0.7282190812544191,9.010254641703693,0.48075017537254305,0.7142857142857143,0.7446514837819186,0.7391304347826086,0.7391304347826086,0.7348484848484849,0.7348484848484849,0.47328244274809145,0.18042166684146776,0.7692307692307692,0.8064516129032258,0.5888820471579663,0.7282190812544191,9.010254641703693,0.48075017537254305,0.7142857142857143,0.7446514837819186,0.7391304347826086,forest_AMFClassifier
25,0.058339834213256836,0.0006592273712158203,0.0022776126861572266,0.75,0.7500000000000002,0.75,0.5,0.19973045111530818,0.7692307692307692,0.8064516129032258,0.5970814340265321,0.7453559924999299,8.63482736496604,0.50709255283711,0.7142857142857143,0.7571428571428571,0.75,0.75,0.75,0.75,0.5,0.19973045111530818,0.7692307692307692,0.8064516129032258,0.5970814340265321,0.7453559924999299,8.63482736496604,0.50709255283711,0.7142857142857143,0.7571428571428571,0.75,forest_AMFClassifier
26,0.060974836349487305,0.0009121894836425781,0.0017228126525878906,0.76,0.7628205128205129,0.7628205128205128,0.5222929936305732,0.2167783054214294,0.7692307692307692,0.8064516129032258,0.6069109849750699,0.7595545253127499,8.289434270367398,0.5290432684448219,0.7142857142857143,0.7683116883116884,0.76,0.76,0.7628205128205128,0.7628205128205128,0.5222929936305732,0.2167783054214294,0.7692307692307692,0.8064516129032258,0.6069109849750699,0.7595545253127499,8.289434270367398,0.5290432684448219,0.7142857142857143,0.7683116883116884,0.76,forest_AMFClassifier
27,0.06353592872619629,0.0008473396301269531,0.0017137527465820312,0.7692307692307693,0.7692307692307693,0.7692307692307692,0.5384615384615385,0.2318967870449421,0.7857142857142856,0.8208955223880596,0.6203028623387458,0.7653749516204769,7.970609875353267,0.5449492609130662,0.7333333333333333,0.7757575757575759,0.7692307692307693,0.7692307692307693,0.757396449704142,0.7692307692307692,0.5384615384615385,0.2318967870449421,0.7857142857142856,0.8208955223880596,0.6203028623387458,0.7653749516204769,7.970609875353267,0.5449492609130662,0.7333333333333333,0.7757575757575759,0.7692307692307693,forest_AMFClassifier
28,0.06561923027038574,0.00055694580078125,0.0015263557434082031,0.7777777777777778,0.7802197802197803,0.7802197802197802,0.5573770491803279,0.24751985701788815,0.7857142857142856,0.8208955223880596,0.6294226544653874,0.7774288420142415,7.6754021021920344,0.5635445125120263,0.7333333333333333,0.7851851851851852,0.7777777777777778,0.7777777777777778,0.7692307692307693,0.7802197802197802,0.5573770491803279,0.24751985701788815,0.7857142857142856,0.8208955223880596,0.6294226544653874,0.7774288420142415,7.6754021021920344,0.5635445125120263,0.7333333333333333,0.7851851851851852,0.7777777777777778,forest_AMFClassifier
29,0.06792163848876953,0.0005941390991210938,0.0017082691192626953,0.7857142857142857,0.7897435897435898,0.7897435897435897,0.5736040609137055,0.26150908100322556,0.7857142857142856,0.8208955223880596,0.639344262295082,0.7877263614433762,7.401280598542319,0.5794871794871794,0.7333333333333333,0.7937728937728937,0.7857142857142857,0.7857142857142857,0.7794871794871795,0.7897435897435897,0.5736040609137055,0.26150908100322556,0.7857142857142856,0.8208955223880596,0.639344262295082,0.7877263614433762,7.401280598542319,0.5794871794871794,0.7333333333333333,0.7937728937728937,0.7857142857142857,forest_AMFClassifier
30,0.06992387771606445,0.0006058216094970703,0.0013964176177978516,0.7931034482758621,0.798076923076923,0.7980769230769231,0.5876777251184835,0.27412146058936837,0.7857142857142856,0.8208955223880596,0.6497545641313841,0.7966275068156915,7.146064026178791,0.5933082268219881,0.7333333333333333,0.8016420361247947,0.7931034482758621,0.7931034482758621,0.7884615384615384,0.7980769230769231,0.5876777251184835,0.27412146058936837,0.7857142857142856,0.8208955223880596,0.6497545641313841,0.7966275068156915,7.146064026178791,0.5933082268219881,0.7333333333333333,0.8016420361247947,0.7931034482758621,forest_AMFClassifier
31,0.07280683517456055,0.0012440681457519531,0.0016388893127441406,0.8,0.8054298642533937,0.8054298642533937,0.6000000000000001,0.2855626501251499,0.7857142857142856,0.8208955223880596,0.6604067471271703,0.8043996665398437,6.907861891972831,0.605405514596681,0.7333333333333333,0.8088888888888889,0.8,0.8,0.7963800904977375,0.8054298642533937,0.6000000000000001,0.2855626501251499,0.7857142857142856,0.8208955223880596,0.6604067471271703,0.8043996665398437,6.907861891972831,0.605405514596681,0.7333333333333333,0.8088888888888889,0.8,forest_AMFClassifier
32,0.07496929168701172,0.0005669593811035156,0.0015954971313476562,0.8064516129032258,0.811965811965812,0.811965811965812,0.610878661087866,0.2959989004738225,0.7857142857142856,0.8208955223880596,0.6711107288589644,0.8112457445926345,6.685027637393063,0.6160831149758972,0.7333333333333333,0.8155913978494623,0.8064516129032258,0.8064516129032258,0.8034188034188035,0.811965811965812,0.610878661087866,0.2959989004738225,0.7857142857142856,0.8208955223880596,0.6711107288589644,0.8112457445926345,6.685027637393063,0.6160831149758972,0.7333333333333333,0.8155913978494623,0.8064516129032258,forest_AMFClassifier
