Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00028204917907714844,6.175041198730469e-05,0.00022029876708984375,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,LogisticRegression
2,0.00042366981506347656,3.1948089599609375e-05,0.00010967254638671875,0.5,-0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,0.5,0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,LogisticRegression
3,0.0005640983581542969,3.504753112792969e-05,0.00010538101196289062,0.6666666666666666,-0.0,0.3333333333333333,0.0,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,LogisticRegression
4,0.0007042884826660156,3.647804260253906e-05,0.00010371208190917969,0.75,-0.0,0.375,0.0,0.75,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,0.75,0.0,0.375,0.0,0.75,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,LogisticRegression
5,0.0008509159088134766,4.00543212890625e-05,0.00010657310485839844,0.8,0.875,0.875,0.5454545454545455,0.75,0.8571428571428571,0.7894736842105263,0.6123724356957946,0.8660254037844387,6.907755278982137,0.6123724356957946,1.0,0.9,0.8,0.8,0.75,0.875,0.5454545454545455,0.75,0.8571428571428571,0.7894736842105263,0.6123724356957946,0.8660254037844387,6.907755278982137,0.6123724356957946,1.0,0.9,0.8,LogisticRegression
6,0.0009958744049072266,3.814697265625e-05,0.0001068115234375,0.8333333333333334,0.875,0.875,0.6666666666666667,0.75,0.8571428571428571,0.7894736842105263,0.6172133998483675,0.8660254037844387,5.756462732485114,0.7071067811865476,1.0,0.8888888888888888,0.8333333333333334,0.8333333333333334,0.75,0.875,0.6666666666666667,0.75,0.8571428571428571,0.7894736842105263,0.6172133998483675,0.8660254037844387,5.756462732485114,0.7071067811865476,1.0,0.8888888888888888,0.8333333333333334,LogisticRegression
7,0.0011348724365234375,3.910064697265625e-05,9.989738464355469e-05,0.8571428571428571,0.9,0.9,0.6956521739130433,0.8,0.888888888888889,0.8333333333333334,0.7035264706814485,0.8944271909999159,4.934110913558669,0.7302967433402213,1.0,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8,0.9,0.6956521739130433,0.8,0.888888888888889,0.8333333333333334,0.7035264706814485,0.8944271909999159,4.934110913558669,0.7302967433402213,1.0,0.9047619047619048,0.8571428571428571,LogisticRegression
8,0.0012726783752441406,3.814697265625e-05,9.965896606445312e-05,0.875,0.9166666666666667,0.9166666666666667,0.7142857142857143,0.8333333333333334,0.9090909090909091,0.8620689655172415,0.76271276980969,0.9128709291752769,4.3173470493638355,0.7453559924999299,1.0,0.9166666666666666,0.875,0.875,0.8333333333333334,0.9166666666666667,0.7142857142857143,0.8333333333333334,0.9090909090909091,0.8620689655172415,0.76271276980969,0.9128709291752769,4.3173470493638355,0.7453559924999299,1.0,0.9166666666666666,0.875,LogisticRegression
9,0.0014140605926513672,3.981590270996094e-05,0.00010156631469726562,0.8888888888888888,0.9166666666666667,0.9166666666666667,0.7692307692307692,0.8333333333333334,0.9090909090909091,0.8620689655172415,0.7660323462854265,0.9128709291752769,3.8376418216567427,0.7905694150420951,1.0,0.9166666666666666,0.8888888888888888,0.8888888888888888,0.8333333333333334,0.9166666666666667,0.7692307692307692,0.8333333333333334,0.9090909090909091,0.8620689655172415,0.7660323462854265,0.9128709291752769,3.8376418216567427,0.7905694150420951,1.0,0.9166666666666666,0.8888888888888888,LogisticRegression
10,0.0015544891357421875,3.9577484130859375e-05,0.00010085105895996094,0.8,0.8571428571428572,0.8571428571428572,0.6000000000000001,0.7142857142857143,0.8333333333333333,0.7575757575757576,0.6390096504226939,0.8451542547285166,6.907755278982137,0.6546536707079772,1.0,0.8800000000000001,0.8,0.8,0.8571428571428571,0.8571428571428572,0.6000000000000001,0.7142857142857143,0.8333333333333333,0.7575757575757576,0.6390096504226939,0.8451542547285166,6.907755278982137,0.6546536707079772,1.0,0.8800000000000001,0.8,LogisticRegression
11,0.0016944408416748047,3.790855407714844e-05,0.00010204315185546875,0.7272727272727273,0.7321428571428572,0.7321428571428572,0.440677966101695,0.7142857142857143,0.7692307692307692,0.7352941176470589,0.5388602512436508,0.7319250547113999,9.419738980196568,0.4485426135725304,0.8333333333333334,0.7484848484848484,0.7272727272727273,0.7272727272727273,0.7142857142857143,0.7321428571428572,0.440677966101695,0.7142857142857143,0.7692307692307692,0.7352941176470589,0.5388602512436508,0.7319250547113999,9.419738980196568,0.4485426135725304,0.8333333333333334,0.7484848484848484,0.7272727272727273,LogisticRegression
12,0.0018343925476074219,3.7670135498046875e-05,0.00010228157043457031,0.6666666666666666,0.6875,0.6875,0.33333333333333326,0.625,0.7142857142857143,0.6578947368421053,0.5009794328681196,0.6846531968814576,11.512992098089411,0.3535533905932739,0.8333333333333334,0.7222222222222223,0.6666666666666666,0.6666666666666666,0.625,0.6875,0.33333333333333326,0.625,0.7142857142857143,0.6578947368421053,0.5009794328681196,0.6846531968814576,11.512992098089411,0.3535533905932739,0.8333333333333334,0.7222222222222223,0.6666666666666666,LogisticRegression
