Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00010728836059570312,2.6941299438476562e-05,8.034706115722656e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RandomUnderSampler
2,0.0002570152282714844,6.556510925292969e-05,8.416175842285156e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RandomUnderSampler
3,0.00043773651123046875,8.702278137207031e-05,9.369850158691406e-05,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,RandomUnderSampler
4,0.0006024837493896484,9.179115295410156e-05,7.295608520507812e-05,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,RandomUnderSampler
5,0.0007390975952148438,9.894371032714844e-05,3.7670135498046875e-05,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.5773502691896257,0.0,11.513191997446961,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.5773502691896257,0.0,11.513191997446961,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,RandomUnderSampler
6,0.0009169578552246094,0.00010704994201660156,7.081031799316406e-05,0.5,0.5,0.5,0.0,1.0,0.6666666666666666,0.8333333333333334,0.5773502691896257,0.0,17.269787996170443,0.0,0.5,0.25,0.5,0.5,0.5,0.5,0.0,1.0,0.6666666666666666,0.8333333333333334,0.5773502691896257,0.0,17.269787996170443,0.0,0.5,0.25,0.5,RandomUnderSampler
7,0.0010678768157958984,0.00011706352233886719,3.3855438232421875e-05,0.6,0.5,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936354,0.0,0.6,0.36,0.6,0.6,0.3333333333333333,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936354,0.0,0.6,0.36,0.6,RandomUnderSampler
8,0.001262664794921875,0.00011515617370605469,7.963180541992188e-05,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.6831300510639732,0.0,11.513191997446963,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.6831300510639732,0.0,11.513191997446963,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,RandomUnderSampler
9,0.0014545917510986328,0.00011801719665527344,7.390975952148438e-05,0.7142857142857143,0.6666666666666667,0.6666666666666666,0.36363636363636376,1.0,0.8,0.9090909090909091,0.6024640760767093,0.5773502691896257,9.868450283525968,0.47140452079103184,0.6666666666666666,0.8095238095238094,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.36363636363636376,1.0,0.8,0.9090909090909091,0.6024640760767093,0.5773502691896257,9.868450283525968,0.47140452079103184,0.6666666666666666,0.8095238095238094,0.7142857142857143,RandomUnderSampler
10,0.0016551017761230469,0.00012063980102539062,7.987022399902344e-05,0.75,0.6666666666666667,0.6666666666666666,0.38461538461538464,1.0,0.8333333333333333,0.9259259259259259,0.6657502859356826,0.5773502691896257,8.634893998085222,0.4879500364742666,0.7142857142857143,0.8214285714285714,0.75,0.75,0.6,0.6666666666666666,0.38461538461538464,1.0,0.8333333333333333,0.9259259259259259,0.6657502859356826,0.5773502691896257,8.634893998085222,0.4879500364742666,0.7142857142857143,0.8214285714285714,0.75,RandomUnderSampler
