Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0008256435394287109,7.772445678710938e-05,0.0007479190826416016,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,ensemble_LeveragingBaggingClassifier
2,0.001943826675415039,7.104873657226562e-05,0.0010471343994140625,0.5,-0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,0.5,0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,ensemble_LeveragingBaggingClassifier
3,0.0027184486389160156,7.271766662597656e-05,0.000701904296875,0.6666666666666666,-0.0,0.3333333333333333,0.0,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,ensemble_LeveragingBaggingClassifier
4,0.003741741180419922,7.200241088867188e-05,0.0009512901306152344,0.5,-0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.5773502691896257,0.0,17.269388197455342,0.0,1.0,1.0,0.5,0.5,0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.5773502691896257,0.0,17.269388197455342,0.0,1.0,1.0,0.5,ensemble_LeveragingBaggingClassifier
5,0.004682302474975586,0.0001270771026611328,0.0008134841918945312,0.6,0.75,0.75,0.2857142857142856,0.5,0.6666666666666666,0.5555555555555556,0.408248290463863,0.7071067811865476,13.815510557964274,0.40824829046386285,1.0,0.8666666666666666,0.6,0.6,0.75,0.75,0.2857142857142856,0.5,0.6666666666666666,0.5555555555555556,0.408248290463863,0.7071067811865476,13.815510557964274,0.40824829046386285,1.0,0.8666666666666666,0.6,ensemble_LeveragingBaggingClassifier
6,0.005715608596801758,7.43865966796875e-05,0.0009589195251464844,0.6666666666666666,0.75,0.75,0.39999999999999997,0.5,0.6666666666666666,0.5555555555555556,0.4285714285714285,0.7071067811865476,11.512925464970229,0.49999999999999994,1.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,0.75,0.39999999999999997,0.5,0.6666666666666666,0.5555555555555556,0.4285714285714285,0.7071067811865476,11.512925464970229,0.49999999999999994,1.0,0.8333333333333334,0.6666666666666666,ensemble_LeveragingBaggingClassifier
7,0.00659632682800293,7.152557373046875e-05,0.0008091926574707031,0.7142857142857143,0.8,0.8,0.4615384615384616,0.6,0.7499999999999999,0.6521739130434783,0.502518907629606,0.7745966692414834,9.868221827117338,0.547722557505166,1.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8,0.8,0.4615384615384616,0.6,0.7499999999999999,0.6521739130434783,0.502518907629606,0.7745966692414834,9.868221827117338,0.547722557505166,1.0,0.8571428571428571,0.7142857142857143,ensemble_LeveragingBaggingClassifier
8,0.0075609683990478516,7.557868957519531e-05,0.0008890628814697266,0.75,0.8333333333333333,0.8333333333333333,0.5,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896258,0.816496580927726,8.634694098727671,0.5773502691896258,1.0,0.875,0.75,0.75,0.8333333333333334,0.8333333333333333,0.5,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896258,0.816496580927726,8.634694098727671,0.5773502691896258,1.0,0.875,0.75,ensemble_LeveragingBaggingClassifier
9,0.00855875015258789,7.390975952148438e-05,0.0009238719940185547,0.7777777777777778,0.8333333333333333,0.8333333333333333,0.5714285714285714,0.6666666666666666,0.8,0.7142857142857142,0.5892556509887896,0.816496580927726,7.6752836433134854,0.6324555320336758,1.0,0.8666666666666667,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.8333333333333333,0.5714285714285714,0.6666666666666666,0.8,0.7142857142857142,0.5892556509887896,0.816496580927726,7.6752836433134854,0.6324555320336758,1.0,0.8666666666666667,0.7777777777777778,ensemble_LeveragingBaggingClassifier
10,0.009556293487548828,7.224082946777344e-05,0.0009253025054931641,0.7,0.7857142857142857,0.7857142857142857,0.4444444444444444,0.5714285714285714,0.7272727272727273,0.625,0.5345224838248488,0.7559289460184544,10.361632918473205,0.534522483824849,1.0,0.85,0.7,0.7,0.7142857142857143,0.7857142857142857,0.4444444444444444,0.5714285714285714,0.7272727272727273,0.625,0.5345224838248488,0.7559289460184544,10.361632918473205,0.534522483824849,1.0,0.85,0.7,ensemble_LeveragingBaggingClassifier
