Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.06158590316772461,0.005800008773803711,0.0557858943939209,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,ensemble_voting
2,0.11598491668701172,0.005875349044799805,0.048523664474487305,0.5,-0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,0.5,0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.0,0.0,17.269388197455342,0.0,1.0,1.0,0.5,ensemble_voting
3,0.17112374305725098,0.005599021911621094,0.049539804458618164,0.6666666666666666,-0.0,0.3333333333333333,0.0,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896257,0.0,11.512925464970229,0.0,1.0,1.0,0.6666666666666666,ensemble_voting
4,0.22805070877075195,0.0056302547454833984,0.05129671096801758,0.75,-0.0,0.375,0.0,0.75,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,0.75,0.0,0.375,0.0,0.75,0.8571428571428571,0.7894736842105263,0.7071067811865476,0.0,8.634694098727671,0.0,1.0,1.0,0.75,ensemble_voting
5,0.3049349784851074,0.006543397903442383,0.07034087181091309,0.6,0.375,0.375,-0.2500000000000007,0.75,0.75,0.75,0.5000000000000001,0.0,13.815670477450313,-0.25000000000000094,0.75,0.6,0.6,0.6,0.25,0.375,-0.2500000000000007,0.75,0.75,0.75,0.5000000000000001,0.0,13.815670477450313,-0.25000000000000094,0.75,0.6,0.6,ensemble_voting
6,0.362760066986084,0.007413625717163086,0.05041146278381348,0.5,0.375,0.375,-0.28571428571428586,0.75,0.6666666666666665,0.7142857142857143,0.47809144373375745,0.0,17.269654729932075,-0.3162277660168381,0.6,0.39999999999999997,0.5,0.5,0.25,0.375,-0.28571428571428586,0.75,0.6666666666666665,0.7142857142857143,0.47809144373375745,0.0,17.269654729932075,-0.3162277660168381,0.6,0.39999999999999997,0.5,ensemble_voting
7,0.4294881820678711,0.007467985153198242,0.05926012992858887,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.8,0.7272727272727272,0.7692307692307692,0.5449492609130661,0.0,14.802561197084636,-0.2581988897471614,0.6666666666666666,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.4,0.4,-0.23529411764705913,0.8,0.7272727272727272,0.7692307692307692,0.5449492609130661,0.0,14.802561197084636,-0.2581988897471614,0.6666666666666666,0.4761904761904762,0.5714285714285714,ensemble_voting
8,0.4934666156768799,0.007416963577270508,0.05656147003173828,0.625,0.4166666666666667,0.4166666666666667,-0.2,0.8333333333333334,0.7692307692307692,0.8064516129032258,0.600099198148979,0.0,12.952241047449057,-0.2182178902359924,0.7142857142857143,0.5357142857142857,0.625,0.625,0.3333333333333333,0.4166666666666667,-0.2,0.8333333333333334,0.7692307692307692,0.8064516129032258,0.600099198148979,0.0,12.952241047449057,-0.2182178902359924,0.7142857142857143,0.5357142857142857,0.625,ensemble_voting
9,0.5630588531494141,0.00868678092956543,0.06090545654296875,0.6666666666666666,0.5833333333333335,0.5833333333333334,0.1818181818181818,0.8333333333333334,0.7692307692307692,0.8064516129032258,0.5527707983925667,0.5270462766947298,11.513103153288052,0.18898223650461388,0.7142857142857143,0.6428571428571428,0.6666666666666666,0.6666666666666666,0.5,0.5833333333333334,0.1818181818181818,0.8333333333333334,0.7692307692307692,0.8064516129032258,0.5527707983925667,0.5270462766947298,11.513103153288052,0.18898223650461388,0.7142857142857143,0.6428571428571428,0.6666666666666666,ensemble_voting
10,0.6259942054748535,0.007970571517944336,0.05496478080749512,0.6,0.5238095238095238,0.5238095238095238,0.04761904761904766,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5000000000000001,0.48795003647426655,13.815670477450315,0.04761904761904792,0.7142857142857143,0.6,0.6,0.6,0.47619047619047616,0.5238095238095238,0.04761904761904766,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5000000000000001,0.48795003647426655,13.815670477450315,0.04761904761904792,0.7142857142857143,0.6,0.6,ensemble_voting
11,0.6959810256958008,0.008218050003051758,0.06176877021789551,0.5454545454545454,0.48214285714285715,0.48214285714285715,-0.037735849056603904,0.7142857142857143,0.6666666666666666,0.6944444444444444,0.4839107908741984,0.4225771273642583,15.699661887894912,-0.03857583749052311,0.625,0.5189393939393939,0.5454545454545454,0.5454545454545454,0.42857142857142855,0.48214285714285715,-0.037735849056603904,0.7142857142857143,0.6666666666666666,0.6944444444444444,0.4839107908741984,0.4225771273642583,15.699661887894912,-0.03857583749052311,0.625,0.5189393939393939,0.5454545454545454,ensemble_voting
12,0.7592544555664062,0.00805521011352539,0.05521821975708008,0.5833333333333334,0.5,0.5,0.0,0.75,0.7058823529411765,0.7317073170731707,0.5217732845620352,0.4330127018922193,14.391356730570337,0.0,0.6666666666666666,0.5555555555555555,0.5833333333333334,0.5833333333333334,0.5,0.5,0.0,0.75,0.7058823529411765,0.7317073170731707,0.5217732845620352,0.4330127018922193,14.391356730570337,0.0,0.6666666666666666,0.5555555555555555,0.5833333333333334,ensemble_voting
13,0.8211574554443359,0.009179830551147461,0.05272316932678223,0.5384615384615384,0.4583333333333333,0.4583333333333333,-0.08333333333333323,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5000000000000001,0.408248290463863,15.941158243211902,-0.08333333333333298,0.6666666666666666,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.4444444444444444,0.4583333333333333,-0.08333333333333323,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5000000000000001,0.408248290463863,15.941158243211902,-0.08333333333333298,0.6666666666666666,0.5384615384615384,0.5384615384615384,ensemble_voting
14,0.8803272247314453,0.008131265640258789,0.051038503646850586,0.5714285714285714,0.475,0.475,-0.05000000000000005,0.7,0.7,0.7,0.5294117647058824,0.4183300132670378,14.80250408298248,-0.05000000000000005,0.7,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.425,0.475,-0.05000000000000005,0.7,0.7,0.7,0.5294117647058824,0.4183300132670378,14.80250408298248,-0.05000000000000005,0.7,0.5714285714285714,0.5714285714285714,ensemble_voting
15,0.942028284072876,0.008281707763671875,0.05341935157775879,0.6,0.55,0.55,0.0999999999999999,0.7,0.7,0.7,0.509090909090909,0.529150262212918,13.815670477450315,0.10000000000000013,0.7,0.6,0.6,0.6,0.5,0.55,0.0999999999999999,0.7,0.7,0.7,0.509090909090909,0.529150262212918,13.815670477450315,0.10000000000000013,0.7,0.6,0.6,ensemble_voting
16,1.0041868686676025,0.008254051208496094,0.05390453338623047,0.625,0.5636363636363636,0.5636363636363637,0.12727272727272726,0.7272727272727273,0.7272727272727273,0.7272727272727274,0.5384615384615384,0.5393598899705937,12.95219107260967,0.12727272727272726,0.7272727272727273,0.625,0.625,0.625,0.5454545454545454,0.5636363636363637,0.12727272727272726,0.7272727272727273,0.7272727272727273,0.7272727272727274,0.5384615384615384,0.5393598899705937,12.95219107260967,0.12727272727272726,0.7272727272727273,0.625,0.625,ensemble_voting
17,1.0715830326080322,0.008434057235717773,0.058962106704711914,0.6470588235294118,0.575,0.575,0.1499999999999999,0.75,0.75,0.75,0.5657894736842105,0.5477225575051662,12.190297480103219,0.14999999999999963,0.75,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.5333333333333333,0.575,0.1499999999999999,0.75,0.75,0.75,0.5657894736842105,0.5477225575051662,12.190297480103219,0.14999999999999963,0.75,0.6470588235294118,0.6470588235294118,ensemble_voting
18,1.1377654075622559,0.00857090950012207,0.05761146545410156,0.6666666666666666,0.5846153846153846,0.5846153846153846,0.16923076923076916,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.5909090909090909,0.5547001962252291,11.513058731208595,0.16923076923076943,0.7692307692307693,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5692307692307692,0.5846153846153846,0.16923076923076916,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.5909090909090909,0.5547001962252291,11.513058731208595,0.16923076923076943,0.7692307692307693,0.6666666666666666,0.6666666666666666,ensemble_voting
19,1.2102785110473633,0.00837564468383789,0.06413745880126953,0.631578947368421,0.5512820512820513,0.5512820512820513,0.10738255033557051,0.7692307692307693,0.7407407407407408,0.7575757575757577,0.5674930253894268,0.5063696835418333,12.72498069232082,0.1082663923921534,0.7142857142857143,0.6150375939849625,0.631578947368421,0.631578947368421,0.5384615384615384,0.5512820512820513,0.10738255033557051,0.7692307692307693,0.7407407407407408,0.7575757575757577,0.5674930253894268,0.5063696835418333,12.72498069232082,0.1082663923921534,0.7142857142857143,0.6150375939849625,0.631578947368421,ensemble_voting
20,1.270944595336914,0.00853276252746582,0.05213332176208496,0.65,0.598901098901099,0.5989010989010989,0.2045454545454547,0.7692307692307693,0.7407407407407408,0.7575757575757577,0.5564220420245516,0.5741692517632145,12.088731657704779,0.20587905489225508,0.7142857142857143,0.6392857142857143,0.65,0.65,0.5824175824175825,0.5989010989010989,0.2045454545454547,0.7692307692307693,0.7407407407407408,0.7575757575757577,0.5564220420245516,0.5741692517632145,12.088731657704779,0.20587905489225508,0.7142857142857143,0.6392857142857143,0.65,ensemble_voting
21,1.3356812000274658,0.00858759880065918,0.05614900588989258,0.6666666666666666,0.6346153846153846,0.6346153846153846,0.2758620689655172,0.7692307692307693,0.7407407407407408,0.7575757575757577,0.5506673236607643,0.6201736729460423,11.513077769242647,0.2773500981126145,0.7142857142857143,0.6598639455782314,0.6666666666666666,0.6666666666666666,0.6153846153846154,0.6346153846153846,0.2758620689655172,0.7692307692307693,0.7407407407407408,0.7575757575757577,0.5506673236607643,0.6201736729460423,11.513077769242647,0.2773500981126145,0.7142857142857143,0.6598639455782314,0.6666666666666666,ensemble_voting
22,1.3983631134033203,0.008605718612670898,0.054076194763183594,0.6363636363636364,0.6068376068376068,0.6068376068376069,0.22123893805309733,0.7692307692307693,0.7142857142857142,0.7462686567164178,0.5340012526098762,0.5847053462046862,12.559736779383476,0.22555498415031947,0.6666666666666666,0.6277056277056278,0.6363636363636364,0.6363636363636364,0.5897435897435898,0.6068376068376069,0.22123893805309733,0.7692307692307693,0.7142857142857142,0.7462686567164178,0.5340012526098762,0.5847053462046862,12.559736779383476,0.22555498415031947,0.6666666666666666,0.6277056277056278,0.6363636363636364,ensemble_voting
23,1.465181589126587,0.008681774139404297,0.058136701583862305,0.6086956521739131,0.5846153846153846,0.5846153846153846,0.17529880478087653,0.7692307692307693,0.6896551724137931,0.735294117647059,0.5239465423517419,0.5547001962252291,13.515381962555537,0.1823232246362439,0.625,0.6017080745341615,0.6086956521739131,0.6086956521739131,0.5692307692307692,0.5846153846153846,0.17529880478087653,0.7692307692307693,0.6896551724137931,0.735294117647059,0.5239465423517419,0.5547001962252291,13.515381962555537,0.1823232246362439,0.625,0.6017080745341615,0.6086956521739131,ensemble_voting
24,1.5272727012634277,0.008638858795166016,0.053452253341674805,0.625,0.6118881118881119,0.6118881118881119,0.22857142857142865,0.7692307692307693,0.6896551724137931,0.735294117647059,0.5203148031833276,0.5913123959890826,12.952241047449057,0.23652495839563337,0.625,0.625,0.625,0.625,0.5944055944055944,0.6118881118881119,0.22857142857142865,0.7692307692307693,0.6896551724137931,0.735294117647059,0.5203148031833276,0.5913123959890826,12.952241047449057,0.23652495839563337,0.625,0.625,0.625,ensemble_voting
25,1.5932340621948242,0.008770227432250977,0.05719113349914551,0.64,0.6346153846153846,0.6346153846153846,0.2718446601941747,0.7692307692307693,0.6896551724137931,0.735294117647059,0.5204164998665332,0.6201736729460423,12.434151405551095,0.2802242691589024,0.625,0.645,0.64,0.64,0.6153846153846154,0.6346153846153846,0.2718446601941747,0.7692307692307693,0.6896551724137931,0.735294117647059,0.5204164998665332,0.6201736729460423,12.434151405551095,0.2802242691589024,0.625,0.645,0.64,ensemble_voting
26,1.6541314125061035,0.008730173110961914,0.05216717720031738,0.6538461538461539,0.6538461538461537,0.6538461538461539,0.3076923076923077,0.7692307692307693,0.6896551724137931,0.735294117647059,0.5235703144047359,0.6435846357954427,11.9559148130299,0.31622776601683794,0.625,0.6625000000000001,0.6538461538461539,0.6538461538461539,0.6331360946745562,0.6538461538461539,0.3076923076923077,0.7692307692307693,0.6896551724137931,0.735294117647059,0.5235703144047359,0.6435846357954427,11.9559148130299,0.31622776601683794,0.625,0.6625000000000001,0.6538461538461539,ensemble_voting
