Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Recall,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingRecall,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0001723766326904297,2.6702880859375e-05,0.0001456737518310547,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,model_linear_ALMAClassifier
2,0.00028443336486816406,2.9325485229492188e-05,8.273124694824219e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.538776394910684,0.0,0.0,0.0,0.0,model_linear_ALMAClassifier
3,0.0003769397735595703,3.147125244140625e-05,6.103515625e-05,0.3333333333333333,-0.0,0.16666666666666666,0.0,0.3333333333333333,0.5,0.3846153846153846,0.5773502691896257,0.0,23.025850929940457,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.3333333333333333,0.5,0.3846153846153846,0.5773502691896257,0.0,23.025850929940457,0.0,1.0,1.0,0.3333333333333333,model_linear_ALMAClassifier
4,0.0006046295166015625,3.123283386230469e-05,0.0001964569091796875,0.5,-0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.5773502691896257,0.0,17.269388197455342,0.0,1.0,1.0,0.5,0.5,0.0,0.25,0.0,0.5,0.6666666666666666,0.5555555555555556,0.5773502691896257,0.0,17.269388197455342,0.0,1.0,1.0,0.5,model_linear_ALMAClassifier
5,0.0006990432739257812,3.3855438232421875e-05,6.0558319091796875e-05,0.6,0.75,0.75,0.2857142857142856,0.5,0.6666666666666666,0.5555555555555556,0.408248290463863,0.7071067811865476,13.815510557964274,0.40824829046386285,1.0,0.8666666666666666,0.6,0.6,0.75,0.75,0.2857142857142856,0.5,0.6666666666666666,0.5555555555555556,0.408248290463863,0.7071067811865476,13.815510557964274,0.40824829046386285,1.0,0.8666666666666666,0.6,model_linear_ALMAClassifier
6,0.0007970333099365234,3.695487976074219e-05,6.103515625e-05,0.6666666666666666,0.75,0.75,0.39999999999999997,0.5,0.6666666666666666,0.5555555555555556,0.4285714285714285,0.7071067811865476,11.512925464970229,0.49999999999999994,1.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,0.75,0.39999999999999997,0.5,0.6666666666666666,0.5555555555555556,0.4285714285714285,0.7071067811865476,11.512925464970229,0.49999999999999994,1.0,0.8333333333333334,0.6666666666666666,model_linear_ALMAClassifier
7,0.0008935928344726562,3.695487976074219e-05,5.9604644775390625e-05,0.7142857142857143,0.8,0.8,0.4615384615384616,0.6,0.7499999999999999,0.6521739130434783,0.502518907629606,0.7745966692414834,9.868221827117338,0.547722557505166,1.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8,0.8,0.4615384615384616,0.6,0.7499999999999999,0.6521739130434783,0.502518907629606,0.7745966692414834,9.868221827117338,0.547722557505166,1.0,0.8571428571428571,0.7142857142857143,model_linear_ALMAClassifier
8,0.000990152359008789,3.743171691894531e-05,5.91278076171875e-05,0.75,0.8333333333333333,0.8333333333333333,0.5,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896258,0.816496580927726,8.634694098727671,0.5773502691896258,1.0,0.875,0.75,0.75,0.8333333333333334,0.8333333333333333,0.5,0.6666666666666666,0.8,0.7142857142857142,0.5773502691896258,0.816496580927726,8.634694098727671,0.5773502691896258,1.0,0.875,0.75,model_linear_ALMAClassifier
9,0.0010919570922851562,3.790855407714844e-05,6.389617919921875e-05,0.7777777777777778,0.8333333333333333,0.8333333333333333,0.5714285714285714,0.6666666666666666,0.8,0.7142857142857142,0.5892556509887896,0.816496580927726,7.6752836433134854,0.6324555320336758,1.0,0.8666666666666667,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.8333333333333333,0.5714285714285714,0.6666666666666666,0.8,0.7142857142857142,0.5892556509887896,0.816496580927726,7.6752836433134854,0.6324555320336758,1.0,0.8666666666666667,0.7777777777777778,model_linear_ALMAClassifier
10,0.0012178421020507812,4.00543212890625e-05,8.58306884765625e-05,0.7,0.7857142857142857,0.7857142857142857,0.4444444444444444,0.5714285714285714,0.7272727272727273,0.625,0.5345224838248488,0.7559289460184544,10.361632918473205,0.534522483824849,1.0,0.85,0.7,0.7,0.7142857142857143,0.7857142857142857,0.4444444444444444,0.5714285714285714,0.7272727272727273,0.625,0.5345224838248488,0.7559289460184544,10.361632918473205,0.534522483824849,1.0,0.85,0.7,model_linear_ALMAClassifier
