Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0042934417724609375,0.0003910064697265625,0.003902435302734375,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARFClassifier
2,0.005193471908569336,0.00019788742065429688,0.0007021427154541016,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ARFClassifier
3,0.0058574676513671875,0.00022721290588378906,0.0004367828369140625,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ARFClassifier
4,0.006488323211669922,0.0001926422119140625,0.0004382133483886719,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.0,1.0,1.0,1.0,ARFClassifier
5,0.008348941802978516,0.0002009868621826172,0.0016596317291259766,0.75,0.5,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,0.75,0.3333333333333333,0.5,0.0,1.0,0.8571428571428571,0.9375,0.7071067811865476,0.0,8.634893998085222,0.0,0.75,0.5625,0.75,ARFClassifier
6,0.009410858154296875,0.0003573894500732422,0.0007045269012451172,0.6,0.5,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936352,0.0,0.6,0.36,0.6,0.6,0.3333333333333333,0.5,0.0,1.0,0.7499999999999999,0.8823529411764706,0.6324555320336759,0.0,13.815830396936352,0.0,0.6,0.36,0.6,ARFClassifier
7,0.011621236801147461,0.00023794174194335938,0.0019724369049072266,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.6831300510639732,0.0,11.51319199744696,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.8,0.9090909090909091,0.6831300510639732,0.0,11.51319199744696,0.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,ARFClassifier
8,0.014747142791748047,0.0002562999725341797,0.0028696060180664062,0.7142857142857143,0.5,0.5,0.0,1.0,0.8333333333333333,0.9259259259259259,0.7237468644557459,0.0,9.868450283525966,0.0,0.7142857142857143,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.4,0.5,0.0,1.0,0.8333333333333333,0.9259259259259259,0.7237468644557459,0.0,9.868450283525966,0.0,0.7142857142857143,0.5102040816326531,0.7142857142857143,ARFClassifier
9,0.017537355422973633,0.00025963783264160156,0.0025305747985839844,0.625,0.5,0.5,0.0,1.0,0.7692307692307693,0.8928571428571429,0.6813851438692469,0.0,12.95234099712783,0.0,0.625,0.390625,0.625,0.625,0.4,0.5,0.0,1.0,0.7692307692307693,0.8928571428571429,0.6813851438692469,0.0,12.95234099712783,0.0,0.625,0.390625,0.625,ARFClassifier
10,0.01964259147644043,0.0002751350402832031,0.0018301010131835938,0.5555555555555556,0.4166666666666667,0.4166666666666667,-0.19999999999999965,0.13891484521147401,0.7142857142857143,0.78125,0.5790660241435862,0.0,15.350833819103702,-0.24999999999999953,0.625,0.4166666666666667,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.4166666666666667,-0.19999999999999965,0.13891484521147401,0.7142857142857143,0.78125,0.5790660241435862,0.0,15.350833819103702,-0.24999999999999953,0.625,0.4166666666666667,0.5555555555555556,ARFClassifier
11,0.021847963333129883,0.00026345252990722656,0.0019419193267822266,0.5,0.4166666666666667,0.4166666666666667,-0.1904761904761907,0.16840699929781555,0.6666666666666667,0.7575757575757576,0.5819143739626462,0.0,17.26970803642742,-0.2721655269759089,0.5555555555555556,0.33333333333333337,0.5,0.5,0.3333333333333333,0.4166666666666667,-0.1904761904761907,0.16840699929781555,0.6666666666666667,0.7575757575757576,0.5819143739626462,0.0,17.26970803642742,-0.2721655269759089,0.5555555555555556,0.33333333333333337,0.5,ARFClassifier
